Author,Year,n_treat,n_control,n,design,wmd,lCI_wmd,uCI_wmd,se_wmd,pooled_sd,d,J,g,se_g
D'amicia,1996,28,28,,P,-0.77,-2.6,1.06,0.933673469,3.493486234,-0.2204102,0.986046512,-0.217334709,0.263532015
D'amicib,1996,28,28,,P,-1.16,-2.68,0.36,0.775510204,2.901693484,-0.399766552,0.986046512,-0.394188414,0.263532015
Frieda,1992,25,25,,P,1.55,-2.54,5.64,2.086734694,7.377721263,0.210091971,0.984293194,0.206792097,0.278400157
Friedb,1992,25,25,,P,3.09,-1.06,7.24,2.117346939,7.485951893,0.412773158,0.984293194,0.40628981,0.278400157
Friedc,1992,25,25,,P,3.48,-0.82,7.78,2.193877551,7.756528467,0.448654319,0.984293194,0.441607393,0.278400157
Superkoa,1991,62,58,,P,1.93,-0.43,4.29,1.204081633,6.591361791,0.292807475,0.993630573,0.290942459,0.181512161
Superkob,1991,61,58,,P,1.16,-1.21,3.53,1.209183673,6.593222139,0.175938255,0.993576017,0.174808031,0.182219842
Vana,1991,22,21,,P,-3.86,-7.68,-0.04,1.948979592,6.388428692,-0.604217435,0.981595092,-0.593096869,0.299464687
Vanb,1991,21,21,,P,-1.93,-5.32,1.46,1.729591837,5.604518104,-0.344365022,0.981132075,-0.337867569,0.302783932
Baka,1989,34,34,,P,0.77,-1.86,3.4,1.341836735,5.532534589,0.139176717,0.988593156,0.13758915,0.239769059
Bakb,1989,33,34,,P,0.39,-2.25,3.03,1.346938776,5.511970475,0.070755096,0.988416988,0.069935539,0.241535613
Burr,1995,,,261,X,0.04,-0.76,0.84,0.408163265,6.594079356,0.006066048,0.997112608,0.006048533,0.061719721
Rosmarin,1990,,,21,X,0,-1.94,1.94,0.989795918,4.535814718,0,0.962025316,0,0.209931135
Burra,1989,,,54,X,-1.93,-4.19,0.33,1.153061224,8.473234927,-0.227776052,0.985781991,-0.22453753,0.134147937
Burrb,1989,,,54,X,-0.77,-2.84,1.3,1.056122449,7.760883318,-0.09921551,0.985781991,-0.097804863,0.134147937
Aroa,1987,,,42,X,-0.39,-7.37,6.59,3.56122449,23.07937249,-0.016898206,0.981595092,-0.016587196,0.151463411
Arob,1987,,,42,X,0.77,-5.65,7.19,3.275510204,21.22773229,0.036273305,0.981595092,0.035605698,0.151463411
