Author,Year,n_treat,n_control,n,design,wmd,lCI_wmd,uCI_wmd,se_wmd,pooled_sd,d,J,g,se_g
D'amicia,1996,28,28,,P,5.79,-0.71,12.29,3.316326531,12.40855766,0.466613458,0.986046512,0.460102573,0.263532015
D'amicib,1996,28,28,,P,3.09,-3.14,9.32,3.178571429,11.89312527,0.259813962,0.986046512,0.256188651,0.263532015
Frieda,1992,25,25,,P,1.16,-10.78,13.1,6.091836735,21.53789532,0.053858559,0.984293194,0.053012613,0.278400157
Friedb,1992,25,25,,P,-3.47,-11.67,4.73,4.183673469,14.7915194,-0.234593885,0.984293194,-0.230909164,0.278400157
Friedc,1992,25,25,,P,6.18,-2.53,14.89,4.443877551,15.71147976,0.393342963,0.984293194,0.387164801,0.278400157
Superkoa,1991,62,58,,P,0,-7.19,7.19,3.668367347,20.08130986,0,0.993630573,0,0.181512161
Superkob,1991,61,58,,P,8.88,0.73,17.03,4.158163265,22.6728947,0.391657092,0.993576017,0.389141093,0.182219842
Vana,1991,22,21,,P,21.63,11.7,31.56,5.066326531,16.60656987,1.302496552,0.981595092,1.278524223,0.299464687
Vanb,1991,21,21,,P,5.79,-3.43,15.01,4.704081633,15.24296664,0.379847318,0.981132075,0.372680388,0.302783932
Baka,1989,34,34,,P,-8.11,-22.69,6.47,7.43877551,30.67085715,-0.26442039,0.988593156,-0.261404188,0.239769059
Bakb,1989,33,34,,P,6.95,-11.17,25.07,9.244897959,37.83216099,0.183706133,0.988416988,0.181578263,0.241535613
Rosmarin,1990,,,21,X,-0.39,-10.04,9.26,4.923469388,22.56217115,-0.01728557,0.962025316,-0.016629156,0.209931135
Aroa,1987,,,42,X,34.75,16.88,52.62,9.117346939,59.08716137,0.588114223,0.981595092,0.577290035,0.151463411
Arob,1987,,,42,X,8.88,-8.99,26.75,9.117346939,59.08716137,0.150286455,0.981595092,0.147520446,0.151463411
Aro,1985,,,12,X,4.64,-18.43,27.71,11.77040816,40.77388993,0.113798316,0.930232558,0.105858898,0.268535009
