Author,Year,n_treat,n_control,n,design,wmd,lCI_wmd,uCI_wmd,se_wmd,pooled_sd,d,J,g,se_g
D'amicia,1996,28,28,,P,3.86,-4.49,12.21,4.260204082,15.94022407,0.242154689,0.986046512,0.238775786,0.263532015
D'amicib,1996,28,28,,P,1.93,-6,9.86,4.045918367,15.13844035,0.127490016,0.986046512,0.125711085,0.263532015
Frieda,1992,25,25,,P,0.77,-7.64,9.18,4.290816327,15.17032661,0.050756982,0.984293194,0.049959752,0.278400157
Friedb,1992,25,25,,P,-0.77,-8.73,7.19,4.06122449,14.35859688,-0.05362641,0.984293194,-0.05278411,0.278400157
Friedc,1992,25,25,,P,9.65,1.79,17.51,4.010204082,14.1782125,0.680621764,0.984293194,0.66993137,0.278400157
Superkoa,1991,62,58,,P,0,-7.67,7.67,3.913265306,21.42192582,0,0.993630573,0,0.181512161
Superkob,1991,61,58,,P,8.11,-0.54,16.76,4.413265306,24.06386983,0.337019775,0.993576017,0.334854766,0.182219842
Vana,1991,22,21,,P,22.78,11.35,34.21,5.831632653,19.11511517,1.19172706,0.981595092,1.169793433,0.299464687
Vanb,1991,21,21,,P,6.56,-3.96,17.08,5.367346939,17.39219187,0.377180751,0.981132075,0.370064133,0.302783932
Baka,1989,34,34,,P,2.7,-8.76,14.16,5.846938776,24.10754616,0.111998126,0.988593156,0.110720581,0.239769059
Bakb,1989,33,34,,P,21.24,9.66,32.82,5.908163265,24.17750686,0.878502491,0.988416988,0.868326786,0.241535613
Fordea,1985,8,9,,P,58.3,17.76,98.84,20.68367347,42.56664883,1.369616862,0.949152542,1.299975327,0.461205235
Fordeb,1985,8,9,,P,30.89,8.89,52.89,11.2244898,23.09980943,1.337240469,0.949152542,1.269245191,0.461205235
Fordec,1985,8,9,,P,9.65,-25.98,45.28,18.17857143,37.41119136,0.257944205,0.949152542,0.244828398,0.461205235
Grubben,2000,,,64,X,19.3,8.6,30,5.459183673,43.67346939,0.441915888,0.988047809,0.436634025,0.123505976
Burr,1995,,,261,X,4.71,1.62,7.8,1.576530612,25.46963151,0.184926115,0.997112608,0.184392161,0.061719721
Rosmarin,1990,,,21,X,0,-8.41,8.41,4.290816327,19.66299061,0,0.962025316,0,0.209931135
Burra,1989,,,54,X,1.54,-5.82,8.9,3.755102041,27.5942518,0.055808725,0.985781991,0.055015236,0.134147937
Burrb,1989,,,54,X,2.32,-4.85,9.49,3.658163265,26.88190019,0.086303423,0.985781991,0.08507636,0.134147937
Aroa,1987,,,42,X,42.47,25.2,59.74,8.81122449,57.10326115,0.74374036,0.981595092,0.730051887,0.151463411
Arob,1987,,,42,X,11.97,-3.06,27,7.668367347,49.69670036,0.240861061,0.981595092,0.236428036,0.151463411
Aro,1985,,,12,X,6.56,-12.72,25.84,9.836734694,34.07544854,0.192513974,0.930232558,0.179082766,0.268535009
