Author,Year,g,g_lCI,g_uCI,p_value,se_g
Arazia,2016,0.36,-0.29,1.02,0.279,0.334183673
Arazib,2016,0.31,-0.22,0.83,0.249,0.267857143
Astorino,2008,0.11,-0.31,0.53,0.602,0.214285714
Brooks,2015,0.06,-0.58,0.71,0.846,0.329081633
Diaz-Lara,2016,0.35,-0.18,0.87,0.196,0.267857143
Goldstein,2010,0.07,-0.44,0.57,0.799,0.257653061
Grgic,2017,0.13,-0.35,0.61,0.587,0.244897959
Martin,2015,0.14,-0.43,0.71,0.629,0.290816327
Sabblaha,2015,0.15,-0.47,0.78,0.634,0.318877551
Sabblahb,2015,0.06,-0.65,0.77,0.869,0.362244898
Williams,2008,0.69,-0.11,1.49,0.093,0.408163265
