Author,Year,g,se_g,g_lCI,g_uCI,p_value
Doty,2017,-0.21,0.29,-0.78,0.36,0.468
Doty,2017,-0.13,0.29,-0.7,0.44,0.653
Rogers,2005,-0.03,0.34,-0.7,0.64,0.93
Kohler,2006,0.07,0.15,-0.23,0.37,0.65
Doty,2017,0.17,0.29,-0.4,0.74,0.557
McIntire,2017,0.22,0.26,-0.29,0.73,0.396
"Mclellan, Kamimori, Bell",2005,0.33,0.37,-0.39,1.05,0.369
Hartley,2013,0.38,0.24,-0.09,0.85,0.11
"Mclellan, Kamimori, Bell",2005,0.46,0.37,-0.27,1.19,0.214
Rogers,2005,0.52,0.35,-0.16,1.2,0.136
Doty,2017,0.57,0.29,-0.01,1.15,0.053
"Mclellan, Kamimori, Bell",2005,0.67,0.38,-0.07,1.41,0.074
"Killgore, Rupp",2008,0.79,0.17,0.46,1.12,0
Paech,2016,0.79,0.42,-0.04,1.62,0.062
Paech,2016,0.81,0.42,-0.02,1.64,0.056
Paech,2016,0.89,0.43,0.05,1.73,0.038
Kilpelainen,2010,0.91,0.38,0.16,1.66,0.018
Paech,2016,0.94,0.43,0.1,1.78,0.029
Paech,2016,1,0.43,0.15,1.85,0.021
"Killgore, Rupp",2008,1.03,0.17,0.7,1.36,0
McIntire,2014,1.14,0.34,0.47,1.81,0.001
"Mclellan, Kamimori, Bell",2005,1.27,0.28,0.72,1.82,0
Paech,2016,1.27,0.45,0.39,2.15,0.005
Kilpelainen,2010,1.29,0.57,0.18,2.4,0.023
Paech,2016,1.48,0.46,0.58,2.38,0.001
Paech,2016,1.6,0.47,0.68,2.52,0.001
Paech,2016,2.02,0.5,1.04,3,0
