Author,Year,g,se_g,g_lCI,g_uCI,p_value
Doty,2017,-0.14,0.29,-0.71,0.43,0.628
Kohler,2006,0,0.15,-0.3,0.3,1
Rogers,2005,0.01,0.34,-0.66,0.68,0.977
Rogers,2005,0.05,0.34,-0.62,0.72,0.884
Rogers,2005,0.1,0.34,-0.57,0.77,0.771
"Mclellan, Kamimori, Bell",2005,0.14,0.37,-0.58,0.86,0.702
Doty,2017,0.2,0.29,-0.37,0.77,0.49
Rogers,2005,0.31,0.35,-0.37,0.99,0.369
Hartley,2013,0.34,0.24,-0.13,0.81,0.152
"Mclellan, Kamimori, Bell",2005,0.38,0.37,-0.34,1.1,0.302
Aggarwal,2011,0.39,0.4,-0.39,1.17,0.325
Retey,2000,0.4,0.29,-0.17,0.97,0.17
Kamirnori,2015,0.41,0.45,-0.48,1.3,0.364
Paech,2016,0.41,0.41,-0.4,1.22,0.32
Paech,2016,0.41,0.41,-0.4,1.22,0.32
"Mclellan, Kamimori, Bell",2005,0.45,0.37,-0.27,1.17,0.224
Doty,2017,0.56,0.29,-0.02,1.14,0.057
Kamimori,2015,0.56,0.32,-0.07,1.19,0.082
Paech,2016,0.6,0.42,-0.22,1.42,0.151
Paech,2016,0.61,0.42,-0.21,1.43,0.144
Kamimori,2015,0.62,0.46,-0.28,1.52,0.176
Paech,2016,0.64,0.42,-0.18,1.46,0.126
Kamimori,2015,0.71,0.46,-0.19,1.61,0.124
Kamimori,2015,0.74,0.33,0.1,1.38,0.024
"Mclellan, Kamimori, Voss",2005,0.75,0.31,0.14,1.36,0.016
Kamimori,2015,0.77,0.46,-0.14,1.68,0.097
Killgore,2006,0.77,0.29,0.21,1.33,0.007
"Killgore, Rupp",2008,0.81,0.17,0.48,1.14,0
Kamimori,2015,0.82,0.47,-0.09,1.73,0.078
Kamimori,2015,0.85,0.47,-0.07,1.77,0.069
"Mclellan, Kamimori, Bell",2005,0.85,0.27,0.32,1.38,0.002
Wesensten,2005,0.89,0.25,0.41,1.37,0
Kamimori,2015,0.92,0.27,0.39,1.45,0.001
Doty,2017,0.95,0.3,0.35,1.55,0.002
"Mclellan, Kamimori, Voss",2005,0.98,0.32,0.35,1.61,0.002
Paech,2016,1.02,0.43,0.17,1.87,0.019
"Killgore, Rupp",2008,1.05,0.17,0.72,1.38,0
Paech,2016,1.13,0.44,0.27,1.99,0.01
Paech,2016,1.17,0.44,0.3,2.04,0.008
Rosenthal,1991,1.22,0.36,0.51,1.93,0.001
Retey,2000,1.23,0.31,0.61,1.85,0
Paech,2016,1.59,0.47,0.67,2.51,0.001
Rosenthal,1991,1.63,0.38,0.88,2.38,0
McIntire,2014,3.23,0.48,2.29,4.17,0
