Author,Year,Group,g,lCI_d,uCI_d,se_g,notes
Acker-Hewitt,2012,Caf v Pla,0.13,-0.752,1.012,0.45,d used - could not get sample sizes
Acker-Hewitt,2012,CHO v CHO + Caf,0.27,-0.612,1.152,0.45,
Astorino,2012,Trained pts,0.31,-0.67,1.29,0.5,
Astorino,2012,Untrained pts,0.19,-0.79,1.17,0.5,
Astorino,2012,21,0.31,-0.611,1.231,0.469897959,
Astorino,2012,22,0.48,-0.402,1.362,0.45,
Bell,2002,,0.27,-0.534,1.074,0.410204082,
Black,2015,Leg cycling,0.13,-0.615,0.875,0.380102041,
Black,2015,Arm cycling,0.07,-0.675,0.815,0.380102041,
Carr,2011,,0.13,-0.85,1.11,0.5,
Cheuvront,2009,,0.13,-0.752,1.012,0.45,
Collomp,2002,,0.12,-0.86,1.1,0.5,
Conway,2003,,0.54,-0.46,1.54,0.510204082,
Cox,2002,,0.41,-0.394,1.214,0.410204082,
Dean,2009,,0.23,-0.75,1.21,0.5,
Desbrow,2009,1.5mg Caf v Pla,-0.08,-1.001,0.841,0.469897959,
Desbrow,2009,3mg Caf v Pla,0.17,-0.751,1.091,0.469897959,
Desbrow,2012,3mg Caf v Pla,0.52,-0.186,1.226,0.360204082,
Desbrow,2012,6mg Caf v Pla,0.36,-0.346,1.066,0.360204082,
Ganio,2011,at 12 Cels ambient temp,0.24,-0.603,1.083,0.430102041,
Ganio,2011,at 33 Cels ambient temp,0.34,-0.503,1.183,0.430102041,
Hodgson,2013,,1.38,0.282,2.478,0.560204082,
Hulston,2008,,0.65,-0.252,1.552,0.460204082,
Hunter,2002,,0.18,-0.8,1.16,0.5,
Irwin,2011,,0.4,-0.404,1.204,0.410204082,
Ivy,1979,,1.99,0.853,3.127,0.580102041,
Jacobson,2000,Caf + CHO v Pla + CHO,0.19,-0.79,1.17,0.5,
Jacobson,2000,Caf + FAT v Pla + FAT,0.03,-0.95,1.01,0.5,
Jenkins,2008,1mg Caf v Pla,-0.04,-0.804,0.724,0.389795918,
Jenkins,2008,2mg Caf v Pla,0.21,-0.554,0.974,0.389795918,
Jenkins,2008,3mg Caf v Pla,0.15,-0.614,0.914,0.389795918,
Kovacs,1998,150mg/l v Pla,0.28,-0.465,1.025,0.380102041,
Kovacs,1998,225mg/l v Pla,0.66,-0.104,1.424,0.389795918,
Kovacs,1998,320mg/l v Pla,0.6,-0.164,1.364,0.389795918,
Laurence,2012,,0.24,-0.564,1.044,0.410204082,
MacIntosh,1995,,0.25,-0.593,1.093,0.430102041,
McNaughton,2008,44,1.14,-0.075,2.355,0.619897959,
McNaughton,2008,45,0.79,-0.229,1.809,0.519897959,
Miller,2014,,0.24,-0.897,1.377,0.580102041,
O'Rourke,2008,Trained pts,0.16,-0.565,0.885,0.369897959,
O'Rourke,2008,Untrained pts,0.14,-0.585,0.865,0.369897959,
Pitchford,2014,,0.79,-0.17,1.75,0.489795918,
Roelands,2011,,-0.25,-1.23,0.73,0.5,
Santos,2013,,0.8,-0.219,1.819,0.519897959,
Scott,2015,,0.2,-0.564,0.964,0.389795918,
Silva-Cavalcante,2013,,1.11,-0.007,2.227,0.569897959,
Skinner,2010,2mg Caf v Pla,0.06,-0.822,0.942,0.45,
Skinner,2010,4mg Caf v Pla,0.12,-0.762,1.002,0.45,
Skinner,2010,6mg Caf v Pla,0.06,-0.822,0.942,0.45,
Skinner,2013,dose timing 1hr pre-event,0.63,-0.124,1.404,0.389795918,
Skinner,2013,dose timing tailored,0.28,-0.465,1.025,0.380102041,
Slivka,2008,,0.25,-0.671,1.171,0.469897959,
Stadheim,2013,,0.32,-0.562,1.202,0.45,
Stadheim,2014,3mg Caf v Pla,0.7,-0.319,1.719,0.519897959,
Stadheim,2014,4.5mg Caf v Pla,0.75,-0.269,1.769,0.519897959,
Wemple,1997,,-0.01,-1.147,1.127,0.580102041,
