Author,g,LCI_d,UCI_d,n,se_g
Roelands,-0.24,-1.22,0.75,8,0.50255102
Cohen,-0.01,-1.06,1.03,7,0.533163265
MacIntosh and Wright ,0.01,-0.76,0.78,11,0.392857143
Jacobson,0.03,-0.95,1.01,8,0.5
Skinner,0.05,-0.82,0.93,10,0.446428571
Bortolotti,0.06,-0.71,0.82,13,0.390306122
Astorino,0.08,-0.9,1.06,8,0.5
Potgieter,0.1,-0.45,0.64,26,0.278061224
Stadheim,0.1,-0.67,0.87,13,0.392857143
Skinner,0.12,-0.93,1.17,10,0.535714286
Cohen,0.11,-0.76,0.99,7,0.446428571
Acker-Hewitt,0.12,-0.86,1.1,10,0.5
Carr,0.13,-0.49,0.75,8,0.316326531
Church,0.12,-0.76,1,20,0.448979592
O'Rourke,0.15,-0.56,0.87,15,0.364795918
O'Rourke,0.18,-0.8,1.16,15,0.5
Desbrow,0.17,-0.71,1.05,9,0.448979592
Kilding,0.16,-0.56,0.88,10,0.367346939
Jacobson,0.16,-0.77,1.09,8,0.474489796
Dean,0.19,-0.58,0.96,8,0.392857143
Bell,0.22,-0.77,1.2,12,0.50255102
Astorino,0.26,-0.55,1.06,8,0.410714286
Astorino,0.27,-0.72,1.25,9,0.50255102
Astorino,0.27,-0.66,1.2,8,0.474489796
Astorino,0.27,-0.72,1.25,8,0.50255102
Skinner,0.27,-0.48,1.01,14,0.380102041
Womack,0.3,-0.34,0.94,19,0.326530612
Astorino,0.35,-0.35,1.05,8,0.357142857
Astorino,0.33,-0.61,1.26,9,0.477040816
Desbrow,0.32,-0.66,1.31,16,0.50255102
de Souza Goncalves,0.36,-0.08,0.8,40,0.224489796
Irwin,0.39,-0.46,1.23,12,0.431122449
Graham-Paulson,0.38,-0.43,1.19,11,0.413265306
Quinlivan,0.49,-0.27,1.24,11,0.385204082
de Santos,0.43,-0.42,1.28,8,0.433673469
Glaister,0.46,-0.54,1.46,14,0.510204082
Desbrow,0.51,-0.2,1.21,16,0.359693878
Walker,0.58,-0.37,1.53,9,0.484693878
Skinner,0.63,-0.13,1.39,14,0.387755102
Pitchford,0.85,0.13,1.58,9,0.369897959
Womack,0.81,-0.16,1.78,16,0.494897959
Stadheim,1,-0.05,2.06,10,0.538265306
Hodgson,0.96,0.02,1.89,8,0.477040816
Felippe,1.27,0.34,2.21,11,0.477040816
Cox,1.38,0.47,2.28,12,0.461734694
Conway,1.44,0.3,2.58,8,0.581632653
