Author,Year,Group,g,se_g,var_g,lCI_g,uCI_g,z,p
Bonetti de Poli,2016,,0.441,0.237,0.056,-0.023,0.905,1.861,0.063
Dittrich,2021,,0.854,0.32,0.102,0.226,1.481,2.667,0.008
Graham and Sathasivam ,1998,Cafvs Dec,0.543,0.327,0.107,-0.098,1.185,1.661,0.097
Graham and Sathasivam ,1998,Cafvs Pia,0.695,0.343,0.117,0.023,1.367,2.028,0.043
Graham and Sathasivam ,1998,Cofvs Dec,-0.025,0.301,0.091,-0.615,0.565,-0.084,0.933
Graham and Sathasivam ,1998,Cofvs Pia,0.166,0.304,0.092,-0.429,0.761,0.548,0.584
Graham and Sathasivam ,1998,Dec + Caf vs Dec,-0.051,0.301,0.091,-0.642,0.539,-0.17,0.865
Graham and Sathasivam ,1998,Dec + Cafvs Pia,0.144,0.303,0.092,-0.45,0.738,0.476,0.634
Graham and Spriet. ,1991,,0.74,0.384,0.147,-0.011,1.492,1.93,0.054
Kasper,2016,,0.469,0.335,0.113,-0.188,1.126,1.398,0.162
Khcharem,2022,,0.268,0.274,0.075,-0.269,0.805,0.977,0.329
Ping,2010,,0.904,0.369,0.136,0.181,1.627,2.451,0.014
