Author,Year,Group,g,se_g,var_g,lCI_g,uCI_g,z,p
Bell,2002,,0.241,0.144,0.021,-0.524,0.042,-1.669,0.095
Borba,2019,,0.03,0.26,0.067,-0.539,0.479,-0.116,0.907
Bridge,2006,,0.475,0.336,0.113,-1.134,0.183,-1.415,0.157
Clarke,2018,Cafvs Dec,0.324,0.267,0.071,-0.848,0.199,-1.214,0.225
Clarke,2018,Cafvs Pia,0.523,0.279,0.078,-1.07,0.024,-1.874,0.061
Cohen,1996,Caf 5mg vs Pia,0.019,0.329,0.108,-0.664,0.625,-0.059,0.953
Cohen,1996,Caf 9mg vs Pia,-0.024,0.329,0.108,-0.62,0.668,0.073,0.941
Hanson,2019,Caf 3mg vs Pia,-0.022,0.289,0.084,-0.544,0.589,0.077,0.939
Hanson,2019,Caf 6mg vs Pia,0.056,0.289,0.084,-0.624,0.511,-0.195,0.845
Khcharem,2021,,0.146,0.261,0.068,-0.658,0.366,-0.558,0.577
Khcharem,2022,,0.268,0.295,0.087,-0.847,0.31,-0.909,0.364
Manoel,2021,,0,0.244,0.06,-0.478,0.478,0,1
Marques,2018,,-0.098,0.269,0.073,-0.43,0.625,0.362,0.717
O'Rourke,2008,,0.152,0.246,0.06,-0.633,0.33,-0.618,0.537
Ramos-Campo,2019,Caftest1 vs Pia test1,0.053,0.244,0.06,-0.532,0.426,-0.216,0.829
Ramos-Campo,2019,Caftest1 vs Pia test2,0.248,0.248,0.062,-0.734,0.239,-0.997,0.319
Ramos-Campo,2019,Caftest2 vs Pia test1,-0.12,0.245,0.06,-0.36,0.601,0.491,0.624
Ramos-Campo,2019,Caftest2 vs Pia test2,0.081,0.245,0.06,-0.56,0.398,-0.331,0.741
Rohloff,2022,,0,0.205,0.042,-0.403,0.403,0,1
whallery,2019,Caf Strips vs Plaj,0.05,0.128,0.016,-0.301,0.202,-0.388,0.698
whalley,2019,Caf Gum vs Plaj,0.046,0.128,0.016,-0.298,0.206,-0.359,0.72
whalley,2019,CafTablets vs Plaj,0.08,0.128,0.017,-0.332,0.171,-0.626,0.531
