Author,Year,mean_t,sd_t,n_treatment,mean_c,sd_c,n_control,weight,d,CI_lower,CI_upper,se_d,J,g,se_g
Aguiar,2013,14,17,9,9,5,9,0.039,0.38,-0.55,1.31,0.474489796,0.952380952,0.361904762,0.451895044
Alves,2013,3.4,4,12,2.7,2.2,10,0.049,0.2,-0.64,1.05,0.431122449,0.962025316,0.192405063,0.41475071
Bemben,2010,42,13,10,33,6,10,0.04,0.85,-0.07,1.78,0.471938776,0.957746479,0.814084507,0.4519977
Bemben_p,2010,38,20,10,36,17,10,0.045,0.1,-0.77,0.98,0.446428571,0.957746479,0.095774648,0.427565392
Bermon,1998,1,1,8,0.6,0.4,8,0.034,0.5,-0.5,1.5,0.510204082,0.945454545,0.472727273,0.482374768
Brose_m,2003,30,20,7,22,12,7,0.03,0.45,-0.61,1.52,0.543367347,0.936170213,0.421276596,0.508684325
Brose_w,2003,15,14,6,13,7,6,0.027,0.17,-0.97,1.3,0.579081633,0.923076923,0.156923077,0.534536892
Candow,2008,11,11,13,9,14,12,0.056,0.15,-0.63,0.94,0.400510204,0.967032967,0.145054945,0.387306571
Candow_a,2015,16,13,12,2,15,12,0.047,0.96,0.11,1.82,0.43622449,0.965517241,0.926896552,0.421182266
Candow_b,2015,15,13,15,2,15,12,0.053,0.91,0.1,1.71,0.410714286,0.96969697,0.882424242,0.398268398
Chilibeck,2015,18,15,15,11,14,18,0.071,0.47,-0.22,1.17,0.354591837,0.975609756,0.458536585,0.345943255
Chrusch,2001,19,13,16,16,11,14,0.066,0.24,-0.48,0.96,0.367346939,0.972972973,0.233513514,0.357418643
Cooke,2014,8,9,10,7,13,10,0.045,0.09,-0.79,0.96,0.446428571,0.957746479,0.086197183,0.427565392
Gualano,2011,8,16,13,13,8,12,0.055,-0.38,-1.17,0.42,0.405612245,0.967032967,-0.367472527,0.392240413
Gualano,2014,2.6,4.3,15,1.8,4.9,15,0.067,0.17,-0.55,0.89,0.367346939,0.972972973,0.165405405,0.357418643
Hass,2007,0.2,0.07,10,0.1,0.06,10,0.034,1.47,0.46,2.48,0.515306122,0.957746479,1.407887324,0.493532624
Johannsmeyer,2016,15,20,14,13,22,17,0.069,0.09,-0.62,0.8,0.362244898,0.973913043,0.087652174,0.352795031
Pinto,2016,12,5,13,11,6,14,0.06,0.17,-0.58,0.93,0.385204082,0.96969697,0.164848485,0.373531231
Tarnopolsky_m,2007,42,36,10,38,14,8,0.04,0.13,-0.8,1.06,0.474489796,0.952380952,0.123809524,0.451895044
Tarnopolsky_w,2007,36,10,10,31,7,10,0.043,0.55,-0.34,1.45,0.456632653,0.957746479,0.526760563,0.437338316
Villanueva,2014,29,9,7,25,18,7,0.031,0.26,-0.79,1.32,0.538265306,0.936170213,0.243404255,0.503907946
