Author,Year,mean_t,sd_t,n_treatment,mean_c,sd_c,n_control,weight,ES,CI_lower,CI_upper,SE,pooled_sd,d,J,g,se_g
Aguiar,2013,1.1,1.5,9,0,2.5,9,0.044,1.1,-0.8,3,0.969387755,2.056381966,0.534920077,0.952380952,0.509447693,0.448956686
Brose_m,2003,1.4,4.6,5,0,3.5,2,0.004,1.4,-4.91,7.71,3.219387755,4.258849687,0.328727263,0.842105263,0.276822958,0.636571744
Brose_w,2003,2,2.5,5,0.6,1.2,5,0.027,1.4,-1.03,3.83,1.239795918,1.960289468,0.714180239,0.903225806,0.645066022,0.571250158
Candow,2008,2.1,1.4,13,0.6,2.1,12,0.08,1.5,0.09,2.91,0.719387755,1.798469388,0.834042553,0.967032967,0.806546645,0.386813187
Candow_a,2015,3,1.9,12,0.5,2.1,12,0.062,2.5,0.9,4.1,0.816326531,1.999583463,1.25026039,0.965517241,1.207147962,0.394170763
Candow_b,2015,1.8,2,15,0.5,2.1,12,0.065,1.3,-0.26,2.86,0.795918367,2.067856576,0.628670293,0.96969697,0.609619678,0.373236538
Chilibeck,2015,-1,2.9,15,-1.3,2.2,18,0.05,0.3,-1.49,2.09,0.913265306,2.623154882,0.114366102,0.975609756,0.111576685,0.339663719
Chrusch,2001,3.3,4.2,16,1.3,3.2,14,0.023,2,-0.65,4.65,1.352040816,3.702716269,0.540144006,0.972972973,0.52554552,0.355279497
Collins,2016,0.9,2.7,9,0.9,1.2,7,0.041,0,-1.98,1.98,1.010204082,2.020408163,0,0.945454545,0,0.472727273
Cooke,2014,2,4.8,10,0.5,6.9,10,0.006,1.5,-3.71,6.71,2.658163265,5.943833757,0.252362374,0.957746479,0.241699176,0.428317246
Deacon,2008,1.1,2.5,38,0.7,2,42,0.159,0.4,-0.6,1.4,0.510204082,2.281702018,0.175307729,0.990353698,0.173616658,0.221449819
Eijnde,2003,0.9,4.2,23,0.3,3.5,23,0.032,0.6,-1.63,2.83,1.137755102,3.858315271,0.155508287,0.982857143,0.152842431,0.28982876
Eliot,2008,2.5,4.6,10,-0.4,7.8,10,0.005,2.9,-2.71,8.51,2.862244898,6.40017416,0.45311267,0.957746479,0.433967064,0.428317246
Eliot_p,2008,1.6,5.6,11,0.7,3.9,11,0.01,0.9,-3.13,4.93,2.056122449,4.822034569,0.186643208,0.962025316,0.179555491,0.410208973
Gualano,2011,3,1.3,13,0,1.3,12,0.152,3,1.98,4.02,0.520408163,1.301020408,2.305882353,0.967032967,2.229864253,0.386813187
Johannsmeyer,2016,2.8,4.3,14,0.9,4.3,17,0.017,1.9,-1.14,4.94,1.551020408,4.317858077,0.44003299,0.973913043,0.428553868,0.349839893
Neves,2011,1.1,3.9,13,0.8,3,11,0.021,0.3,-2.46,3.06,1.408163265,3.449281475,0.086974636,0.965517241,0.08397551,0.394170763
Pinto,2016,1.8,1.3,13,0.6,1.3,14,0.165,1.2,0.22,2.18,0.5,1.299038106,0.923760431,0.96969697,0.89576769,0.373236538
Tarnopolsky_m,2007,2.7,5.4,11,1.4,3.5,8,0.01,1.3,-2.71,5.31,2.045918367,4.458975705,0.291546778,0.955223881,0.278492445,0.438286775
Tarnopolsky_w,2007,1.6,2.9,10,0.4,3.2,10,0.022,1.2,-1.48,3.88,1.367346939,3.057480704,0.392479991,0.957746479,0.37589633,0.428317246
Villanueva,2014,1.8,2.6,7,0.8,5.7,7,0.007,1,-3.64,5.64,2.367346939,4.42890058,0.22578967,0.936170213,0.211377563,0.500404027
