Author,Year,mean_t,sd_t,n_treatment,mean_c,sd_c,n_control,weight,d,CI_lower,CI_upper,se_d,pooled_sd,J,g,se_g
Alves,2013,17,14,12,8,9,10,0.047,0.72,-0.15,1.59,0.443877551,1.04098513,0.962025316,0.692658228,0.427021441
Bemben,2010,40,16,10,33,32,10,0.046,0.27,-0.62,1.15,0.451530612,1.009653143,0.957746479,0.258591549,0.432451854
Bemben_p,2010,45,23,10,49,33,10,0.046,-0.13,-1.01,0.74,0.446428571,0.998244633,0.957746479,-0.124507042,0.427565392
Bermon,1998,4.6,4.6,8,2.5,4.3,8,0.036,0.45,-0.55,1.44,0.507653061,1.015306122,0.945454545,0.425454545,0.479962894
Brose_m,2003,50,33,7,65,23,7,0.031,-0.49,-1.56,0.58,0.545918367,1.021319746,0.936170213,-0.458723404,0.511072514
Brose_w,2003,42,36,6,47,1B,6,0.028,-0.16,-1.3,0.97,0.579081633,1.002998809,0.923076923,-0.147692308,0.534536892
Candow,2008,20,18,13,21,17,12,0.058,-0.06,-0.84,0.73,0.400510204,1.00127551,0.967032967,-0.058021978,0.387306571
Candow_a,2015,41,38,12,6,35,12,0.049,0.93,0.08,1.77,0.431122449,1.056030017,0.965517241,0.897931034,0.416256158
Candow_b,2015,37,27,15,6,35,12,0.054,0.98,0.17,1.79,0.413265306,1.073694761,0.96969697,0.95030303,0.400742115
Chilibeck,2015,54,49,15,50,45,18,0.075,0.08,-0.6,0.77,0.349489796,1.003833013,0.975609756,0.07804878,0.340965655
Chrusch,2001,50,24,16,29,19,14,0.061,0.94,0.18,1.7,0.387755102,1.061911081,0.972972973,0.914594595,0.377275234
Cooke,2014,67,46,10,64,52,10,0.046,0.06,-0.82,0.94,0.448979592,1.003948888,0.957746479,0.057464789,0.430008623
Gualano,2011,14,16,13,13,B,12,0.058,0.08,-0.71,0.86,0.400510204,1.00127551,0.967032967,0.077362637,0.387306571
Gualano,2014,14,13,15,10,9,15,0.068,0.35,-0.37,1.07,0.367346939,1.006021024,0.972972973,0.340540541,0.357418643
Johannsmeyer,2016,28,23,14,36,24,17,0.07,-0.33,-1.04,0.38,0.362244898,1.008447117,0.973913043,-0.321391304,0.352795031
Neves,2011,10,11,13,11,11,11,0.055,-0.09,-0.89,0.72,0.410714286,1.00604043,0.965517241,-0.086896552,0.396551724
Pinto,2016,54,47,13,71,33,14,0.061,-0.41,-1.17,0.36,0.390306122,1.014045052,0.96969697,-0.397575758,0.378478664
Tarnopolsky_m,2007,80,44,10,64,34,8,0.04,0.38,-0.56,1.32,0.479591837,1.01736792,0.952380952,0.361904762,0.45675413
Tarnopolsky_w,2007,77,19,10,50,34,10,0.041,0.94,0,1.87,0.477040816,1.066695693,0.957746479,0.90028169,0.456884162
Villanueva,2014,210,97,7,180,53,7,0.032,0.36,-0.7,1.42,0.540816327,1.011774702,0.936170213,0.337021277,0.506296135
