Author,n_control,mc_control,sd_control,n_treat,mc_treat,sd_treat,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g
Andre,10,-0.4,1.56,9,1.2,1.55,1.6,0.2,3,0.714285714,1.556749623,1.027782488,0.955223881,0.981762376,0.438286775
Burke,12,0.82,2.21,12,1.91,2.91,1.09,-0.97,3.16,1.053571429,2.580712408,0.422363994,0.965517241,0.407799718,0.394170763
Burke,8,0.82,1.99,10,3.28,7 03,2.46,-2.11,7.03,2.331632653,4.946139781,0.497357557,0.952380952,0.473673864,0.448956686
Cribb,7,0.7,1.65,8,4.3,2.1,3.6,1.7,5.5,0.969387755,1.877211316,1.91773828,0.941176471,1.804930146,0.48602144
Ferguson,13,0.93,1.13,13,1.08,0.92,0.15,-0.64,0.94,0.403061224,1.027608524,0.145969984,0.968421053,0.141360406,0.379845988
Hoffman,11,-0.55,1.59,11,0.64,1.72,1.19,-0.19,2.57,0.704081633,1.651217793,0.720680219,0.962025316,0.693312615,0.410208973
Nunes,21,0.46,1.32,22,1.77,1.03,1.31,0.6,2.02,0.362244898,1.187699325,1.102972758,0.981595092,1.082672646,0.299383696
Taylor,15,0.5,1.98,14,1.9,1.99,1.4,-0.05,2.85,0.739795918,1.991961472,0.702824839,0.971962617,0.683119469,0.360977854
Volek,8,2,1.41,9,3.4,1.29,1.4,0.11,2.69,0.658163265,1.356838331,1.031810473,0.949152542,0.979345534,0.46040661
Arciero,10,0.2,1.45,10,1.7,1.07,1.5,0.38,2.62,0.571428571,1.27775313,1.173935688,0.957746479,1.124332772,0.428317246
Saremi,8,203,0.37,8,2.6,0.39,0.57,0.2,0.94,0.18877551,0.37755102,1.50972973,0.945454545,1.427380835,0.472727273
Spillane,5,0.85,1.14,10,1.85,2.55,1,-0.87,2.87,0.954081633,1.847571137,0.541251149,0.941176471,0.509412846,0.48602144
