Author,Year,n,md,se_md,var_md,lCI,uCI,z,p,pooled_sd,d,J,g,se_g
Almeida,2022,34,18.1,24.882,619.106,-30.668,66.868,0.727,0.467,72.54287252,0.249507627,0.976377953,0.243613746,0.334894875
Arazi,2019,16,12.62,7.466,55.741,-2.013,27.253,1.69,0.091,14.932,0.845164747,0.945454545,0.799064852,0.472727273
Bernat,2019,24,60.59,28.138,791.768,5.44,115.74,2.153,0.031,68.92374238,0.879087494,0.965517241,0.848774133,0.394170763
Brosea,2003,13,-6.82,10.802,116.678,-27.991,14.351,-0.631,0.528,19.47358244,-0.350218046,0.930232558,-0.325784229,0.516000183
Broseb,2003,13,-2.27,10.113,102.275,-22.091,17.551,-0.224,0.822,18.23147002,-0.124509982,0.930232558,-0.115823239,0.516000183
Candowa,2015,19.5,30.9,14.087,198.455,3.289,58.511,2.193,0.028,31.10325383,0.993465191,0.956521739,0.950271052,0.433219039
Candowb,2015,19.5,35.07,18.756,351.775,-1.69,71.83,1.87,0.062,41.4121267,0.846853393,0.956521739,0.81003368,0.433219039
Chamia,2019,16.5,-6.8,5.533,30.616,-17.645,4.045,-1.229,0.219,11.23757612,-0.605112697,0.947368421,-0.573264661,0.466451966
Chamib,2019,16.5,-8,4.961,24.607,-17.723,1.723,-1.613,0.107,10.07583863,-0.793978575,0.947368421,-0.752190229,0.466451966
Chrusch,2001,30,19.58,15.195,230.894,-10.202,49.362,1.289,0.198,41.61322131,0.470523535,0.972972973,0.457806683,0.355279497
Eghbalia,2024,18,8.3,6.049,36.593,-3.556,20.156,1.372,0.17,12.83186676,0.646827165,0.952380952,0.616025872,0.448956686
Eghbalib,2024,18,8,5.705,32.552,-3.182,19.182,1.402,0.161,12.10213256,0.66104052,0.952380952,0.6295624,0.448956686
Ferguson,2006,26,6.53,21.188,448.944,-34.998,48.058,0.308,0.758,54.01901273,0.120883364,0.968421053,0.117065995,0.379845988
Gualanoa,2014,30,3.9,6.448,41.583,-8.739,16.539,0.605,0.545,17.65857525,0.22085587,0.972972973,0.214886792,0.355279497
Gualanob,2014,30,0.6,6.815,46.451,-12.758,13.958,0.088,0.93,18.66364615,0.032148059,0.972972973,0.031279193,0.355279497
Herdaa,2009,19.33333333,21.13,27.137,736.418,-32.058,74.318,0.779,0.436,59.66026916,0.354172053,0.956097561,0.338623036,0.434889414
Herdab,2009,19.33333333,22.04,32.254,1040.302,-41.176,85.256,0.683,0.494,70.90991346,0.310816907,0.956097561,0.297171287,0.434889414
Herdac,2009,19.33333333,11.63,25.826,667.006,-38.989,62.249,0.45,0.652,56.77805621,0.204832655,0.956097561,0.195840002,0.434889414
Johannsmeyer,2016,29,-8.1,13.743,188.867,-35.036,18.836,-0.589,0.556,37.00415997,-0.218894308,0.971962617,-0.212757085,0.360977854
Kaviani,2019,18,14,9.387,88.111,-4.398,32.398,1.491,0.136,19.91283406,0.703064162,0.952380952,0.669584916,0.448956686
Mills,2020,22,32.8,42.589,1813.832,-50.673,116.273,0.77,0.441,99.8800584,0.328393881,0.962025316,0.315923227,0.410208973
Pakulaka,2022,16.5,-8,15.632,244.347,-38.637,22.637,-0.512,0.609,31.74874209,-0.251978487,0.947368421,-0.238716462,0.466451966
Pakulakb,2022,16.5,12,15.863,251.621,-19.09,43.09,0.756,0.449,32.2179053,0.372463693,0.947368421,0.352860341,0.466451966
Peetersa,1999,17.5,7.64,31.499,992.208,-54.098,69.378,0.243,0.808,65.88488544,0.115959828,0.950819672,0.110256886,0.45457875
Peetersb,1999,17.5,2.87,27.402,750.863,-50.837,56.577,0.105,0.917,57.31539512,0.050073806,0.950819672,0.04761116,0.45457875
Pinto,2016,27,-16.8,16.487,271.819,-49.114,15.514,-1.019,0.308,42.8344825,-0.392207376,0.96969697,-0.380322304,0.373236538
Samadi,2022,20,0.4,8.299,68.873,-15.866,16.666,0.048,0.962,18.55712815,0.021555059,0.957746479,0.020644282,0.428317246
Syrotuika,2000,10.5,13.7,65.637,4308.208,-114.946,142.346,0.209,0.835,106.3440943,0.128827088,0.909090909,0.117115535,0.561103091
Syrotuikb,2000,10.5,26.3,51.613,2663.85,-74.859,127.459,0.51,0.61,83.62261742,0.314508213,0.909090909,0.285916558,0.561103091
Syrotuik,2001,22,-6.4,29.082,845.788,-63.401,50.601,-0.22,0.826,68.20333556,-0.093837053,0.962025316,-0.09027362,0.410208973
Trexler,2016,28,0.5,28.366,804.635,-55.097,56.097,0.018,0.986,75.04938169,0.00666228,0.970873786,0.006468233,0.366955799
