Author,Year,n,md,se_md,var_md,lCI,uCI,z,p,pooled_sd,d,J,g,se_g
Almeida,2022,34,5.4,6.749,45.553,-7.828,18.628,0.8,0.424,19.67654717,0.274438394,0.976377953,0.267955597,0.334894875
Bonilla,2021,16,7.04,8.208,67.377,-9.048,23.128,0.858,0.391,16.416,0.428849903,0.945454545,0.40545809,0.472727273
Candow,2021,39,-7.4,13.508,182.479,-33.876,19.076,-0.548,0.584,42.17871648,-0.175443935,0.979591837,-0.171863447,0.313720465
Chilibeck,2015,33,4,15.236,232.124,-25.861,33.861,0.263,0.793,43.76207824,0.091403337,0.975609756,0.089173988,0.339663719
Chilibecka,2023,118.5,0.8,3.319,11.017,-5.705,7.305,0.241,0.81,18.06493619,0.044284685,0.993548387,0.043998977,0.182540755
Chilibeckb,2023,118.5,0.7,3.249,10.557,-5.668,7.068,0.215,0.829,17.68393422,0.039583952,0.993548387,0.039328571,0.182540755
DelFavero,2012,17,9.7,13.137,172.573,-16.047,35.447,0.738,0.46,27.0826193,0.358163289,0.949152542,0.339951596,0.46040661
Gotshalk,2002,18,13.16,19.158,367.018,-24.388,50.708,0.687,0.492,40.64025514,0.323816865,0.952380952,0.308397014,0.448956686
Izquierdo,2002,19,15,8.179,66.897,-1.031,31.031,1.834,0.067,17.82571723,0.841480868,0.955223881,0.80380262,0.438286775
larsonmeyera,2000,7,5.1,8.438,71.201,-11.438,21.638,0.604,0.546,11.16242478,0.456889977,0.842105263,0.384749454,0.636571744
larsonmeyerb,2000,7,8.1,7.864,61.839,-7.313,23.513,1.03,0.303,10.40309416,0.778614504,0.842105263,0.655675372,0.636571744
Lawa,2009,8.5,2.6,8.33,69.391,-13.727,18.927,0.312,0.755,12.14295732,0.214115881,0.88,0.188421975,0.60367502
Lawb,2009,8.5,10.1,7.904,62.475,-5.392,25.592,1.278,0.201,11.52196094,0.876586898,0.88,0.77139647,0.60367502
Pearson,1999,16,16.9,30.849,951.653,-43.563,77.363,0.548,0.584,61.698,0.273914876,0.945454545,0.258974064,0.472727273
Stonea,1999,21,2.6,10.556,111.421,-18.089,23.289,0.246,0.805,24.18683452,0.107496498,0.96,0.103196638,0.418978349
Stoneb,1999,21,4.9,14.524,210.951,-23.567,33.367,0.337,0.736,33.2786647,0.147241485,0.96,0.141351825,0.418978349
Tayebia,2020,12,2.3,1.739,3.026,-1.109,5.709,1.322,0.186,3.012036354,0.763603001,0.923076923,0.704864309,0.53293871
Tayebib,2020,12,5.2,1.793,3.214,1.686,8.714,2.9,0.004,3.105567098,1.674412381,0.923076923,1.545611429,0.53293871
Tayebic,2020,12,11.7,1.776,3.154,8.219,15.181,6.588,0,3.076122234,3.803489949,0.923076923,3.510913799,0.53293871
Tayebi,2021,18,11.5,5.768,33.272,0.195,22.805,1.994,0.046,12.23577574,0.93986685,0.952380952,0.895111285,0.448956686
Volek,1999,19,8.5,12.147,147.555,-15.308,32.308,0.7,0.484,26.47377273,0.321072485,0.955223881,0.306696105,0.438286775
Voleka,2004,8.5,3.4,4.185,17.517,-4.803,11.603,0.812,0.417,6.10063342,0.557319178,0.88,0.490440876,0.60367502
Volekb,2004,8.5,7.3,4.051,16.412,-0.64,15.24,1.802,0.072,5.905296532,1.236178397,0.88,1.087836989,0.60367502
Wildera,2002,13.5,10.1,14.337,205.54,-17.999,38.199,0.704,0.481,26.33875083,0.383465414,0.933333333,0.357901053,0.508042317
Wilderb,2002,13.5,-0.1,11.134,123.958,-21.922,21.722,-0.009,0.993,20.4544641,-0.004888908,0.933333333,-0.004562981,0.508042317
