Author,Year,n,md,se_md,var_md,lCI,uCI,z,p,pooled_sd,d,J,g,se_g
Forbes,2017,17,-3,15.411,237.512,-33.206,27.206,-0.195,0.846,31.7705904,-0.094426952,0.949152542,-0.089625581,0.46040661
Green,2001,19,-11.71,89.185,7953.888,-186.509,163.089,-0.131,0.896,194.3742011,-0.060244621,0.955223881,-0.0575471,0.438286775
Havenetidisa,2003,7,48,56.775,3223.429,-63.277,159.277,0.845,0.398,75.10626534,0.639094485,0.842105263,0.53818483,0.636571744
Havenetidisb,2003,7,222,69.834,4876.857,85.127,358.873,3.179,0.001,92.38169853,2.403073374,0.842105263,2.023640736,0.636571744
Havenetidisc,2003,7,236,100.121,10024.286,39.766,432.234,2.357,0.018,132.4476335,1.781836291,0.842105263,1.500493718,0.636571744
Herdaa,2009,19.33333333,43.5,43.242,1869.871,-41.253,128.253,1.006,0.314,95.06685924,0.457572706,0.956097561,0.437484148,0.434889414
Herdab,2009,19.33333333,12.4,54.013,2917.371,-93.463,118.263,0.23,0.818,118.7467339,0.104423925,0.956097561,0.09983946,0.434889414
Herdac,2009,19.33333333,23.2,42.93,1842.988,-60.941,107.341,0.54,0.589,94.38093213,0.245812364,0.956097561,0.235020601,0.434889414
Krestaa,2014,7.5,-274,115.826,13415.625,-501.014,-46.986,-2.366,0.018,158.6012824,-1.727602677,0.857142857,-1.480802295,0.625968637
Krestab,2014,7.5,237,113.314,12840.103,14.908,459.092,2.092,0.036,155.1615847,1.52743993,0.857142857,1.309234225,0.625968637
Lawa,2009,8.5,160,130.281,16973.119,-95.346,415.346,1.228,0.219,189.915561,0.842479675,0.88,0.741382114,0.60367502
Lawb,2009,8.5,258.5,175.415,30770.311,-85.306,602.306,1.474,0.141,255.7091067,1.010914329,0.88,0.88960461,0.60367502
Mabreya,2024,6,62.8,70.729,5002.645,-75.827,201.427,0.888,0.375,86.62498001,0.724964092,0.8,0.579971274,0.653197265
Mabreyb,2024,6,10.9,72.955,5322.439,-132.089,153.889,0.149,0.881,89.35126209,0.121990442,0.8,0.097592354,0.653197265
Okudan,2014,22,59.63,27.596,761.561,5.542,113.718,2.161,0.031,64.71835665,0.921376918,0.962025316,0.886387921,0.410208973
Tayebia,2020,12,-30.59,65.628,4307.021,-159.218,98.038,-0.466,0.641,113.6710304,-0.269109903,0.923076923,-0.248409142,0.53293871
Tayebib,2020,12,-0.03,51.65,2667.728,-101.262,101.202,-0.001,1,89.46042421,-0.000335344,0.923076923,-0.000309548,0.53293871
Tayebic,2020,12,101.19,43.241,1869.798,16.439,185.941,2.34,0.019,74.89560897,1.351080543,0.923076923,1.24715127,0.53293871
Tayebi,2021,18,101.2,43.218,1867.809,16.494,185.906,2.342,0.019,91.67922261,1.103848802,0.952380952,1.051284573,0.448956686
Theodorou,2017,14,63,108.867,11852,-150.375,276.375,0.579,0.563,203.6715074,0.309321617,0.936170213,0.289577684,0.500404027
Zuniga,2012,22,11.4,40.802,1664.819,-68.571,91.371,0.279,0.78,95.68917192,0.119135737,0.962025316,0.114611595,0.410208973
