Author,n,type,duration,CI_lower,md,CI_upper,se_md,pooled_sd,d,J,g,se_g
Komindr,10,Crossover (106 vs. 70),4,-5.3164,2.1806,9.2645,3.719617347,11.76246284,0.185386345,0.914285714,0.169496087,0.289122529
Collier,7,Crossover (82 vs. 69),6,10.1512,26.2084,39.8448,7.574897959,20.04129621,1.307719807,0.869565217,1.137147658,0.328664759
Jarvi,20,Crossover (83 vs. 57),3.5,-2.3641,2.2407,6.7268,2.319107143,10.37136244,0.216046832,0.96,0.207404959,0.214662526
Fontvieille,8,Crossover (84 vs. 65),3,11.2346,21.2706,30.7742,4.984591837,14.09855476,1.508707833,0.888888889,1.34107363,0.314269681
Woleverb,6,Crossover (86 vs. 58),6,-1.8531,9.6581,19.8706,5.541760204,13.57448478,0.711489251,0.842105263,0.599148843,0.343788034
Wolever,15,Crossover (87 vs. 60),2,-0.8873,3.1862,7.1411,2.048061224,7.932107014,0.40168394,0.945454545,0.379773907,0.244115314
Luscombe,21,Crossover (88 vs. 60),4,-1.8725,1.67,5.6836,1.927576531,8.833265359,0.189058059,0.962025316,0.181878639,0.209931135
Fontvieille,12,Crossover (90 vs. 53),5,11.1744,19.203,26.1685,3.82502551,13.25027705,1.449252716,0.930232558,1.348142061,0.268535009
Brand,16,Crossover (90 vs. 77),12,4.6035,11.2153,17.6495,3.328061224,13.3122449,0.842479994,0.949152542,0.799642028,0.237288136
Jenkins,8,Crossover (91 vs. 67),2,-4.3907,1.158,6.117,2.680535714,7.581699923,0.152736195,0.888888889,0.135765507,0.314269681
Lafrance,9,Crossover (99 vs. 63),1.9,-0.0812,5.173,11.253,2.891377551,8.674132653,0.596370866,0.903225806,0.538657556,0.301075269
Gilbertson,104,Parallel (79 vs. 77),52,-0.8691,6.2147,12.7673,3.478673469,17.7378239,0.350364286,0.992628993,0.347781748,0.194670562
Frost,51,Parallel (82 vs. 77),12,-0.0412,10.7023,21.2693,5.436352041,19.41165951,0.551333594,0.984615385,0.542851539,0.275747463
Giacco,63,Parallel (90 vs. 70),24,0.6855,5.7623,11.1932,2.680535714,10.63804632,0.541669008,0.987654321,0.534981737,0.248865497
