Author,LC_mean,LC_sd,n_LC,LF_mean,LF_sd,n_LF,weight,md,md_lCI,md_uCI,md_se,pooled_sd,d,J,g,se_g
Brinkworth,-13.1,11.86,55,-11.6,11.53,52,2.8,1.5,-2.93,5.93,2.260204082,11.68527083,0.128366729,0.992840095,0.127447636,0.192038445
Dansinger,-2.1,4.8,40,-3.3,7.3,40,7.4,-1.2,-3.91,1.51,1.382653061,6.183412468,-0.194067597,0.990353698,-0.192195562,0.221449819
Davis,-3.1,4.8,55,-3.1,5.8,50,13,0,-2.05,2.05,1.045918367,5.352657894,0,0.99270073,0,0.193975395
Dyson,0.3,6.96,11,-0.8,3.97,11,2.4,-1.1,-5.84,3.64,2.418367347,5.671574159,-0.193949681,0.962025316,-0.186584503,0.410208973
Foster,-7.2,7,33,-4.4,8,30,3.9,2.8,-0.93,6.53,1.903061224,7.543972264,0.37115725,0.987654321,0.366575062,0.249148138
Foster,-6.34,10.82,153,-7.37,10.98,154,9.2,1.03,-3.47,1.41,1.244897959,10.90612932,0.094442306,0.997538966,0.09420988,0.113865716
Lim,-4.7,7.16,77,-2.6,5.55,76,13.3,2.1,-0.07,4.13,1.071428571,6.626278218,0.316919986,0.995024876,0.31534327,0.160889423
Iqbal,-1.5,8.36,67,-0.2,7.74,71,7.5,1.3,-1.39,3.99,1.37244898,8.057925377,0.161331849,0.994475138,0.160440513,0.16938186
Lim,-2.9,4.9,17,-2.1,4.7,18,5.4,0.8,-2.38,3.98,1.62244898,4.797309518,0.166760139,0.977099237,0.162941204,0.330454738
McAuley,-5.4,12.6,24,-4.4,12.2,24,1.1,1,-8.02,8.02,4.091836735,14.17453824,0.070549035,0.983606557,0.069392494,0.283942755
Shai,-4.7,6.5,109,-2.9,4.2,104,25.5,1.8,0.34,3.26,0.744897959,5.434216056,0.33123453,0.996441281,0.330055759,0.136587701
Stern,-5.1,8.7,62,-3.1,8.4,64,6.1,2,-0.99,4.99,1.525510204,8.56082612,0.233622313,0.993939394,0.23220642,0.177116632
Truby,-9,4.1,9,-10.7,6.2,9,2.3,1.7,-6.56,3.16,2.479591837,5.260008607,0.323193388,0.952380952,0.307803226,0.448956686
