Author,Year,Health_Status,n,Study_Design,MD,lCI,uCI,md_se,pooled_sd,d,J,g,se_g
Itsiopoulos,2011,High CVD Risk,27,Crossover,-2,-0.77,4.77,1.413265306,7.343541944,-0.272348141,0.970873786,-0.264415671,0.186844747
Lee,2015,Healthy,24,Crossover,2.19,-4.37,8.75,3.346938776,16.3965844,0.133564403,0.967032967,0.129161181,0.197394778
Ryan,2013,High CVD Risk,12,Crossover,8,3.32,12.68,2.387755102,8.271426306,0.967185066,0.930232558,0.899707038,0.268535009
Assaf-Balut,2019,High CVD Risk,697,Parallel,0,-1.4,1.4,0.714285714,9.428841987,0,0.998922027,0,0.07567374
Bajerska,2018,High CVD Risk,144,Parallel,-1.4,-4.4,1.6,1.530612245,9.183673469,-0.152444444,0.99474606,-0.15164351,0.16579101
Casas A,2016,High CVD Risk,80,Parallel,7.7,4.12,11.28,1.826530612,8.168493224,0.942646311,0.99047619,0.933668727,0.221477209
Casas B,2016,High CVD Risk,80,Parallel,8.3,4.72,11.88,1.826530612,8.168493224,1.01609927,0.99047619,1.006422134,0.221477209
Ceriello,2014,High CVD Risk,24,Parallel,-1.9,-5.28,1.48,1.724489796,4.224120067,-0.449797821,0.967032967,-0.434969321,0.394789556
Davis,2017,Healthy,149,Parallel,-0.6,-3.02,1.82,1.234693878,7.535679742,-0.079621218,0.994923858,-0.079217049,0.163014677
de Lorgeril,1994,High CVD Risk,605,Parallel,1,-2.17,4.17,1.617346939,19.89073734,0.050274657,0.998757764,0.050212204,0.081210555
Esposito,2004,High CVD Risk,180,Parallel,2,0.29,3.71,0.87244898,5.852565676,0.341730467,0.995804196,0.340296633,0.148445725
Jennings,2019,Healthy,1128,Parallel,1.7,-0.84,4.24,1.295918367,21.76217004,0.07811721,0.999334369,0.078065212,0.059509496
Jospe,2019,Healthy,114,Parallel,0.2,-3.62,4.02,1.948979592,10.40470381,0.019222075,0.993348115,0.019094212,0.18607115
Maiorino,2017,High CVD Risk,215,Parallel,1.4,0.07,2.73,0.678571429,4.974905137,0.281412401,0.996491228,0.280424989,0.135920275
Osella,2018,High CVD Risk,100,Parallel,2,-1.07,5.07,1.566326531,7.831632653,0.255374593,0.992405063,0.253435039,0.198481013
Properzi,2018,High CVD Risk,51,Parallel,0,-4.51,4.51,2.301020408,8.216286279,0,0.984924623,0,0.275834067
Rogerson,2018,Healthy,24,Parallel,0.8,-6.85,8.45,3.903061224,9.560508435,0.083677558,0.967032967,0.080918957,0.394789556
Shai,2008,High CVD Risk,213,Parallel,1.3,-1.08,3.68,1.214285714,8.86095828,0.146710994,0.996458087,0.146191357,0.136552366
Tuttle,2008,High CVD Risk,101,Parallel,0,-4.07,4.07,2.076530612,10.43443719,0,0.992481203,0,0.197511142
Vincent-Baudry,2005,High CVD Risk,169,Parallel,-2,-6.29,2.29,2.18877551,14.22704082,-0.140577371,0.995529061,-0.139948859,0.153158317
