Author,Year,Health_Status,n,Study_Design,MD,lCI,uCI,md_se,pooled_sd,d,J,g,se_g
Itsiopoulos,2011,High CVD Risk,27,Crossover,0,-0.01,0.01,0.005102041,0.026510982,0,0.970873786,0,0.186844747
Lee,2015,Healthy,24,Crossover,2.86,-5.71,11.43,4.37244898,21.42053785,0.133516722,0.967032967,0.129115072,0.197394778
Ryan,2013,High CVD Risk,12,Crossover,8,-0.24,16.24,4.204081633,14.56336597,0.549323557,0.930232558,0.510998658,0.268535009
Assaf-Balut,2019,High CVD Risk,697,Parallel,0,-1.66,1.66,0.846938776,11.17991264,0,0.998922027,0,0.07567374
Bajerska,2018,High CVD Risk,144,Parallel,-0.2,-4.68,4.28,2.285714286,13.71428571,-0.014583333,0.99474606,-0.014506713,0.16579101
Casas A,2016,High CVD Risk,80,Parallel,8.6,2.67,14.53,3.025510204,13.53049297,0.63560138,0.99047619,0.629548033,0.221477209
Casas B,2016,High CVD Risk,80,Parallel,9.8,3.94,15.66,2.989795918,13.37077382,0.732941872,0.99047619,0.725961473,0.221477209
Ceriello,2014,High CVD Risk,24,Parallel,0.3,-3.17,3.77,1.770408163,4.336596636,0.069178673,0.967032967,0.066898057,0.394789556
Davis,2017,Healthy,149,Parallel,1,-2.54,4.54,1.806122449,11.02326706,0.090717207,0.994923858,0.090256714,0.163014677
de Lorgeril,1994,High CVD Risk,605,Parallel,2,-1.05,5.05,1.556122449,19.13777567,0.104505353,0.998757764,0.104375533,0.081210555
Esposito,2004,High CVD Risk,180,Parallel,3,0.49,5.51,1.280612245,8.590608097,0.349218585,0.995804196,0.347753332,0.148445725
Jennings,2019,Healthy,1128,Parallel,5.5,0.54,10.46,2.530612245,42.49620607,0.129423318,0.999334369,0.12933717,0.059509496
Jospe,2019,Healthy,114,Parallel,4.3,-0.83,9.43,2.617346939,13.97280904,0.307740554,0.993348115,0.3056935,0.18607115
Maiorino,2017,High CVD Risk,215,Parallel,1.5,0.08,2.92,0.724489796,5.311552853,0.28240329,0.996491228,0.281412401,0.135920275
Osella,2018,High CVD Risk,100,Parallel,-3.7,-9.6,2.2,3.010204082,15.05102041,-0.245830508,0.992405063,-0.243963441,0.198481013
Properzi,2018,High CVD Risk,51,Parallel,0,-7.5,7.5,3.826530612,13.66344725,0,0.984924623,0,0.275834067
Rogerson,2018,Healthy,24,Parallel,-2.3,-9.94,5.34,3.897959184,9.548011038,-0.240887866,0.967032967,-0.232946507,0.394789556
Shai,2008,High CVD Risk,213,Parallel,1.2,-2.33,4.73,1.801020408,13.14251375,0.091306733,0.996458087,0.090983333,0.136552366
Tuttle,2008,High CVD Risk,101,Parallel,-1,-6.71,4.71,2.913265306,14.63897699,-0.068310784,0.992481203,-0.067797169,0.197511142
Vincent-Baudry,2005,High CVD Risk,169,Parallel,-1,-5.24,3.24,2.163265306,14.06122449,-0.071117562,0.995529061,-0.070799599,0.153158317
