Author,Year,g,se_g,Variance,Lower limit,Upper limit,Z-Value,p-Value
Agarwal,2015,0.353,0.12,0.014,0.118,0.589,2.941,0.003
Assaf,2015,0.027,0.01,0,0.008,0.046,2.744,0.006
Einvik,2010,-0.048,0.089,0.008,-0.222,0.127,-0.534,0.593
Endevelt,2010,0.711,0.248,0.061,0.226,1.196,2.873,0.004
Forster,2012,0.223,0.124,0.015,-0.02,0.466,1.798,0.072
Hyyppa,2003,-0.136,0.182,0.033,-0.492,0.22,-0.749,0.454
Imayama,2011,0.273,0.096,0.009,0.085,0.461,2.844,0.004
Jacka,2017,0.865,0.279,0.078,0.319,1.412,3.102,0.002
Jenkinson,2009,0.216,0.103,0.011,0.013,0.418,2.088,0.037
Kasckowa,2014,-0.583,0.414,0.172,-1.395,0.23,-1.406,0.16
Kasckowb,2014,0.12,0.255,0.065,-0.381,0.62,0.469,0.639
Kiernan,2001,-0.095,0.233,0.054,-0.552,0.362,-0.408,0.683
McMillian,2011,0.149,0.388,0.15,-0.611,0.908,0.383,0.702
Nieman,2000,0.159,0.207,0.043,-0.247,0.565,0.768,0.442
Scheier,2005,0.234,0.115,0.013,0.009,0.459,2.035,0.042
Wardle,2000,1.683,0.166,0.028,1.358,2.008,10.139,0
