Author,Year,n_treat,n_control,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g
AI-Dujaili,2017,16,16,-0.9,-3.87,2.07,1.515306122,4.285932939,-0.209989287,0.974789916,0.204695439,0.34464028
Blackbum,1997,41,45,-5.1,-7.15,-3.05,1.045918367,4.849723958,-1.051606245,0.991044776,1.042188875,0.213734213
Bonnet,2018,50,50,-0.59,-1.7,0.52,0.566326531,2.831632653,-0.20836036,0.992327366,0.206761688,0.198465473
Campos,2015,14,13,-2.3,-5.09,0.49,1.423469388,3.698281954,-0.621910397,0.96969697,0.603064628,0.373236538
Ebbeling,2020,67,136,-0.35,-1.75,1.05,0.714285714,5.088502446,-0.068782516,0.99626401,0.068525545,0.139848051
Engel,2018,15,30,-0.57,-2.27,1.12,0.864795918,2.90061369,-0.196510139,0.98245614,0.193062593,0.292911829
Han,2018,40,81,0.77,0.11,1.43,0.336734694,1.852040816,0.415757576,0.993684211,-0.413131738,0.180669856
Higgins,2018,31,31,0.7,-0.6,2,0.663265306,2.611278121,0.26806796,0.987447699,-0.264703091,0.250811966
Higgins,2019,115,39,-1.41,-2.2,-0.61,0.405612245,2.516757793,-0.560244615,0.995057661,0.557475696,0.160368063
Kanders,1988,28,27,-0.98,-2.75,0.78,0.900510204,3.339181207,-0.293485121,0.985781991,0.289312347,0.265845633
Kim,2011,9,12,-0.68,-1.61,0.25,0.474489796,1.087192703,-0.625464095,0.96,0.600445531,0.418978349
Kim,2020,39,39,-0.2,-4.13,3.73,2.005102041,8.854290869,-0.022587918,0.99009901,0.022364276,0.224213274
Kuzma,2015,9,9,0,-5.78,5.78,2.948979592,6.255730401,0,0.952380952,0,0.448956686
Lertrit,2018,15,15,0.05,-10.71,10.81,5.489795918,15.0344253,0.003325701,0.972972973,-0.003235817,0.355279497
Madjd,2018,36,35,2.4,0.97,3.83,0.729591837,3.073825045,0.780786143,0.989090909,-0.772268476,0.23476699
Markey,2016,50,50,-0.4,-1.56,0.76,0.591836735,2.959183673,-0.135172414,0.992327366,0.134135285,0.198465473
Mclay-Cooke,2016,63,53,-0.68,-1.27,-0.1,0.298469388,1.607306843,-0.423067943,0.993406593,0.420278484,0.184470973
Njike,2011,32,33,-0.09,-0.49,0.31,0.204081633,0.822679362,-0.109398636,0.988047809,0.108091082,0.245104495
Peters,2016,154,149,-3.76,-4.52,-3,0.387755102,3.374806209,-1.114138047,0.997506234,1.111359648,0.114610472
Raben,2002,20,21,-2.6,-3.71,-1.49,0.566326531,1.813129567,-1.433984668,0.980645161,1.406230126,0.306302088
Reid,2007,65,68,-0.66,-1.04,-0.28,0.193877551,1.117952496,-0.590364977,0.994263862,0.586978562,0.172427221
Reid,2010,29,24,-0.49,-1.13,0.14,0.323979592,1.179303515,-0.415499482,0.985221675,0.409359096,0.27066121
Reid,2014,21,20,0.18,-0.99,1.35,0.596938776,1.911136571,0.094184792,0.980645161,-0.09236186,0.306302088
Romo-Romo,2018,30,31,-0.82,-1.59,-0.05,0.392857143,1.534156186,-0.534495775,0.987234043,0.527672425,0.252804733
SagrarioLopez-Meza,2021,26,13,-0.37,-1.99,1.25,0.826530612,2.58084101,-0.14336412,0.979591837,0.140438322,0.313720465
Sanchez-Delgado,2021,26,12,-1.08,-2.89,0.72,0.920918367,2.83846104,-0.380487872,0.979020979,0.372505609,0.317636349
Stamataki,2020,14,14,-1.11,-1.37,-0.85,0.132653061,0.350967011,-3.162690413,0.970873786,3.070573217,0.366955799
Tate,2012,105,162,-0.7,-1.79,0.39,0.556122449,4.543557846,-0.154064287,0.997167139,0.153627844,0.122051276
Viveros-Watty,2021,21,24,3.53,0.73,6.33,1.428571429,4.791574237,0.736709863,0.98245614,-0.723785129,0.292911829
