Author,Group,n_treat,n_control,d,lCI,uCI,se_d,J,g,se_g
Blackburn,,82,81,0.08,-0.4,0.56,0.244897959,0.99533437,-0.07962675,0.243755356
Ebbeling,,67,67,-0.54,-0.91,-0.18,0.18622449,0.9943074,0.536925996,0.185164388
Taljaard,micronutrients,91,87,-0.33,-0.63,-0.04,0.150510204,0.995732575,0.32859175,0.149867913
Taljaard,no micronutrients,88,91,-0.08,-0.37,0.21,0.147959184,0.995756719,0.079660537,0.147331351
Engel,,15,14,-0.06,-0.83,0.72,0.395408163,0.971962617,0.058317757,0.384321953
Vásquez-Duran,,50,49,0.09,-0.3,0.49,0.201530612,0.992248062,-0.089302326,0.199968359
Tate,,105,105,0.02,-0.24,0.29,0.135204082,0.996389892,-0.019927798,0.13471598
Higgins,saccharin,29,39,-0.86,-1.61,-0.12,0.380102041,0.988593156,0.850190114,0.375766276
Higgins,aspartame,30,39,-0.55,-1.28,0.18,0.37244898,0.988764045,0.543820225,0.36826416
Higgins,Reb. A,28,39,-0.8,-1.54,-0.05,0.380102041,0.988416988,0.790733591,0.375699314
Higgins,sucralose,28,39,-0.9,-1.69,-0.12,0.400510204,0.988416988,0.88957529,0.39587109
Campos,,14,13,-0.9,-1.69,-0.1,0.405612245,0.96969697,0.872727273,0.393320965
Raben,,20,21,-1.15,-1.81,-0.48,0.339285714,0.980645161,1.127741935,0.332718894
Sánchez-Delgado,sucralose,13,12,0,-0.97,0.96,0.492346939,0.967032967,0,0.476115721
Sánchez-Delgado,stevia,13,12,0.24,-0.73,1.21,0.494897959,0.967032967,-0.232087912,0.478582642
Reid,,21,20,-0.65,-1.28,-0.02,0.321428571,0.980645161,0.637419355,0.315207373
Reid,told sugar,14,9,-0.87,-1.62,-0.12,0.382653061,0.963855422,0.838554217,0.368822228
Reid,told LCS,15,15,-0.59,-1.44,0.27,0.43622449,0.972972973,0.574054054,0.424434639
Reid,told sugar,33,35,-0.44,-0.93,0.05,0.25,0.988593156,0.434980989,0.247148289
Reid,told LCS,32,33,-0.52,-1.01,-0.04,0.24744898,0.988047809,0.513784861,0.244491422
Reid,females,7,7,-0.72,-1.85,0.41,0.576530612,0.936170213,0.674042553,0.539730786
Reid,males,7,6,-0.25,-1.3,0.8,0.535714286,0.930232558,0.23255814,0.49833887
