Author,Year,Age,n,sex,design,duration,md,md_se,pooled_sd,d,J,g,se_g
Lopes,2003,35,12,F/M,Cross-over,4,7.4,1.6,5.542562584,1.335122498,0.930232558,1.241974416,0.268535009
Lopes,2003,39,12,F/M,Cross-over,4,1.78,0.77,2.667358244,0.667326935,0.930232558,0.620769241,0.268535009
Azadbakht,2011,55,31,F/M,Cross-over,8,8.8,1.98,11.02417344,0.798245787,0.974789916,0.778121943,0.175077437
Applehy,1997,44,84,F/Ma,Parallel,8,5.5,1.4,6.415605973,0.857284569,0.990825688,0.849419573,0.216215891
Aplleho,1997,44,221,F/Ma,Parallel,8,2.1,0.79,5.872097155,0.357623511,0.996571429,0.356397373,0.134073297
Sacks,2001,47,412,F/M,Parallel,4,4.5,0.71,7.205713011,0.624504472,0.998169616,0.623361389,0.098352575
Erlinger,2002,53.4,55,F/M,Parallel,8,3,1.8,6.674578638,0.449466575,0.985781991,0.443076055,0.265845633
Miller,2002,53,44,F/M,Parallel,9,2.6,0.56,1.857309883,1.3998741,0.982035928,1.374726661,0.296094973
Appel,2003,50.2,542,F/M,Parallel,26,2.6,0.56,6.518650167,0.398855581,0.998610468,0.398301358,0.085787985
Azadbakht,2005,41.2,55,F,Parallel,26,6,2.23,8.269061313,0.725596265,0.985781991,0.71527973,0.265845633
Azadbakht,2005,41.2,23,F,Parallel,26,5,1.86,4.460123317,1.121045237,0.963855422,1.08052553,0.401955497
Burke,2005,57.1,204,F/M,Parallel,16,1.8,0.6,4.284857057,0.420084025,0.996282528,0.418522375,0.139507458
Nowson,2005,47.1,44,F,Parallel,12,4.4,7.96,26.40033333,0.166664562,0.982035928,0.163670588,0.296094973
Kirpizidis,2005,54.1,201,F/M,Parallel,16,3.5,0.49,3.473474485,1.007636594,0.996226415,1.003834192,0.140536787
Nowsonhy,2009,60,35,F,Parallel,14,3.6,1.65,4.880765821,0.737589168,0.977099237,0.720697813,0.330319831
Nowsonho,2009,60,60,F,Parallel,14,-0.3,1.57,6.080583854,-0.049337367,0.987012987,-0.048696622,0.254845657
Svetkey,2009,60.7,264,F/M,Parallel,26,1.8,28.6,232.3474984,0.007747017,0.99713467,0.007724819,0.122738793
Blumenthal,2010,51.8,95,F/M,Parallel,16,3.7,1.22,5.94554455,0.622314738,0.991913747,0.617282544,0.203536406
Blumenthal,2010,52.3,95,F/M,Parallel,16,6.1,1.22,5.94554455,1.025978352,0.991913747,1.017682031,0.203536406
Edwards,2011,48,27,F/M,Parallel,12,3.6,2.35,6.105479097,0.589634317,0.96969697,0.571766611,0.373236538
Lin,2012,44.3,20,F/M,Parallel,2,10.2,4.66,10.42007678,0.978879544,0.957746479,0.937518436,0.428317246
Whitt-Glover,2013,51.4,25,F/M,Parallel,12,5.5,4.26,10.65,0.516431925,0.967032967,0.499406697,0.386813187
