Author,md,Lower,Upper,n,design,md_se,pooled_sd,d,J,g,se_g
Ambring,-0.15,-0.57,0.27,22,Cross-over,0.214285714,1.005089091,-0.149240501,0.963855422,-0.143846266,0.205494666
Fuentes,0.37,-0.06,0.8,22,Cross-over,0.219387755,1.029019784,0.359565487,0.963855422,0.346569144,0.205494666
Marin,0.56,-0.07,1.2,20,Cross-over,0.323979592,1.448880781,0.38650523,0.96,0.371045021,0.214662526
Buscemi,0.21,-0.67,1.09,20,Parallel,0.448979592,1.003948888,0.209173995,0.96,0.200807036,0.429325052
Ceriello,1.22,0.35,2.09,24,Parallel,0.443877551,1.087273508,1.122072773,0.967032967,1.085081363,0.394789556
Davis,0.36,0.06,0.67,166,Parallel,0.155612245,1.002461763,0.359115942,0.995447648,0.357481119,0.154523443
Esposito,1.44,1.11,1.77,180,Parallel,0.168367347,1.129442499,1.274965305,0.995804196,1.2696158,0.148445725
Jaacks,0.47,-0.42,1.36,30,Parallel,0.454081633,1.243553766,0.377949079,0.973913043,0.368089537,0.355622762
Klonizakis,-0.09,-0.92,0.75,22,Parallel,0.426020408,0.999106418,-0.090080494,0.963855422,-0.086824573,0.410989333
Maiorino,0.04,-0.23,0.3,215,Parallel,0.135204082,0.991240497,0.040353476,0.996491228,0.040211885,0.135920275
Murie-Fernandeza,0.09,-0.26,0.44,93.5,Parallel,0.178571429,0.863351768,0.104244878,0.991869919,0.103397359,0.20515349
Murie-Fernandezb,0.26,-0.1,0.61,93.5,Parallel,0.181122449,0.875685365,0.296910295,0.991869919,0.29449639,0.20515349
Sala-Vilaa,0.24,-0.12,0.6,77.5,Parallel,0.183673469,0.808476284,0.296854719,0.990163934,0.293934836,0.22495013
Sala-Vilab,0.17,-0.21,0.55,77.5,Parallel,0.193877551,0.853391634,0.19920514,0.990163934,0.197245745,0.22495013
Thomazella,0.17,-0.46,0.79,42,Parallel,0.318877551,1.033281361,0.164524404,0.981595092,0.161496347,0.302926822
Torres-Penaa,0.28,0.1,0.47,438,Parallel,0.094387755,0.987694685,0.283488414,0.99828277,0.2830016,0.095399592
Torres-Penab,0.31,0.08,0.54,289,Parallel,0.117346939,0.99744898,0.310792839,0.997393571,0.309982779,0.11734042
Torres-Penac,0.63,0.18,1.09,78,Parallel,0.232142857,1.025115101,0.614565135,0.990228013,0.608559612,0.224242488
