Author,Year,WMD,lCI,uCI,se_wmd,Design,n,pooled_sd,d,J,g,se_g
Gregersen,2004,-0.41,-3.97,3.15,1.816326531,Crossover,12,6.291939668,-0.065162735,0.930232558,-0.060616498,0.268535009
Stephen D. Anton,2010,3.81,1.56,6.06,1.147959184,Crossover,31,6.391566233,0.596098024,0.974789916,0.581070342,0.175077437
Siew Ling Tey,2017,7.47,-4.31,19.25,6.010204082,Crossover,30,32.91924351,0.226918945,0.973913043,0.22099932,0.177811381
Nikoleta S. Stamataki,2020,-11.74,-32.77,9.29,10.72959184,Crossover,20,47.98419344,-0.244663902,0.96,-0.234877346,0.214662526
Simoens,2022,-5.46,-23.83,12.91,9.37244898,Crossover,30,51.33501725,-0.106360147,0.973913043,-0.103585535,0.177811381
Gibbons,2024,5.7,1,10.4,2.397959184,Crossover,53,17.45740637,0.326508983,0.985507246,0.321776969,0.135369831
Ferri,2006,0.2,-3.19,3.59,1.729591837,Parallel,14,3.235770036,0.06180909,0.936170213,0.057863829,0.500404027
GEUNS,2007,0.9,-0.67,2.47,0.801020408,Parallel,10,1.266524471,0.710606088,0.903225806,0.641837757,0.571250158
Maki,2008,-2.3,-6.75,2.15,2.270408163,Parallel,122,12.53873891,-0.183431525,0.993736952,-0.182282685,0.179937433
Barriocanal,2008,-2.3,-9.06,4.46,3.448979592,Parallel,76,15.0337535,-0.152989072,0.989830508,-0.151433251,0.227082693
Barriocanal,2008,0.4,-2.73,3.53,1.596938776,Parallel,76,6.960894741,0.057463877,0.989830508,0.056879499,0.227082693
Kelly A Higgins,2019,-34.26,-144.77,76.25,56.38265306,Parallel,154,349.8451619,-0.097929038,0.995057661,-0.097445039,0.160368063
M. Ajami,2020,-1.44,-4,1.12,1.306122449,Parallel,34,3.807968584,-0.37815438,0.976377953,-0.3692216,0.334894875
D'ebora Villaño,2021,-1.4,-2.77,-0.03,0.698979592,Parallel,91,3.333920168,-0.419926072,0.991549296,-0.416377401,0.207885218
Kwok,2024,0.34,-0.97,1.65,0.668367347,Parallel,59,2.566913502,0.132454794,0.986784141,0.13070429,0.256936705
