Author,Year,n_treat,mean_treat,sd_treat,n_control,mean_control,sd_control,md,lCI_md,uCI_md,se_md,pooled_sd,d,se_d,J,g,se_g
Ameur,2024,20,-8.3,4.97,20,-4,4.21,-4.3,-7.16,-1.44,1.459183673,4.614343933,-0.931876787,0.316227766,0.98013245,0.913362679,0.309945095
Batitucci,2024,15,-1.8,1.69,10,-0.9,2.59,-0.9,-2.72,0.92,0.928571429,2.27452619,-0.395686805,0.40824829,0.967032967,0.382642185,0.394789556
Bhutani,2013,16,-5,4,16,-2,4,-3,-5.77,-0.23,1.413265306,3.997317926,-0.750503226,0.353553391,0.974789916,0.731582977,0.34464028
Cho,2019,9,-3.2,1.5,8,-3.2,1.7,0,-1.53,1.53,0.780612245,1.606486747,0,0.485912658,0.949152542,0,0.461205235
Cooke,2022,11,-2.93,2.83,8,-3.58,3.06,0.65,-2.05,3.35,1.37755102,2.964641805,0.21925077,0.464660189,0.955223881,-0.209433572,0.443854509
Ezpeleta,2023,20,-3.24,2.45,19,-3.32,2.39,0.08,-1.44,1.6,0.775510204,2.420733673,0.033047832,0.320361638,0.979591837,-0.032373387,0.313823645
Haganesetal,2022,27,-2.6,4.76,29,-1.4,4.64,-1.2,-3.66,1.26,1.255102041,4.693165865,-0.255690942,0.267431852,0.986046512,0.252123161,0.263700245
Keawtep,2024,23,-2.5,5.03,23,-1.39,3.08,-1.11,-3.52,1.3,1.229591837,4.169748791,-0.266203087,0.294883912,0.982857143,0.261639605,0.28982876
Maaloul,2023,10,-3.6,5.41,10,-1.4,3.97,-2.2,-6.36,1.96,2.12244898,4.745940197,-0.463554092,0.447213595,0.957746479,0.4439673,0.428317246
Oh,2018,12,-2.7,2,13,-1.6,2.3,-1.1,-2.79,0.59,0.862244898,2.153887065,-0.510704585,0.400320385,0.967032967,0.49386817,0.387123009
