Author,Year,mean_control,sd_control,n_control,mean_treat,sd_treat,n_treat,md,lCI_md,uCI_md,se_md,pooled_sd,d,se_d,J,g,se_g
Bhutani,2013,35,4,16,34,4,16,1,-1.77,3.77,1.413265306,3.997317926,0.250167742,0.353553391,0.974789916,0.243860992,0.34464028
Cai,2019,26.64,1.66,79,26.6,1.46,95,0.04,-0.43,0.51,0.239795918,1.574862024,0.02539905,0.152264716,0.995633188,0.025288138,0.151599804
Cai,2019,26.64,1.66,79,26.15,1.58,90,0.49,0,0.98,0.25,1.621554153,0.302179239,0.154173081,0.995502249,0.300820112,0.153479649
Gabel,2019,35,3.87,15,32,3.32,11,3,0.23,5.77,1.413265306,3.560237709,0.842640364,0.396958131,0.968421053,0.816030668,0.384422611
Kotarsky,2021,29.3,2.85,10,28.8,2.65,11,0.5,-1.86,2.86,1.204081633,2.755767835,0.181437635,0.436931449,0.96,0.17418013,0.419454191
Lowe,2020,31.1,3.43,24,30.9,3.27,22,0.2,-1.74,2.14,0.989795918,3.353387213,0.059641189,0.295163026,0.982857143,0.058618768,0.290103089
Oh,2018,26.2,3,10,26.7,2.5,13,-0.5,-2.8,1.8,1.173469388,2.789841452,-0.179221654,0.42062225,0.963855422,-0.172743763,0.405419036
Teng,2011,26.8,1.9,13,26.3,1.9,12,0.5,-0.99,1.99,0.760204082,1.898989187,0.263297971,0.400320385,0.967032967,0.254617818,0.387123009
Teng,2013,26.7,2.2,28,25.9,1.9,28,0.8,-0.28,1.88,0.551020408,2.06172958,0.388023729,0.267261242,0.986046512,0.382609444,0.263532015
Zouhal,2020,33.6,2.7,14,32.2,1.2,14,1.4,-0.15,2.95,0.790816327,2.092303333,0.669119041,0.377964473,0.970873786,0.649630137,0.366955799
