Author,Year,mean_control,sd_control,n_control,mean_treat,sd_treat,n_treat,md,lCI_md,uCI_md,se_md,pooled_sd,d,se_d,J,g,se_g
Bhutani,2013,43,16,16,41,8,16,2,-6.77,10.77,4.474489796,12.65576831,0.158030706,0.353553391,0.974789916,0.154046739,0.34464028
Cai,2019,28.01,3.49,79,27.1,2.52,90,0.91,-0.02,1.84,0.474489796,3.077643596,0.295680761,0.154173081,0.995502249,0.294350862,0.153479649
Cai,2019,28.01,3.49,79,27.65,3.34,95,0.36,-0.66,1.38,0.520408163,3.41778567,0.105331356,0.152264716,0.995633188,0.104871394,0.151599804
Chow,2020,44.7,20.8,9,39.4,16.4,11,5.3,-11.39,21.99,8.515306122,18.94536011,0.279751874,0.449466575,0.957746479,0.267931372,0.43047503
Cienfuegos,2021,41.9,25.04,14,45.6,29.5,16,-3.7,-23.22,15.82,9.959183673,27.21367061,-0.135961078,0.365962527,0.972972973,-0.132286455,0.356071648
Cienfuegos,2021,41.9,25.04,14,46.1,35.03,19,-4.2,-24.7,16.3,10.45918367,29.69488434,-0.141438503,0.352221735,0.975609756,-0.137988784,0.343630961
Correia,2021,11.1,3.9,12,10.9,3.9,12,0.2,-2.92,3.32,1.591836735,3.899187754,0.051292734,0.40824829,0.965517241,0.049524019,0.394170763
Gabel,2019,35,11.62,15,31,6.63,11,4,-3.07,11.07,3.607142857,9.086960507,0.440191195,0.396958131,0.968421053,0.42629042,0.384422611
Guo,2021,21.6,5.2,18,24.9,8.6,21,-3.3,-7.69,1.09,2.239795918,6.973038215,-0.473251386,0.321208037,0.979591837,-0.463593194,0.314652771
Kotarsky,2021,32,6.32,10,30,6.63,11,2,-3.54,7.54,2.826530612,6.469048223,0.309164491,0.436931449,0.96,0.296797911,0.419454191
Lowe,2020,30.6,7.1,24,29.8,6.77,22,0.8,-3.21,4.81,2.045918367,6.931485941,0.115415368,0.295163026,0.982857143,0.113436819,0.290103089
Moro,2016,11.05,4.274,17,9.28,2.47,17,1.77,-0.58,4.12,1.198979592,3.495596161,0.506351397,0.34299717,0.976377953,0.49439034,0.334894875
Oh,2018,22.6,5.7,10,24.3,6.4,13,-1.7,-6.66,3.26,2.530612245,6.01635374,-0.282563173,0.42062225,0.963855422,-0.272350046,0.405419036
Stole,2007,16.3,3.87,15,14.2,3.87,15,2.1,-0.67,4.87,1.413265306,3.87038644,0.542581479,0.365148372,0.972972973,0.527917115,0.355279497
Teng,2013,19.1,4.7,28,17.9,3.3,28,1.2,-0.93,3.33,1.086734694,4.066188895,0.295116639,0.267261242,0.986046512,0.290998732,0.263532015
Tinsley,2017,14.5,3.8,8,17.2,8.3,10,-2.7,-8.48,3.08,2.948979592,6.216994856,-0.434293427,0.474341649,0.952380952,-0.413612787,0.451753951
Tinsley,2019,19.6,5.24,14,18,5.05,13,1.6,-2.28,5.48,1.979591837,5.139601724,0.311308169,0.385164443,0.96969697,0.301874588,0.373492793
