Author,Year,mean_control,sd_control,n_control,mean_treat,sd_treat,n_treat,d,lCI_md,uCI_md,se_d,J,g,se_g
Bhutani,2013,187,40,16,183,44,16,0.09,-0.6,0.79,0.354591837,0.974789916,0.087731092,0.345652547
Cai,2019,4.65,1.36,79,4.37,1.53,95,0.19,-0.11,0.49,0.153061224,0.995633188,0.189170306,0.152392835
Cai,2019,4.65,1.36,79,4.15,1.06,90,0.41,0.11,0.72,0.155612245,0.995502249,0.408155922,0.15491234
Gabel,2019,184,38.73,15,184,43.12,11,0,-0.78,0.78,0.397959184,0.968421053,0,0.385392052
Guo,2021,4.99,0.81,18,5.1,0.86,21,-0.13,-0.76,0.5,0.321428571,0.979591837,-0.127346939,0.314868805
Hirsh,2019,196.8,48.1,12,201.1,33.6,10,-0.1,-0.94,0.74,0.428571429,0.962025316,-0.096202532,0.412296564
Kotarsky,2021,199,37.95,10,206,33.17,11,-0.19,-1.05,0.67,0.43877551,0.96,-0.1824,0.42122449
Lowe,2020,203.5,117.82,24,200.1,33.83,22,0.04,-0.54,0.62,0.295918367,0.982857143,0.039314286,0.290845481
Martens,2020,178,32.83,22,189,41.24,21,-0.29,-0.89,0.31,0.306122449,0.981595092,-0.284662577,0.300488293
McAllister,2019,161.6,44.1,12,144.1,26.1,10,0.45,-0.4,1.31,0.43622449,0.962025316,0.432911392,0.419659003
Moro,2016,197.12,15.66,17,191.37,11.2,17,0.41,-0.27,1.09,0.346938776,0.976377953,0.400314961,0.338743371
Moro,2020,179.38,31.08,8,181.38,41.59,8,-0.05,-1.03,0.93,0.5,0.945454545,-0.047272727,0.472727273
Schubel,2018,191.1,31.3,52,185.1,36.8,49,0.17,-0.22,0.57,0.201530612,0.992405063,0.168708861,0.2
Stole,2007,191,20.53,15,216.5,20.53,15,-1.21,-2,-0.42,0.403061224,0.972972973,-1.177297297,0.392167678
Teng,2013,5.64,1,28,5.48,0.9,28,0.17,-0.36,0.69,0.267857143,0.986046512,0.167627907,0.264119601
Tinsley,2019,185,41.16,14,172,39.66,13,0.31,-0.45,1.07,0.387755102,0.96969697,0.300606061,0.376004947
Trabelsi,2012,3.88,0.31,9,4.08,0.28,10,-0.65,-1.58,0.28,0.474489796,0.955223881,-0.620895522,0.453243984
Trabelsi,2013,3.93,0.35,8,3.87,0.35,8,0.16,-0.82,1.14,0.5,0.945454545,0.151272727,0.472727273
Varady,2013,202,34.86,15,175,46.48,15,0.64,-0.1,1.38,0.37755102,0.972972973,0.622702703,0.367346939
