Author,Year,mean_control,sd_control,n_control,mean_treat,sd_treat,n_treat,d,lCI_md,uCI_md,se_d,J,g,se_g
Bhutani,2013,102,44,16,86,32,16,0.41,-0.3,1.11,0.359693878,0.974789916,0.399663866,0.350625965
Cai,2019,2.4,1.7,79,2.12,1.9,90,0.15,-0.15,0.46,0.155612245,0.995502249,0.149325337,0.15491234
Cai,2019,2.4,1.7,79,2.31,1.75,95,0.05,-0.25,0.35,0.153061224,0.995633188,0.049781659,0.152392835
Chow,2020,87,27,9,106,39,11,-0.53,-1.43,0.37,0.459183673,0.957746479,-0.507605634,0.439781546
Gabel,2019,94,30.98,15,97,33.17,11,-0.09,-0.87,0.69,0.397959184,0.968421053,-0.087157895,0.385392052
Hirsh,2019,87.1,40.3,12,70.5,34.8,10,0.42,-0.43,1.27,0.433673469,0.962025316,0.404050633,0.417204857
Lowe,2020,136,59.8,24,116.9,57.96,22,0.32,-0.26,0.9,0.295918367,0.982857143,0.314514286,0.290845481
Martens,2020,87,28.14,22,83,27.5,21,0.14,-0.46,0.74,0.306122449,0.981595092,0.137423313,0.300488293
McAllister,2019,89.2,30.9,12,77.7,23.4,10,0.4,-0.45,1.25,0.433673469,0.962025316,0.384810127,0.417204857
Moro,2016,134.58,15.66,17,115.23,11.77,17,1.36,0.61,2.12,0.385204082,0.976377953,1.327874016,0.376104773
Moro,2020,70.38,56.89,8,54.13,20.23,8,0.36,-0.63,1.35,0.505102041,0.945454545,0.340363636,0.47755102
Oh,2018,130.7,86.8,10,120.8,80.6,13,0.11,-0.71,0.94,0.420918367,0.963855422,0.106024096,0.40570445
Schubel,2018,120.5,59.2,52,100.6,47.5,49,0.37,-0.03,0.76,0.201530612,0.992405063,0.367189873,0.2
State,2007,102.2,29.82,15,93.2,29.82,15,0.29,-0.43,1.01,0.367346939,0.972972973,0.282162162,0.357418643
Teng,2013,1.81,,28,1.41,0.4,28,0.52,-0.02,1.05,0.272959184,0.986046512,0.512744186,0.269150451
Tinsley,2019,75,48.64,14,93,43.27,13,-0.38,-1.14,0.38,0.387755102,0.96969697,-0.368484848,0.376004947
Trabelsi,2012,0.77,0.11,9,0.77,0.13,10,0,-0.9,0.9,0.459183673,0.955223881,0,0.43862321
Trabelsi,2013,0.75,0.11,8,0.75,0.15,8,0,-0.98,0.98,0.5,0.945454545,0,0.472727273
Varady,2013,118,73.59,15,87,34.86,15,0.52,-0.21,1.25,0.37244898,0.972972973,0.505945946,0.362382791
