Author,Year,g,se_g,lCI,uCI
Fedail,1982,0.744,0.225,-1.184,-0.303
Azizi-Rasouli,1987,0.659,0.339,-1.323,0.005
Takruri,1989,0.286,0.087,-0.456,-0.116
El Ali,1995,0.483,0.252,-0.977,0.012
Adlouni,1997,0.473,0.182,-0.831,-0.116
Finch,1998,0.074,0.153,-0.375,0.226
Maislos,1998,0.409,0.215,-0.829,0.012
Billo,1998,0.229,0.117,-0.458,-0.001
Kaykcoglu,1998,0.473,0.182,-0.831,-0.116
Akanji,2000,0.271,0.143,-0.552,0.01
Ramadan,2002,0.483,0.252,-0.977,0.012
Afrasiabi,2003,0.483,0.252,-0.977,0.012
Kassab,2003,0.286,0.151,-0.582,0.01
Fakhrzadeh,2003,0.217,0.105,-0.423,-0.01
Yucel,2004,0.023,0.168,-0.351,0.306
Rahman,2004,0.834,0.252,-1.327,-0.34
Kassab,2004,0.077,0.145,-0.361,0.208
Aksungar,2005,0.39,0.205,-0.793,0.012
Farshidfar,2006,1.016,0.262,-1.529,-0.502
AI-Numair,2006,0.295,0.15,-0.589,-0.002
Ziaee,2006,0.376,0.114,-0.599,-0.153
Dewanti,2006,0.577,0.174,-0.918,-0.235
Subhan,2006,0.307,0.148,-0.598,-0.016
Salehi-Neghab,2007,0.678,0.205,-1.079,-0.276
Al-Hourani-Atoum,2007,0.262,0.133,-0.522,-0.001
Mansi,2007,0.247,0.12,-0.483,-0.012
Mansi-Amneh,2007,0.321,0.155,-0.626,-0.017
Moosavi,2007,0.31,0.094,-0.494,-0.126
Ibrahim,2008,0.518,0.27,-1.047,0.011
Shariatpanahi,2007,0.463,0.14,-0.737,-0.188
Lamri-Senhadji,2009,0.243,0.147,-0.532,0.045
Norouzy,2010,0.214,0.065,-0.342,-0.087
Pathan-Patil,2010,0.651,0.197,-1.036,-0.265
Abedelmalek,2011,1.518,0.468,-2.434,-0.601
Assadi,2011,0.029,0.13,-0.283,0.225
Unalacak,2011,0.504,0.229,-0.952,-0.055
Farisa,2012,0.28,0.142,-0.558,-0.001
Farisb,2012,0.487,0.148,-0.777,-0.198
Khattak,2012,0.834,0.252,-1.327,-0.34
Shehab,2012,0.378,0.127,-0.627,-0.129
Agoumi,2013,0.559,0.143,-0.839,-0.278
Develioglu,2013,0.595,0.18,-0.948,-0.242
Haouari-Oukerro,2013,0.308,0.163,-0.627,0.011
Hosseini,2013,1.277,0.389,-2.04,-0.514
Norouzy,2013,0.214,0.065,-0.342,-0.087
Rohin,2013,0.51,0.154,-0.813,-0.208
Sayedda,2013,1.051,0.271,-1.583,-0.519
Alzoghaibi,2014,0.376,0.328,-1.018,0.267
Cansel,2014,-0.17,0.156,-0.137,0.476
Celik,2014,0.537,0.162,-0.855,-0.219
Feizollahzadeh,2014,0.406,0.123,-0.648,-0.165
Hassan-lsawumi,2014,0.16,0.128,-0.412,0.091
McNeil,2014,0.314,0.22,-0.746,0.118
Salahuddin-Javed,2014,0.228,0.18,-0.581,0.125
Begum,2015,0.441,0.134,-0.703,-0.179
Gnanou,2015,0.614,0.236,-1.076,-0.152
Hosseini-Hejazi,2015,0.421,0.203,-0.818,-0.023
L6pez.Bueno,2015,0.522,0.134,-0.785,-0.26
Sijavandi,2015,0.358,0.108,-0.57,-0.145
Suriani,2015,0.381,0.147,-0.67,-0.093
Talib,2015,0.4,0.152,-0.699,-0.102
Bahammam,2016,0.123,0.111,-0.341,0.095
Ganjali,2016,0.517,0.156,-0.823,-0.21
Syam,2016,0.53,0.16,-0.844,-0.216
Nugraha,2017,1.078,0.246,-1.561,-0.595
AbdulKareem,2017,0.625,0.297,-1.208,-0.042
Alsubheen,2017,1.01,0.384,-1.763,-0.258
Bakki,2017,0.092,0.115,-0.316,0.133
Khan,2017,0.279,0.169,-0.61,0.051
Kiyani,2017,0.297,0.113,-0.518,-0.075
Latiri,2017,0.005,0.181,-0.359,0.35
Malekmakan,2017,0.35,0.106,-0.557,-0.142
Mohammadzade,2017,0.651,0.197,-1.036,-0.265
Norouzy,2017,-0.563,0.292,-0.01,1.135
Ongsara,2017,0.235,0.124,-0.478,0.009
Pallayova,2017,0.246,0.229,-0.694,0.203
Roy-Bandyopadhyay,2017,0.317,0.167,-0.645,0.011
AL-barha-Aljaloud,2018,0.002,0.148,-0.292,0.288
Nachvak,2018,0.271,0.082,-0.432,-0.11
Prasetya-Sapwarobol,2018,0.693,0.209,-1.103,-0.282
Faris,2019,0.454,0.137,-0.723,-0.184
Haghighi,2019,0.382,0.201,-0.776,0.012
Jarrar,2019,0.545,0.175,-0.888,-0.201
Rahbar,2019,0.289,0.171,-0.624,0.047
Alam,2019,0.46,0.118,-0.691,-0.229
