Author,Year,n,Control,d,se_d,lCI_d,uCI_d,J,g,se_g
Hutchisona,2019,42,100% baseline energy daily,-0.375,0.463,-1.283,0.533,0.981595092,0.36809816,0.454478528
Hutchisonb,2019,42,100% baseline energy daily,-0.656,0.503,-1.643,0.33,0.981595092,0.64392638,0.493742331
Zhanga,2022,40,Ad libitum intake,0,0.384,-0.753,0.753,0.980645161,0,0.376567742
Zhangb,2022,40,Ad libitum intake,-0.247,0.403,-1.036,0.543,0.980645161,0.242219355,0.3952
Kord Varkaneh,2022,44,Continue usual habitual diet,-0.699,0.311,-1.308,-0.09,0.98245614,0.686736842,0.30554386
Lao,2023,27,Continue usual habitual diet,0.637,0.395,-0.136,1.411,0.970873786,-0.618446602,0.383495146
Ezpeleta,2023,39,Habitual diet,-0.543,0.326,-1.183,0.096,0.98013245,0.532211921,0.319523179
Hirsh,2019,22,Habitual diet,0.15,0.429,-0.69,0.991,0.963855422,-0.144578313,0.413493976
Schroder,2021,32,Maintain same dietary habits,-0.486,0.37,-1.212,0.239,0.975609756,0.474146341,0.36097561
Sulaj,2022,40,Mediterranean diet,-0.333,0.319,-0.958,0.292,0.980645161,0.326554839,0.312825806
Schübel,2018,101,No advice to restrict energy,-0.214,0.203,-0.612,0.183,0.992481203,0.212390977,0.201473684
Holmer,2021,44,Nutrition advice,-0.302,0.287,-0.866,0.261,0.98245614,0.296701754,0.281964912
Feehan,2023,23,Nutrition and exercise advice,-0.346,0.424,-1.177,0.484,0.965517241,0.334068966,0.40937931
Denga,2024,20,Pre-post (no control),-0.763,0.254,-1.261,-0.265,0.957746479,0.730760563,0.243267606
Dengb,2024,20,Pre-post (no control),-0.538,0.239,-1.007,-0.069,0.957746479,0.515267606,0.228901408
Ingersena,2022,12,Pre-post (no control),-0.846,0.351,-1.534,-0.157,0.923076923,0.780923077,0.324
Ingersenb,2022,11,Pre-post (no control),-0.638,0.331,-1.286,0.01,0.914285714,0.583314286,0.302628571
Xiao,2022,31,Pre-post (no control),-0.735,0.202,-1.131,-0.338,0.973913043,0.715826087,0.196730435
Johari,2019,43,Usual habitual diet,-0.727,0.369,-1.451,-0.003,0.982035928,0.71394012,0.362371257
Teong,2023,103,Weight loss booklet,-0.379,0.216,-0.801,0.044,0.992628993,0.376206388,0.214407862
