author,year,wmd,lCI,uCI,n_treat,n_control,se_wmd,pooled_sd,d,se_d,J,g,se_g
Hirsh,2019,0.3,-9.63,10.23,10,12,5.066326531,14,0.021428571,0.361880466,0.962025316,-0.020614828,0.34813817
Kessler,2018,1.49,-5.1,8.08,20,13,3.362244898,14,0.106428571,0.24016035,0.975609756,-0.103832753,0.23430278
Izadi,2018,-0.45,-0.5,-0.4,30,30,0.025510204,14,-0.032142857,0.001822157,0.987012987,0.031725417,0.001798493
Bowen,2018,1.2,-0.08,2.48,67,68,0.653061224,14,0.085714286,0.04664723,0.994350282,-0.085230024,0.046383687
Astbury,2018,-4.5,-8.96,-0.04,100,93,2.275510204,14,-0.321428571,0.162536443,0.996068152,0.320164763,0.161897375
Trepanowski (ADF),2017,-3.9,-6.18,-1.62,25,25,1.163265306,14,-0.278571429,0.083090379,0.984293194,0.274195961,0.081785295
Trepanowski (CR),2017,-4.7,-6.9,-2.5,29,25,1.12244898,14,-0.335714286,0.080174927,0.985507246,0.330848861,0.079012972
Wei,2017,-3.8,-6.95,-0.65,38,43,1.607142857,14,-0.271428571,0.114795918,0.99047619,0.268843537,0.113702624
Li,2017,-14.3,-25.08,-3.52,16,16,5.5,14,-1.021428571,0.392857143,0.974789916,0.995678271,0.382953181
Lambert (a),2017,-12.01,-24.53,0.51,10,6,6.387755102,14,-0.857857143,0.456268222,0.945454545,0.811064935,0.431380864
Lambert (b),2017,-1,-12.59,10.59,11,10,5.913265306,14,-0.071428571,0.422376093,0.96,0.068571429,0.40548105
Venchiarutti (a),2017,-0.09,-0.4,0.22,14,85,0.158163265,14,-0.006428571,0.011297376,0.992248062,0.006378738,0.0112098
Venchiarutti (b),2017,-1.34,-1.58,-1.1,22,155,0.12244898,14,-0.095714286,0.008746356,0.995708155,0.095303495,0.008708818
Harder-Lauridsen,2017,-2.6,-5.19,-0.01,9,9,1.321428571,14,-0.185714286,0.094387755,0.952380952,0.176870748,0.0898931
Zuo,2016,-2.4,-5.29,0.49,10,14,1.474489796,14,-0.171428571,0.1053207,0.965517241,0.165517241,0.101688951
Lee,2017,-2.6,-4.47,-0.73,6,5,0.954081633,14,-0.185714286,0.068148688,0.914285714,0.169795918,0.062307372
Karimi,2016,0.8,-0.83,2.43,30,30,0.831632653,14,0.057142857,0.059402332,0.987012987,-0.056400742,0.058630873
Ismail,2015,-0.9,-2.15,0.35,56,84,0.637755102,14,-0.064285714,0.045553936,0.994555354,0.063935701,0.045305911
Fernandes,2015,-6.57,-11.26,-1.88,11,10,2.392857143,14,-0.469285714,0.170918367,0.96,0.450514286,0.164081633
Varady,2013,-8,-15.06,-0.94,15,15,3.602040816,14,-0.571428571,0.25728863,0.972972973,0.555984556,0.250334883
Teng,2013,-9.6,-11.69,-7.51,28,28,1.066326531,14,-0.685714286,0.076166181,0.986046512,0.676146179,0.075103397
Bhutani (a),2013,-1.1,-7.3,5.1,16,16,3.163265306,14,-0.078571429,0.225947522,0.974789916,0.076590636,0.220251366
Bhutani (b),2013,-4,-9.54,1.54,16,16,2.826530612,14,-0.285714286,0.201895044,0.974789916,0.278511405,0.196805253
