author,year,wmd,lci,uci,n_treat,n_control,se_wmd,pooled_sd,d,se_d,J,g,se_g
Shojasaadat,2019,-11.61,-27.2,3.98,35,34,7.954081633,33.03231255,-0.35147403,0.240796996,0.988764045,0.347524883,0.238091412
Ong,2009,-54.13,-76.74,-31.52,10,9,11.53571429,25.10666023,-2.156001615,0.459468292,0.955223881,2.059464229,0.438895085
Hirsh,2019,-3.2,-17.58,11.18,10,12,7.336734694,17.13492064,-0.186753126,0.428174419,0.962025316,0.179661236,0.411914631
Mahon (a),2007,-38,-85.86,9.86,14,11,24.41836735,60.60479395,-0.627013104,0.402911482,0.967032967,0.606342343,0.389628686
Bowen,2018,3.87,-8.86,16.6,67,68,6.494897959,37.73091226,0.102568419,0.172137316,0.994350282,-0.101988936,0.171164789
Teng,2013,-20.87,-40.14,-1.6,28,28,9.831632653,36.78660094,-0.567326131,0.267261242,0.986046512,0.559409953,0.263532015
Lambert (b),2017,-31.18,-51.49,-10.86,11,10,10.36479592,23.72178965,-1.314403359,0.436931449,0.96,1.261827225,0.419454191
Astbury,2018,-7.73,-18.25,2.79,89,76,5.367346939,34.36524906,-0.224936534,0.156185306,0.995391705,0.22389996,0.155465558
Zuo,2016,-10.4,-41.83,21.03,10,14,16.03571429,38.72992952,-0.268526179,0.414039336,0.965517241,0.259266656,0.399762117
Cho (a),2019,-27.8,-58.65,3.05,8,5,15.73979592,27.60942846,-1.006902408,0.570087713,0.930232558,0.936653403,0.530314151
Ramezankhany,2011,-2.03,-18.52,14.46,12,12,8.413265306,20.60820707,-0.098504445,0.40824829,0.965517241,0.09510774,0.394170763
Wei,2017,1.1,-8.07,10.27,30,37,4.678571429,19.04308704,0.057763744,0.245683456,0.988416988,-0.057094666,0.242837701
Harder-Lauridsen,2017,0,-6.66,6.66,10,10,3.397959184,7.598067719,0,0.447213595,0.957746479,0,0.428317246
Trepanowski (CR),2017,-11,-13.96,-8.04,29,25,1.510204082,5.533600005,-1.987856005,0.272915296,0.985507246,1.959046498,0.268960002
Bhutani (b),2013,-2,-13.43,9.43,16,16,5.831632653,16.49434798,-0.121253656,0.353553391,0.974789916,0.118196841,0.34464028
Izadi,2018,-0.7,-0.92,-0.48,30,30,0.112244898,0.43472262,-1.610222167,0.25819889,0.987012987,1.589310191,0.254845657
Lee,2017,-34.79,-72.01,2.43,30,30,18.98979592,73.54716334,-0.4730298,0.25819889,0.987012987,0.466886556,0.254845657
Bhutani (a),2013,6,-5.09,17.09,16,16,5.658163265,16.00370246,0.374913244,0.353553391,0.974789916,-0.365461649,0.34464028
Karimi,2016,-5.5,-23.9,12.9,30,30,9.387755102,36.35861917,-0.151270871,0.25819889,0.987012987,0.149306315,0.254845657
Mahon (b),2007,-13,-54.05,28.05,15,11,20.94387755,52.76092345,-0.246394474,0.396958131,0.968421053,0.238613596,0.384422611
Trepanowski (ADF),2017,-7.7,-10.77,-4.63,25,25,1.566326531,5.537800557,-1.390443719,0.282842712,0.984293194,1.368604289,0.278400157
Lambert (a),2017,-10.82,-42.67,21.03,10,6,16.25,31.46798969,-0.343841475,0.516397779,0.945454545,0.325086486,0.488230628
Moro,2016,-2.87,-9.99,4.25,17,17,3.632653061,10.59091263,-0.270987034,0.34299717,0.976377953,0.264585766,0.334894875
Varady,2013,-17,-32.3,-1.7,15,15,7.806122449,21.37794676,-0.795212009,0.365148372,0.972972973,0.773719793,0.355279497
Kessler,2018,-8.5,-22.01,5.01,20,13,6.892857143,19.34768383,-0.439329073,0.356262652,0.975609756,0.42861373,0.347573319
Tapsell (b),2010,7.73,-16.9,32.36,27,21,12.56632653,43.1896069,0.178978244,0.290957187,0.983606557,-0.176044174,0.286187397
Cho (b),2019,-5.2,-29.31,18.91,9,9,12.30102041,26.09440484,-0.199276436,0.471404521,0.952380952,0.189787082,0.448956686
Fernandes,2015,-5.02,-21.7,11.66,11,10,8.510204082,19.47720656,-0.257737165,0.436931449,0.96,0.247427678,0.419454191
Li,2017,15,-3.88,33.88,16,16,9.632653061,27.2452572,0.550554538,0.353553391,0.974789916,-0.536675012,0.34464028
Tapsell (a),2010,-0.78,-10.17,8.61,21,26,4.790816327,16.3288994,-0.047768069,0.293394932,0.983240223,0.046967487,0.288477698
Tinsley,2019,-16.1,-23.91,-8.29,13,14,3.984693878,10.34543543,-1.556241891,0.385164443,0.96969697,1.509083046,0.373492793
do Valle,2010,-13.1,-22.62,-3.58,10,10,4.857142857,10.8609016,-1.206161374,0.447213595,0.957746479,1.155196809,0.428317246
Mahon (c),2007,-17,-55.09,21.09,14,11,19.43367347,48.2331091,-0.35245499,0.402911482,0.967032967,0.340835595,0.389628686
