author,year,wmd,lci,uci,n_treat,n_control,se_wmd,pooled_sd,d,se_d,J,g,se_g
Cho (a),2019,-40.6,-150.88,69.68,8,5,56.26530612,98.69587589,-0.411364706,0.570087713,0.930232558,0.382664843,0.530314151
Tapsell (b),2010,27.45,-12.72,67.62,27,21,20.49489796,70.43956594,0.389695757,0.290957187,0.983606557,-0.383307302,0.286187397
Khoo,2010,-8.86,-43.58,25.86,25,24,17.71428571,61.98708737,-0.142932994,0.285773803,0.983957219,0.140639952,0.281189197
Bhutani (b),2013,6,-18.56,30.56,16,16,12.53061224,35.44192356,0.169291037,0.353553391,0.974789916,-0.165023196,0.34464028
Ramezankhany,2011,1.91,-20.13,23.95,12,12,11.24489796,27.54426221,0.069342936,0.40824829,0.965517241,-0.0669518,0.394170763
Lambert (b),2017,-15.06,-65.33,35.21,11,10,25.64795918,58.70019029,-0.256557942,0.436931449,0.96,0.246295624,0.419454191
Hirsh,2019,-23.4,-47.82,1.02,10,12,12.45918367,29.098384,-0.804168369,0.428174419,0.962025316,0.773630329,0.411914631
Wei,2017,-9.1,-25.56,7.36,30,37,8.397959184,34.18202973,-0.266221757,0.245683456,0.988416988,0.263138107,0.242837701
Tinsley,2019,13,4.45,21.55,13,14,4.362244898,11.32566875,1.147835089,0.385164443,0.96969697,-1.113052208,0.373492793
Mahon (a),2007,-21,-64.14,22.14,14,11,22.01020408,54.62788991,-0.384419022,0.402911482,0.967032967,0.371745867,0.389628686
Trepanowski (CR),2017,1.9,-2.67,6.47,29,25,2.331632653,8.543429738,0.222393121,0.272915296,0.985507246,-0.219170032,0.268960002
Karimi,2016,-4.6,-24.14,14.94,30,30,9.969387755,38.61127275,-0.119136192,0.25819889,0.987012987,0.117588969,0.254845657
Shojasaadat,2019,-26.06,-52.26,0.14,35,34,13.36734694,55.51293065,-0.469440177,0.240796996,0.988764045,0.464165568,0.238091412
Tapsell (a),2010,-30.99,-61.43,-0.55,21,26,15.53061224,52.9341531,-0.585444334,0.293394932,0.983240223,0.575632418,0.288477698
Bowen,2018,17.71,-1.76,37.18,67,68,9.933673469,57.7078446,0.306890686,0.172137316,0.994350282,-0.30515684,0.171164789
do Valle,2010,-7.3,-12.73,-1.87,10,10,2.770408163,6.194820978,-1.178403706,0.447213595,0.957746479,1.128612,0.428317246
Harder-Lauridsen,2017,-17.71,-27.02,-8.4,10,10,4.75,10.62132289,-1.667400584,0.447213595,0.957746479,1.596947039,0.428317246
Fernandes,2015,-3.54,-35.25,28.17,11,10,16.17857143,37.02771104,-0.095604073,0.436931449,0.96,0.09177991,0.419454191
Izadi,2018,-0.8,-2.6,1,30,30,0.918367347,3.55682144,-0.224919922,0.25819889,0.987012987,0.221998884,0.254845657
Teng,2013,-12.4,-55.28,30.48,28,28,21.87755102,81.85830038,-0.151481279,0.267261242,0.986046512,0.149367586,0.263532015
Li,2017,-24.1,-83.18,34.98,16,16,30.14285714,85.25687476,-0.282675152,0.353553391,0.974789916,0.275548887,0.34464028
Cho (b),2019,44.3,-41.63,130.23,9,9,43.84183673,93.00258016,0.476330871,0.471404521,0.952380952,-0.453648448,0.448956686
Astbury,2018,-35.07,-57.01,-13.13,89,76,11.19387755,71.67049092,-0.489322726,0.156185306,0.995391705,0.487067783,0.155465558
Bhutani (a),2013,1,-17.07,19.07,16,16,9.219387755,26.0763664,0.038348901,0.353553391,0.974789916,-0.037382122,0.34464028
Zuo,2016,-23.4,-77.14,30.34,10,14,27.41836735,66.2216485,-0.353358766,0.414039336,0.965517241,0.341173981,0.399762117
Kessler,2018,-7.09,-34.17,19.99,20,13,13.81632653,38.78129371,-0.1828201,0.356262652,0.975609756,0.178361073,0.347573319
Mahon (c),2007,-8,-57.81,41.81,14,11,25.41326531,63.07406575,-0.126835014,0.402911482,0.967032967,0.12265364,0.389628686
Ong,2009,-53.13,-89.03,-17.23,10,9,18.31632653,39.86417966,-1.33277545,0.459468292,0.955223881,1.273098938,0.438895085
Mahon (b),2007,-21,-62.15,20.15,15,11,20.99489796,52.88945189,-0.397054597,0.396958131,0.968421053,0.384516031,0.384422611
Varady,2013,-32,-57.55,-6.45,15,15,13.03571429,35.69977384,-0.896364222,0.365148372,0.972972973,0.872138162,0.355279497
Lambert (a),2017,-11.5,-76.19,53.19,10,6,33.00510204,63.91410527,-0.179928984,0.516397779,0.945454545,0.170114675,0.488230628
Moro,2016,-6.03,-16.19,4.13,17,17,5.183673469,15.11287532,-0.398997535,0.34299717,0.976377953,0.389572396,0.334894875
Trepanowski (ADF),2017,-8.6,-13.34,-3.86,25,25,2.418367347,8.550219752,-1.005822102,0.282842712,0.984293194,0.990023849,0.278400157
