author,year,md,se_md,var_md,lCI_md,uCI_md,z,n,pooled_sd,d,J,g,se_g
Bergman & Brooksa,1999,-7.87,7.65,58.57,-22.87,7.13,-1.03,7,20.23999753,-0.38883404,0.869565217,0.338116556,0.328664759
Bergman & Brooksb,1999,-4.49,5.24,27.46,-14.76,5.78,-0.86,7,13.86373687,-0.323866505,0.869565217,0.281623047,0.328664759
Farah & Gill,2013,-5.7,1.84,3.38,-9.3,-2.1,-3.1,10,5.818590895,-0.979618623,0.914285714,0.895651312,0.289122529
Gonzalez,2013,-6,4.46,19.86,-14.74,2.74,-1.35,12,15.4498932,-0.388352199,0.930232558,0.36125786,0.268535009
Isaccoa,2012,-4.59,1.86,3.48,-8.24,-0.94,-2.46,10,5.881836448,-0.780368519,0.914285714,0.713479789,0.289122529
Isaccob,2012,-1.74,1.2,1.45,-4.1,0.62,-1.45,11,3.979949748,-0.43719145,0.923076923,0.403561338,0.278318164
Little,2010,-5.15,3.43,11.74,-11.87,1.57,-1.5,13,12.36704087,-0.416429448,0.936170213,0.389848845,0.2596469
Massicotte,1990,-5,4.99,24.99,-14.8,4.8,-1,5,11.15797921,-0.448109815,0.8,0.358487852,0.357770876
Maughan & Gleeson,1988,-0.9,7.63,58.27,-15.86,14.06,-0.12,5,17.06119867,-0.052751276,0.8,0.042201021,0.357770876
Paul,1996,-41.4,17.54,307.6,-75.78,-7.03,-2.36,12,60.76034233,-0.681365483,0.930232558,0.633828356,0.268535009
Whitley,1998,-14.38,9.67,93.52,-33.33,4.57,-1.49,8,27.3508903,-0.525759851,0.888888889,0.46734209,0.314269681
Willcutts,1988,-2.62,1.02,1.04,-4.62,-0.62,-2.57,8,2.884995667,-0.908146944,0.888888889,0.807241728,0.314269681
Wu,2003,-18.1,5.16,26.65,-28.22,-7.98,-3.51,9,15.48,-1.169250646,0.903225806,1.056097358,0.301075269
