author,year,md,se_md,var_md,lCI_md,uCI_md,z,n,pooled_sd,d,J,g,se_g
Coyle,1985,32.6,19.7,386.6,-5.9,71.1,1.7,7,52.12130083,0.625464052,0.869565217,0.543881784,0.328664759
Coyle,1997,200.4,47.2,2232.1,107.8,293,4.2,6,115.6159159,1.733325369,0.842105263,1.459642416,0.343788034
Dohm,1986,165.5,72.2,5218.9,23.9,307.1,2.3,9,216.6,0.764081256,0.903225806,0.690137908,0.301075269
Gonzalez,2013,107.5,35.4,1254.6,38.1,176.9,3,12,122.6291972,0.876626468,0.930232558,0.815466482,0.268535009
Horowitz,1997,192.5,45.7,2087.7,102.9,282,4.2,6,111.9416812,1.719645425,0.842105263,1.448122463,0.343788034
Isaccoa,2012,103.1,37,1372,30.5,175.7,2.8,10,117.0042734,0.881164397,0.914285714,0.80563602,0.289122529
Isaccob,2012,68.7,18.2,330.9,33,104.3,3.8,11,60.36257118,1.138122493,0.923076923,1.050574609,0.278318164
Kirwana,2001,61.2,9.9,97.9,41.8,80.6,6.2,6,24.24994845,2.523716705,0.842105263,2.12523512,0.343788034
Kirwanb,2001,923.7,125.6,15773.6,677.6,1169.9,7.4,6,307.6559117,3.002380143,0.842105263,2.52832012,0.343788034
Little,2010,15.6,13,170.1,-9.9,41.2,1.2,13,46.87216658,0.332820118,0.936170213,0.31157628,0.2596469
Massicotte,1990,45.1,17.3,300.9,11.1,79.1,2.6,5,38.68397601,1.165857408,0.8,0.932685926,0.357770876
Montaina,1991,82.6,23.6,555.6,36.4,128.8,3.5,9,70.8,1.166666667,0.903225806,1.053763441,0.301075269
Montainb,1991,188.2,49.6,2458.4,91,285.4,3.8,8,140.2899854,1.341507018,0.888888889,1.192450683,0.314269681
Schabort,1999,-6.9,4.4,19.3,-15.5,1.7,-1.6,7,11.64130577,-0.592717014,0.869565217,-0.5154061,0.328664759
Shin,2013,196.4,40.1,1610.5,117.7,275.1,4.9,8,113.4199277,1.731618103,0.888888889,1.539216091,0.314269681
Whitley,1998,34.2,18.7,349.5,-2.5,70.8,1.8,8,52.89158723,0.646605666,0.888888889,0.574760592,0.314269681
Wu,2003,188.9,42.8,1833.2,104.9,272.8,4.4,9,128.4,1.471183801,0.903225806,1.328811175,0.301075269
