author,year,n_treat,n_control,wmd,lCI_wmd,uCI_wmd,se_wmd,pooled_sd,d,se_d,J,g,se_g
Cho et al. (a),2019,8,5,-0.13,-0.28,0.03,0.079081633,0.13871836,-0.93715064,0.570087713,0.930232558,0.871768037,0.530314151
Cho et al. (b),2019,9,9,0.04,-0.08,0.16,0.06122449,0.129876756,0.307984287,0.471404521,0.952380952,-0.293318368,0.448956686
Izadi et al.,2018,30,30,-0.35,-0.94,0.24,0.301020408,1.165847028,-0.300210912,0.25819889,0.987012987,0.296312069,0.254845657
Bowen et al.,2018,67,68,-0.04,-0.06,-0.02,0.010204082,0.059278731,-0.674778278,0.172137316,0.994350282,0.670965971,0.171164789
Trepanowski et al. (ADF),2017,25,25,-0.03,-0.07,0.01,0.020408163,0.072153753,-0.415778787,0.282842712,0.984293194,0.40924823,0.278400157
Trepanowski et al. (CR),2017,29,25,0,-0.04,0.04,0.020408163,0.074778378,0,0.272915296,0.985507246,0,0.268960002
Wei et al.,2017,30,37,-0.05,-0.14,0.04,0.045918367,0.186900527,-0.267521985,0.245683456,0.988416988,0.264423275,0.242837701
Lee et al.,2017,30,30,-2.3,-7.87,3.27,2.841836735,11.00638635,-0.208969586,0.25819889,0.987012987,0.206255695,0.254845657
Fernandes et al.,2015,11,10,-0.27,-0.65,0.11,0.193877551,0.443725329,-0.608484533,0.436931449,0.96,0.584145152,0.419454191
Herpen et al.,2013,10,10,0.61,-0.3,1.52,0.464285714,1.038174418,0.587569862,0.447213595,0.957746479,-0.562742967,0.428317246
Horne et al.,2013,30,30,0.01,-0.09,0.11,0.051020408,0.197601191,0.050606982,0.25819889,0.987012987,-0.049949749,0.254845657
Abendroth et al.,2010,22,28,0.3,0.01,0.59,0.147959184,0.519334627,0.577662232,0.284901441,0.984293194,-0.568589004,0.280426549
Ong et al.,2009,10,9,0.02,-0.2,0.24,0.112244898,0.244293023,0.081868896,0.459468292,0.955223881,-0.078203124,0.438895085
Mahon et al. (a),2007,14,11,0.03,-0.07,0.13,0.051020408,0.126629323,0.236911951,0.402911482,0.967032967,-0.229101667,0.389628686
Mahon et al. (b),2007,15,11,-0.01,-0.13,0.11,0.06122449,0.154234125,-0.064836495,0.396958131,0.968421053,0.062789026,0.384422611
Mahon et al. (c),2007,14,11,-0.03,-0.25,0.19,0.112244898,0.27858451,-0.107687251,0.402911482,0.967032967,0.104137122,0.389628686
