author,year,mean_treat,sd_treat,n_treat,mean_control,sd_control,n_control,md,lCI_md,uCI_md,se_md,pooled_sd,d,se_d,J,g,se_g
Ameur,2024,-8.3,8.24,20,-2.9,8.65,24,-5.4,-10.4,-0.4,2.551020408,8.4257431,-0.640893027,0.302765035,0.982035928,0.629379979,0.297326143
Chow,2020,-1.7,16.6,11,-0.9,20.75,9,-0.8,-17.53,15.93,8.535714286,18.99076541,-0.042125738,0.449466575,0.957746479,0.040345777,0.43047503
Cienfuegos,2020,-1.4,1.31,20,-0.6,1.5,19,-0.8,-1.69,0.09,0.454081633,1.417403269,-0.564412413,0.320361638,0.979591837,0.552893793,0.313823645
Domaszewski,2020,-1.66,8.68,25,1.01,8.08,20,-2.67,-7.58,2.24,2.505102041,8.350340136,-0.319747454,0.3,0.98245614,0.31413785,0.294736842
Domaszewski,2022,-1,6.04,23,0.35,6.13,23,-1.35,-4.87,2.17,1.795918367,6.090255495,-0.221665577,0.294883912,0.982857143,0.217865596,0.28982876
Fagundes,2023,-2.57,4.64,24,-0.99,5.56,12,-1.58,-5.23,2.07,1.862244898,5.267223982,-0.299968258,0.353553391,0.977777778,0.293302296,0.345696649
Haganes,2022,-2.6,8.66,32,-0.9,11.15,33,-1.7,-6.55,3.15,2.474489796,9.973806723,-0.170446455,0.248098832,0.988047809,0.168409246,0.245133507
Haganes,2022,-1.4,8.27,33,-1.1,10.25,33,-0.3,-4.79,4.19,2.290816327,9.305339907,-0.032239553,0.246182982,0.988235294,0.031860264,0.243286712
Irani,2023,-3.17,1.43,29,-2.33,2.52,27,-0.84,-1.92,0.24,0.551020408,2.060414282,-0.407685002,0.267431852,0.986046512,0.401996374,0.263700245
Jamshed,2022,-4.7,3.33,45,-3.4,3.99,45,-1.3,-2.82,0.22,0.775510204,3.67856789,-0.353398398,0.210818511,0.991452991,0.350377899,0.209016643
Kotarsky,2021,-3,6.63,11,-1,6.32,10,-2,-7.54,3.54,2.826530612,6.469048223,-0.309164491,0.436931449,0.96,0.296797911,0.419454191
Lin,2023,-2.2,4.5,30,0.57,4.57,30,-2.77,-5.07,-0.47,1.173469388,4.544827396,-0.609484092,0.25819889,0.987012987,0.601568714,0.254845657
Liu,2022,-5.9,3.54,69,-4.5,4.82,70,-1.4,-2.8,0,0.714285714,4.21054322,-0.332498665,0.169642176,0.994515539,0.330675089,0.16871178
Lowe,2021,-0.51,2.53,59,-0.03,2.37,57,-0.48,-1.37,0.41,0.454081633,2.444940949,-0.19632376,0.185722945,0.993406593,0.195029318,0.184498398
Queiroz,2023,-3.3,1.83,32,-3.1,2.35,16,-0.2,-1.51,1.11,0.668367347,2.182878614,-0.091622135,0.306186218,0.983606557,0.090120133,0.301166772
Thomas,2022,-3.5,4,40,-2.6,4.4,41,-0.9,-2.73,0.93,0.933673469,4.20121041,-0.214223976,0.222239159,0.99047619,0.212183748,0.220122596
Zhang,2022,-2.4,1.27,41,-0.5,1.24,19,-1.9,-2.58,-1.22,0.346938776,1.250103425,-1.519874246,0.277528058,0.987012987,1.500135619,0.273923797
