author,year,mean_treat,sd_treat,n_treat,mean_control,sd_control,n_control,md,lCI_md,uCI_md,se_md,pooled_sd,d,se_d,J,g,se_g
Ameur,2024,3.6,3.06,20,3.5,3.25,24,0.1,-1.77,1.97,0.954081633,3.15122792,0.031733661,0.302765035,0.982035928,-0.031163596,0.297326143
Chow,2020,-1.4,9.85,11,-0.1,8.29,9,-1.3,-9.25,6.65,4.056122449,9.024302751,-0.144055451,0.449466575,0.957746479,0.137968601,0.43047503
Cienfuegos,2020,-1.5,0.82,20,-0.3,0.75,19,-1.2,-1.69,-0.71,0.25,0.780368092,-1.537735861,0.320361638,0.979591837,1.506353497,0.313823645
Domaszewski,2020,0.29,4.84,25,-0.46,6.03,20,0.75,-2.5,4,1.658163265,5.527210884,0.135692308,0.3,0.98245614,-0.133311741,0.294736842
Domaszewski,2022,-0.6,8.54,23,0.34,5.44,23,-0.94,-5.08,3.2,2.112244898,7.162970952,-0.131230464,0.294883912,0.982857143,0.128980799,0.28982876
Fagundes,2023,-1.75,4.97,24,-0.45,5.61,12,-1.3,-5.05,2.45,1.913265306,5.411531489,-0.240227744,0.353553391,0.977777778,0.234889349,0.345696649
Jamshed,2022,-1.5,2,45,-1.3,2,45,-0.2,-1.03,0.63,0.423469388,2.008691677,-0.099567297,0.210818511,0.991452991,0.098716294,0.209016643
Kotarsky,2021,0,6.63,11,1,6.32,10,-1,-6.54,4.54,2.826530612,6.469048223,-0.154582245,0.436931449,0.96,0.148398956,0.419454191
Lin,2023,-0.41,1.33,30,0.39,2.41,30,-0.8,-1.78,0.18,0.5,1.936491673,-0.413118224,0.25819889,0.987012987,0.407753052,0.254845657
Liu,2022,-1.7,2.5,69,-1.4,2.31,70,-0.3,-1.1,0.5,0.408163265,2.406024697,-0.124686999,0.169642176,0.994515539,0.124003158,0.16871178
Lowe,2021,-1.1,2.4,59,-0.35,2.26,57,-0.75,-1.6,0.1,0.433673469,2.335055962,-0.321191446,0.185722945,0.993406593,0.3190737,0.184498398
Queiroz,2023,-1.25,1.07,32,-1,1.41,16,-0.25,-1.03,0.53,0.397959184,1.299729251,-0.192347752,0.306186218,0.983606557,0.18919451,0.301166772
Steger,2023,-1.8,0.6,15,-1.2,0.3,21,-0.6,-0.93,-0.27,0.168367347,0.498037329,-1.204728974,0.338061702,0.977777778,1.177957219,0.33054922
Thomas,2022,-1.2,2.3,40,-1.5,1.8,41,0.3,-0.6,1.2,0.459183673,2.066169054,0.145196251,0.222239159,0.99047619,-0.143813429,0.220122596
Zhang,2022,-0.8,1.11,41,0.3,1.04,19,-1.1,-1.68,-0.52,0.295918367,1.066264686,-1.03163878,0.277528058,0.987012987,1.018240874,0.273923797
