author,year,wmd,lCI,uCI,n_control,n_treat,n_total,se_md,pooled_sd,d,se_d,J,g,se_g
Antoni,2018,0.22,-0.19,0.63,12,15,,0.209183673,0.540109922,0.407324492,0.387298335,0.96969697,-0.394981326,0.375562021
Arguin,2012,0.16,-0.26,0.58,10,12,,0.214285714,0.500463607,0.319703566,0.428174419,0.962025316,-0.307562925,0.411914631
Bhutani,2013,-0.28,-1.27,0.72,16,25,,0.507653061,1.585641766,-0.176584652,0.320156212,0.980645161,0.173166885,0.31395964
Bowen,2018,0.1,-0.06,0.26,81,82,,0.081632653,0.521098166,0.191902422,0.156655038,0.99533437,-0.191007076,0.155924144
Cai (a),2019,0.13,-0.16,0.42,79,90,,0.147959184,0.959695315,0.135459659,0.154173081,0.995502249,-0.134850395,0.153479649
Cai (b),2019,0.08,-0.26,0.42,79,95,,0.173469388,1.13926189,0.070220904,0.152264716,0.995633188,-0.069914263,0.151599804
Catenacci,2016,0.15,-0.16,0.46,12,13,,0.158163265,0.39509171,0.379658687,0.400320385,0.967032967,-0.367142467,0.387123009
Cho (a),2019,-0.71,-1.25,-0.17,9,9,,0.275510204,0.584445401,-1.21482691,0.471404521,0.952380952,1.156978009,0.448956686
Cho (b),2019,-0.32,-1.01,0.38,9,8,,0.354591837,0.72974398,-0.438509955,0.485912658,0.949152542,0.416212839,0.461205235
Cienfuegos (b),2020,-0.42,-0.92,0.08,14,19,,0.255102041,0.724265472,-0.579897864,0.352221735,0.975609756,0.565754014,0.343630961
Cienfuegos (a),2020,-0.27,-0.63,0.08,14,16,,0.181122449,0.494920751,-0.545541886,0.365962527,0.972972973,0.530797511,0.356071648
Conley,2018,0.21,-1.04,1.45,12,11,,0.635204082,1.521725533,0.138001233,0.417423555,0.963855422,-0.133013237,0.402335957
Corley,2018,0.2,-1.25,1.65,18,19,,0.739795918,2.249179528,0.088921314,0.328918127,0.978417266,-0.087002149,0.321819175
Gabel (a),2019,-0.39,-1,0.23,17,11,,0.31377551,0.810887923,-0.480954259,0.386952995,0.970873786,0.466945883,0.375682519
Gabel (b),2019,0.06,-0.38,0.5,15,11,,0.224489796,0.565525123,0.106096082,0.396958131,0.968421053,-0.10274568,0.384422611
Harvie,2011,0,-0.2,0.2,54,53,,0.102040816,0.527736157,0,0.193355742,0.992840095,0,0.191971334
Harvie (b),2013,-0.1,-0.35,0.15,40,37,,0.12755102,0.559202922,-0.178825961,0.228094338,0.989966555,0.177031721,0.225805766
Harvie (a),2013,-0.1,-0.33,0.13,40,38,,0.117346939,0.518019678,-0.19304286,0.226529886,0.99009901,0.191131544,0.224287016
Hutchison (a),2018,-0.3,-0.58,-0.02,26,25,,0.142857143,0.510003962,-0.588230724,0.280109869,0.984615385,0.579181021,0.275800486
Hutchison (b),2018,0.09,-0.19,0.37,12,25,,0.142857143,0.406781998,0.221248729,0.351188458,0.978417266,-0.216473576,0.343608851
Li,2017,1.54,0.04,3.05,23,23,,0.767857143,2.603930261,0.591413688,0.294883912,0.982857143,-0.581275168,0.28982876
Martens,2020,-0.44,-0.74,-0.15,,,24,0.150510204,0.737346402,-0.59673445,0.204124145,0.967032967,0.577061886,0.197394778
Moro,2016,-0.64,-2.2,0.91,17,17,,0.793367347,2.313043417,-0.276691737,0.34299717,0.976377953,0.270155711,0.334894875
Panizza,2019,0.02,-0.35,0.38,30,30,,0.18622449,0.721244348,0.027729853,0.25819889,0.987012987,-0.027369725,0.254845657
Parvaresh,2019,-0.28,-0.46,-0.1,34,35,,0.091836735,0.381386546,-0.734163286,0.240796996,0.988764045,0.72591426,0.238091412
Pinto,2020,0.25,0.01,0.49,22,21,,0.12244898,0.401367248,0.622870953,0.30507965,0.981595092,-0.61140707,0.299464687
Pureza,2020,-0.05,-0.31,0.22,27,31,,0.135204082,0.513615989,-0.097348994,0.263239628,0.986547085,0.096039367,0.259698287
Schübel,2018,0.09,-0.08,0.27,49,49,,0.089285714,0.441941738,0.203646753,0.202030509,0.992167102,-0.202051609,0.200448025
Sundfor,2018,0,-0.29,0.29,58,54,,0.147959184,0.782426934,0,0.189102876,0.993166287,0,0.187810602
Teng,2013,-0.3,-0.79,0.19,28,28,,0.25,0.935414347,-0.32071349,0.267261242,0.986046512,0.316238418,0.263532015
Tinsley,2019,0.11,-0.4,0.62,14,13,,0.260204082,0.675566206,0.16282638,0.385164443,0.96969697,-0.157892248,0.373492793
Trepanowski (a),2018,-0.29,-0.65,0.07,29,25,,0.183673469,0.673005406,-0.430902928,0.272915296,0.985507246,0.424657958,0.268960002
Trepanowski (b),2018,-0.29,-0.62,0.04,25,25,,0.168367347,0.595268464,-0.487175145,0.282842712,0.984293194,0.479523179,0.278400157
Wei,2017,-0.16,-0.37,0.05,,,100,0.107142857,1.071428571,-0.149333333,0.1,0.992405063,0.148199156,0.099240506
