author,year,wmd,lCI,uCI,n_control,n_treat,n_total,se_md,pooled_sd,d,se_d,J,g,se_g
Arguin,2012,-0.25,-0.36,-0.14,10,12,,0.056122449,0.131073802,-1.907322413,0.428174419,0.962025316,1.834892448,0.411914631
Bhutani,2013,0,-0.33,0.33,16,25,,0.168367347,0.525891239,0,0.320156212,0.980645161,0,0.31395964
Bowen,2018,0.2,-0.02,0.42,81,82,,0.112244898,0.716509978,0.279130795,0.156655038,0.99533437,-0.277828474,0.155924144
Cai (a),2019,-0.43,-0.97,0.11,79,90,,0.275510204,1.787018862,-0.240624209,0.154173081,0.995502249,0.239541941,0.153479649
Cai (b),2019,-0.34,-0.85,0.17,79,95,,0.260204082,1.708892835,-0.198959228,0.152264716,0.995633188,0.198090411,0.151599804
Catenacci,2016,-0.25,-0.68,0.18,12,13,,0.219387755,0.548030437,-0.456179043,0.400320385,0.967032967,0.441140173,0.387123009
Cho (a),2019,0.5,-0.47,1.47,9,9,,0.494897959,1.049837109,0.476264361,0.471404521,0.952380952,-0.453585106,0.448956686
Cho (b),2019,-0.46,-1.7,0.79,9,8,,0.635204082,1.307239215,-0.351886628,0.485912658,0.949152542,0.333994088,0.461205235
Chow,2020,-0.45,-0.81,-0.09,9,11,,0.183673469,0.408647672,-1.101193109,0.449466575,0.957746479,1.054663822,0.43047503
Cienfuegos (b),2020,-0.02,-0.15,0.1,14,19,,0.06377551,0.181066368,-0.110456736,0.352221735,0.975609756,0.107762669,0.343630961
Cienfuegos (a),2020,-0.07,-0.24,0.09,14,16,,0.084183673,0.230033589,-0.304303386,0.365962527,0.972972973,0.296078971,0.356071648
Conley,2018,0.2,-0.7,1.1,12,11,,0.459183673,1.100042554,0.181811148,0.417423555,0.963855422,-0.175239661,0.402335957
Corley,2018,0,-0.42,0.42,18,19,,0.214285714,0.651486484,0,0.328918127,0.978417266,0,0.321819175
Gabel (a),2019,-0.21,-1.06,0.63,17,11,,0.431122449,1.11414682,-0.188485033,0.386952995,0.970873786,0.182995177,0.375682519
Gabel (b),2019,-0.25,-1.04,0.54,15,11,,0.403061224,1.015374654,-0.246214537,0.396958131,0.968421053,0.238439341,0.384422611
Harvie,2011,0.1,-0.17,0.37,54,53,,0.137755102,0.712443812,0.140361946,0.193355742,0.992840095,-0.139356968,0.191971334
Hirsh,2019,-0.26,-0.66,0.13,12,10,,0.201530612,0.470674107,-0.5523992,0.428174419,0.962025316,0.531422015,0.411914631
Hutchison (a),2018,-0.08,-0.25,0.09,26,25,,0.086734694,0.309645263,-0.258360161,0.280109869,0.984615385,0.254385389,0.275800486
Hutchison (b),2018,-0.03,-0.32,0.26,12,25,,0.147959184,0.421309927,-0.071206487,0.351188458,0.978417266,0.069669657,0.343608851
Li,2017,-0.27,-0.94,0.4,23,23,,0.341836735,1.159224768,-0.232914278,0.294883912,0.982857143,0.228921462,0.28982876
Martens,2020,-0.05,-0.25,0.16,10,14,,0.104591837,0.252613285,-0.197930999,0.414039336,0.965517241,0.191105793,0.399762117
Moro,2016,-0.07,-0.18,0.05,17,17,,0.058673469,0.171061089,-0.409210537,0.34299717,0.976377953,0.399544146,0.334894875
Panizza,2019,-0.03,-0.28,0.22,30,30,,0.12755102,0.494002978,-0.060728379,0.25819889,0.987012987,0.059939699,0.254845657
Parvaresh,2019,-0.14,-0.59,0.31,34,35,,0.229591837,0.953466366,-0.146832657,0.240796996,0.988764045,0.145182852,0.238091412
Pinto,2020,-0.18,-0.52,0.16,22,21,,0.173469388,0.568603601,-0.316565002,0.30507965,0.981595092,0.310738652,0.299464687
Schübel,2018,-0.06,-0.37,0.26,49,49,,0.160714286,0.795495129,-0.075424723,0.202030509,0.992167102,0.074833929,0.200448025
Stote,2007,-0.04,-0.33,0.24,,,15,0.145408163,0.563163395,-0.071027344,0.25819889,0.945454545,0.067153125,0.244115314
Sundfor,2018,0.01,-0.24,0.26,58,54,,0.12755102,0.674505977,0.014825666,0.189102876,0.993166287,-0.014724351,0.187810602
Teng,2013,-0.1,-0.61,0.41,28,28,,0.260204082,0.973594524,-0.102712164,0.267261242,0.986046512,0.101278971,0.263532015
Tinsley,2019,0.15,-0.21,0.5,14,13,,0.181122449,0.470247065,0.318981257,0.385164443,0.96969697,-0.309315159,0.373492793
Varady,2013,-0.36,-0.85,0.13,15,15,,0.25,0.684653197,-0.525813655,0.365148372,0.972972973,0.511602475,0.355279497
Wei,2017,-0.1,-0.36,0.15,48,52,,0.130102041,0.649989588,-0.153848618,0.200160192,0.992327366,0.152668194,0.198624436
Williams (a),1998,-0.49,-1.42,0.44,18,18,,0.474489796,1.423469388,-0.344229391,0.333333333,0.977777778,0.336579849,0.325925926
Williams (b),1998,0.44,-0.46,1.34,18,18,,0.459183673,1.37755102,0.319407407,0.333333333,0.977777778,-0.312309465,0.325925926
