Author,Year,Fiber,Control,Weight_percent,ES,CI_lower,CI_upper,SE,pooled_sd,d,J,g,se_g
Yatzidis,1980,3,3,0.2,297.33,-184.83,779.49,246,301.2872384,0.986865563,0.8,0.78949245,0.653197265
Yatzidis,1980,3,3,1.5,60.33,-97.33,217.99,80.43877551,98.51697777,0.612381758,0.8,0.489905406,0.653197265
Miyazaki,1984,15,15,4.8,-15.25,-100.35,69.85,43.41836735,118.906096,-0.128252466,0.972972973,-0.124786183,0.355279497
Rampton,1984,8,8,2.9,24,-88.36,136.36,57.32653061,114.6530612,0.209327163,0.945454545,0.197909317,0.472727273
Rivellee,1985,5,5,0.7,61.88,30.02,93.74,16.25510204,25.70157302,2.407634737,0.903225806,2.174637827,0.571250158
Burgess,1987,9,9,1.4,-88.4,-254.01,77.21,84.49489796,179.240746,-0.493191431,0.952380952,-0.469706125,0.448956686
Parillo,1988,6,6,0.1,260,-507.07,1027.07,391.3622449,677.8592923,0.383560428,0.923076923,0.354055779,0.53293871
Miura,1989,10,10,2.4,-7.63,-35.49,20.23,14.21428571,31.7841091,-0.240057067,0.957746479,-0.22991381,0.428317246
Bliss,1996,16,16,5.2,17.68,-62.97,98.33,41.14795918,116.3840039,0.15191091,0.974789916,0.148081224,0.34464028
Younes,2006,9,9,1.6,18,-133.84,169.84,77.46938776,164.3373883,0.109530766,0.952380952,0.104315015,0.448956686
Meijers,2010,22,22,14.4,28.29,-13.61,70.19,21.37755102,70.90131567,0.39900529,0.982035928,0.39183753,0.296094973
Salmean,2013,13,13,25.9,26,2.73,49.27,11.87244898,30.26892451,0.85896676,0.968421053,0.831841493,0.379845988
