Author,Fiber,Control,Weight,ES,CI_lower,CI_upper,SE,Year,pooled_sd,d,J,g,se_g
Yatzid,3,3,6.70%,5.93,2.65,9.21,1.673469388,1980,2.04957305,2.893285506,0.8,2.314628405,0.653197265
Yatzidis,3,3,2.10%,4.53,-3.25,12.31,3.969387755,1980,4.861487296,0.931813604,0.8,0.745450884,0.653197265
Miyazaki,15,15,8.10%,2.43,-0.18,5.04,1.331632653,1984,3.646826212,0.666332822,0.972972973,0.648323826,0.355279497
Ramptor,9,9,3.30%,7,1.08,12.92,3.020408163,1984,6.407253282,1.092511829,0.952380952,1.040487456,0.448956686
Ramptor,3,3,8.90%,5,2.75,7.25,1.147959184,1984,1.405957123,3.556296219,0.8,2.845036975,0.653197265
Rivellese,5,5,4.60%,4.28,-0.3,8.87,2.339285714,1985,3.698735477,1.157152229,0.903225806,1.045169755,0.571250158
Burgess,9,9,6.60%,-3.93,-7.3,-0.56,1.719387755,1987,3.647372223,-1.077488054,0.952380952,-1.026179099,0.448956686
Parillo,6,6,11.70%,-2.1,-3.11,-1.09,0.515306122,1988,0.892536385,-2.352845257,0.923076923,-2.17185716,0.53293871
Miura,10,10,11.90%,0,-0.85,0.85,0.433673469,1989,0.969723357,0,0.957746479,0,0.428317246
Bliss,16,16,7.80%,3,0.26,5.74,1.397959184,1996,3.954025675,0.758720415,0.974789916,0.739593009,0.34464028
Younes,9,9,4.20%,5.9,0.91,10.89,2.545918367,2006,5.400708425,1.092449274,0.952380952,1.04042788,0.448956686
Meijiers,22,22,11.70%,1.18,0.19,2.17,0.505102041,2010,1.675233951,0.70437923,0.982035928,0.691725711,0.296094973
Salmean,13,13,12.30%,0.61,0.06,1.15,0.278061224,2013,0.708919804,0.860464042,0.968421053,0.833291493,0.379845988
