Author,Year,n,design,weight,wmd_neg,lCI_neg,uCI_neg,wmd,lCI,uCI,SE,pooled_sd,d,J,g,se_g
Fuessl,1987,18,c,2.35,-12.37,-35.44,10.7,12.37,-10.7,35.44,11.77040816,49.93761258,0.247709079,0.955223881,0.236617627,0.225148428
Peterson,1987,16,c,2.08,-19.31,-44.45,5.83,19.31,-5.83,44.45,12.82653061,51.30612245,0.376368337,0.949152542,0.357230964,0.237288136
Lalor,1990,23,c,1.33,-6.57,-40.08,26.94,6.57,-26.94,40.08,17.09693878,81.99403793,0.080127777,0.965517241,0.07736475,0.201324262
Groop,1993,12,c,2.94,-29,-48.37,-9.63,29,9.63,48.37,9.882653061,34.23451443,0.84709833,0.930232558,0.787998446,0.268535009
Vuksan,1999,11,c,2.37,-22.47,-45.2,0.58,22.47,-0.58,45.2,11.67857143,38.73343952,0.580118892,0.923076923,0.535494361,0.278318164
Luo,2000,10,c,2.09,5.03,-19.98,30.04,-5.03,-30.04,19.98,12.76020408,40.35130831,-0.12465519,0.914285714,-0.113970459,0.289122529
Chen,2003,22,c,2.91,-30.94,-50.47,-11.41,30.94,11.41,50.47,9.964285714,46.73664275,0.662007328,0.963855422,0.638079353,0.205494666
Chearskul,2007,20,c,2.69,-8.5,-29.28,12.28,8.5,-12.28,29.28,10.60204082,47.41376793,0.179272822,0.96,0.17210191,0.214662526
Saki,2019,28,c,3.79,-3.1,-18.7,12.07,3.1,-12.07,18.7,7.849489796,41.53559584,0.074634779,0.971962617,0.072542215,0.183683669
McIvor,1986,16,p,0.75,1.8,-44.95,48.55,-1.8,-48.55,44.95,23.85204082,47.70408163,-0.03773262,0.945454545,-0.035674477,0.472727273
Rodriguez,1998,123,p,3.51,-11,-27.58,5.58,11,-5.58,27.58,8.459183673,46.90844267,0.234499365,0.99378882,0.233042847,0.17921384
Ziai,2005,36,p,1.88,-5,-31.91,21.91,5,-21.91,31.91,13.72959184,41.18877551,0.121392295,0.977777778,0.118694689,0.325925926
Sartore,2009,40,p,3.01,4,-14.97,22.97,-4,-22.97,14.97,9.678571429,30.60633021,-0.130691918,0.98013245,-0.12809539,0.309945095
Liatis,2009,41,p,3.89,-21.27,-36.25,-6.29,21.27,6.29,36.25,7.642857143,24.46908191,0.86926024,0.980645161,0.852435848,0.306302088
Cugnet,2010,53,p,5.44,1.94,-7.59,11.47,-1.94,-11.47,7.59,4.862244898,17.69883858,-0.109611712,0.985221675,-0.107991835,0.27066121
Bonsu,2012,26,p,2.2,-0.01,-24.16,24.14,0.01,-24.14,24.16,12.32142857,31.41360236,0.000318333,0.968421053,0.000308281,0.379845988
Ma,2013,126,p,6.4,-10.83,-17.21,-4.45,10.83,4.45,17.21,3.255102041,18.26921489,0.592800515,0.993939394,0.589207785,0.177094318
Dehghan,2013,49,p,2.4,-22.7,-45.35,-0.05,22.7,0.05,45.35,11.55612245,40.44642857,0.561236203,0.983957219,0.552232414,0.281130634
Dall Alba,2013,44,p,2.73,15.44,-5.15,36.03,-15.44,-36.03,5.15,10.50510204,34.84148185,-0.443149923,0.982035928,-0.435189146,0.296094973
Aliasgharzadeh,2015,52,p,2.74,-28.4,-45.33,-4.27,28.4,4.27,45.33,10.4744898,37.76631004,0.751992979,0.984924623,0.740656402,0.273168941
Gargari,2015,60,p,2.13,-19.7,-44.44,5.04,19.7,-5.04,44.44,12.62244898,48.88653469,0.40297395,0.987012987,0.397740522,0.254845657
Li,2016,139,p,5.97,-10.83,-18.64,-3.02,10.83,3.02,18.64,3.984693878,23.48942398,0.46105856,0.994515539,0.458529903,0.168707414
Dehghan,2016,49,p,1.2,-83.28,-118.93,-47.63,83.28,47.63,118.93,18.18877551,63.66071429,1.308185133,0.983957219,1.287198206,0.281130634
Chen,2016,77,p,1.73,-16.24,-44.65,12.17,16.24,-12.17,44.65,14.49489796,63.5961067,0.255361544,0.989966555,0.252799388,0.225634319
Gonai,2017,52,p,3.42,10.7,-6.27,27.67,-10.7,-27.67,6.27,8.658163265,31.2174516,-0.342756998,0.984924623,-0.337589807,0.273168941
Cai,2018,99,p,7.22,-7.73,-10.62,-4.84,7.73,4.84,10.62,1.474489796,7.335494115,1.05378041,0.992248062,1.04561157,0.199449365
Soltanian,2018,51,p,4.21,-2.9,-16.62,10.82,2.9,-10.82,16.62,7,24.9949995,0.116023207,0.984615385,0.114238235,0.275747463
Ghavami,2019,46,p,2.35,-19.36,-42.37,3.65,19.36,-3.65,42.37,11.73979592,39.81158493,0.486290612,0.982857143,0.477954202,0.28982876
Abbasalizad-Farhangi,2019,65,p,1.48,-20.05,-51.46,11.39,20.05,-11.39,51.46,16.03316327,64.63174738,0.310219061,0.988047809,0.306511264,0.245104495
Rashid,2019,64,p,5.34,-31.31,-41.15,-21.47,31.31,21.47,41.15,5.020408163,20.08163265,1.559136179,0.987854251,1.540199302,0.246963563
Reimer,2020,100,p,7.46,-1.16,-1.57,-0.57,1.16,0.57,1.57,0.255102041,1.275510204,0.90944,0.992327366,0.902462199,0.198465473
