Author,Year,n,design,weight,wmd_neg,lCI_neg,uCI_neg,wmd,lCI,uCI,SE,pooled_sd,d,J,g,se_g
Aro,1981,9,c,0.96,15.94,-94.35,126.23,-15.94,-126.23,94.35,56.27040816,168.8112245,-0.094425001,0.903225806,-0.085287097,0.301075269
McIvor,1986,16,p,0.23,92,-155.71,339.71,-92,-339.71,155.71,126.3826531,252.7653061,-0.363974002,0.945454545,-0.344120874,0.472727273
Fuessl,1987,18,c,1.62,8.86,-67.45,85.17,-8.86,-85.17,67.45,38.93367347,165.1815872,-0.05363794,0.955223881,-0.051236241,0.225148428
Peterson,1987,16,c,1.82,-17.71,-87.15,51.73,17.71,-51.73,87.15,35.42857143,141.7142857,0.124969758,0.949152542,0.118615364,0.237288136
Uusitupa,1989,33,p,1.34,-13.31,-101.21,74.59,13.31,-74.59,101.21,44.84693878,128.8130247,0.10332806,0.975609756,0.100807864,0.339663719
Laajam,1990,39,c,2.25,-61.14,-118.28,-4,61.14,4,118.28,29.15306122,182.060809,0.335821863,0.98013245,0.329149905,0.1569468
Groop,1993,12,c,2.25,-8.86,-65.86,48.14,8.86,-48.14,65.86,29.08163265,100.7417306,0.087947665,0.930232558,0.081811782,0.268535009
Rodriguez,1998,123,p,3.21,-33,-68.83,2.83,33,-2.83,68.83,18.28061224,101.3708987,0.325537214,0.99378882,0.323515244,0.17921384
Alles,1999,20,c,2.29,10.65,-45.32,66.62,-10.65,-66.62,45.32,28.55612245,127.7068619,-0.083394109,0.96,-0.080058345,0.214662526
Vuksan,1999,11,c,1.41,7.06,-77.64,91.76,-7.06,-91.76,77.64,43.21428571,143.3255713,-0.049258481,0.923076923,-0.045469368,0.278318164
Luo,2000,10,c,3.38,-15.95,-48.33,16.43,15.95,-16.43,48.33,16.52040816,52.24211767,0.305309216,0.914285714,0.279139855,0.289122529
Chen,2003,22,c,3.26,0.01,-34.71,34.73,-0.01,-34.73,34.71,17.71428571,83.08736489,-0.000120355,0.963855422,-0.000116005,0.205494666
Maeda,2004,76,p,3.7,0,-25.96,25.96,0,-25.96,25.96,13.24489796,57.73317172,0,0.989830508,0,0.227082693
Ziai,2005,36,p,2.28,-6,-62.39,50.39,6,-50.39,62.39,28.77040816,86.31122449,0.069515872,0.977777778,0.067971074,0.325925926
Chearskul,2007,20,c,0.44,39.82,-134.19,213.83,-39.82,-213.83,134.19,88.78061224,397.0389681,-0.100292423,0.96,-0.096280726,0.214662526
Sartore,2009,40,p,3.66,-17,-43.71,9.71,17,-9.71,43.71,13.62755102,43.09410015,0.394485555,0.98013245,0.386648093,0.309945095
Liatis,2009,41,p,3.22,-13.29,-48.98,22.4,13.29,-22.4,48.98,18.20918367,58.29783266,0.227967308,0.980645161,0.223555038,0.306302088
Cugnet,2010,53,p,3.97,-21.26,-41.09,-1.43,21.26,1.43,41.09,10.11734694,36.82769875,0.57728288,0.985221675,0.568751606,0.27066121
Bonsu,2012,26,p,2.19,-17.71,-76.43,41.01,17.71,-41.01,76.43,29.95918367,76.38123108,0.231863244,0.968421053,0.224541247,0.379845988
Ma,2013,126,p,3.26,-10.63,-45.43,24.17,10.63,-24.17,45.43,17.75510204,99.65026306,0.106673075,0.993939394,0.106026572,0.177094318
Dehghan,2013,49,p,3.02,-57.05,-96.75,-17.35,57.05,17.35,96.75,20.25510204,70.89285714,0.804735516,0.983957219,0.791825321,0.281130634
Dall Alba,2013,44,p,3.9,13.29,-8.19,34.77,-13.29,-34.77,8.19,10.95918367,36.34750025,-0.365637249,0.982035928,-0.359068915,0.296094973
Aliasgharzadeh,2015,52,p,3.14,-37.3,-74.47,-0.13,37.3,0.13,74.47,18.96428571,68.37670455,0.545507425,0.984924623,0.537283695,0.273168941
Gargari,2015,60,p,3.91,-37.3,-58.54,-16.06,37.3,16.06,58.54,10.83673469,41.970493,0.888719606,0.987012987,0.877177793,0.254845657
Li,2016,139,p,3.49,-23.02,-53.26,7.22,23.02,-7.22,53.26,15.42857143,90.95008723,0.253105859,0.994515539,0.25171771,0.168707414
Dehghan,2016,49,p,3.09,-47.39,-85.65,-9.13,47.39,9.13,85.65,19.52040816,68.32142857,0.693633037,0.983957219,0.682505234,0.281130634
Chen,2016,77,p,1.46,-113.37,-196.2,-30.54,113.37,30.54,196.2,42.26020408,185.4158929,0.611436259,0.989966555,0.605301447,0.225634319
Gonai,2017,52,p,0.64,-3.3,-143.72,137.12,3.3,-137.12,143.72,71.64285714,258.3119949,0.012775249,0.984924623,0.012582657,0.273168941
Cai,2018,99,p,4.05,-0.88,-18.75,16.99,0.88,-16.99,18.75,9.117346939,45.35822832,0.019401111,0.992248062,0.019250714,0.199449365
Soltanian,2018,51,p,3.99,-5.2,-24.6,14.2,5.2,-14.2,24.6,9.897959184,35.34278355,0.14713046,0.984615385,0.144866914,0.275747463
Babiker,2018,91,p,4.12,15.06,-1.02,31.14,-15.06,-31.14,1.02,8.204081633,39.13097541,-0.384861349,0.991549296,-0.381609,0.207885218
Saki,2019,28,c,2.55,11.51,-38.36,61.38,-11.51,-61.38,38.36,25.44387755,134.6363448,-0.085489546,0.971962617,-0.083092643,0.183683669
Ghavami,2019,46,p,3.04,-7.3,-46.6,32,7.3,-32,46.6,20.05102041,67.99631845,0.107358754,0.982857143,0.105518318,0.28982876
Abbasalizad-Farhangi,2019,65,p,4.42,-51.1,-55.54,-46.66,51.1,46.66,55.54,2.265306122,9.131740919,5.595866161,0.988047809,5.528983299,0.245104495
Rashid,2019,64,p,3.98,-49.59,-69.22,-29.96,49.59,29.96,69.22,10.01530612,40.06122449,1.237855323,0.987854251,1.222820643,0.246963563
