Author,Year,n_treatment,n_control,weight,ES_neg,CI_lower_neg,CI_upper_neg,ES,CI_lower,CI_upper,SE,pooled_sd,d,J,g,se_g
Abutair,2016,18,18,0.045,-2.08,-2.5,-1.66,2.08,1.66,2.5,0.214285714,0.642857143,3.235555555,0.977777778,3.16365432,0.325925925
Abutair,2018,18,18,0.044,2.26,1.72,2.8,-2.26,-2.8,-1.72,0.275510204,0.826530612,-2.734320988,0.977777778,-2.6735583,0.325925926
Aro,1981,9,9,0.026,-1.2,-3.35,0.95,1.2,-0.95,3.35,1.096938776,2.32695854,0.51569462,0.952380952,0.491137733,0.448956687
Baker,1988,15,15,0.026,0.9,-1.26,3.06,-0.9,-3.06,1.26,1.102040816,3.018063072,-0.298204504,0.972972973,-0.290144922,0.355279497
Chen,2003,22,22,0.041,-2.3,-3.19,-1.41,2.3,1.41,3.19,0.454081633,1.5060184,1.527205777,0.982035928,1.499770942,0.296094973
Chuang,1992,13,13,0.038,-0.94,-2.02,0.14,0.94,-0.14,2.02,0.551020408,1.404831907,0.669119199,0.968421053,0.647989119,0.379845988
Cugnet-Anceau,2010,29,24,0.042,-0.69,-1.41,0.03,0.69,-0.03,1.41,0.367346939,1.33119939,0.518329564,0.985221675,0.510669522,0.271873747
Dall'Alba,2013,23,21,0.039,0.5,-0.51,1.51,-0.5,-1.51,0.51,0.515306122,1.707310572,-0.292858258,0.982035928,-0.287597331,0.296401331
Feinglos,2013,25,8,0.041,-1.97,-2.77,-1.17,1.97,1.17,2.77,0.408163265,1.004828498,1.960533568,0.975609756,1.912715676,0.396294556
Fuessl,1987,18,18,0.039,-1.06,-2.05,-0.07,1.06,0.07,2.05,0.505102041,1.515306122,0.69952862,0.977777778,0.683983539,0.325925926
Holman,1987,29,29,0.044,0,-0.53,0.53,0,-0.53,0.53,0.270408163,1.029683609,0,0.986547085,0,0.259079957
Laajam,1990,39,39,0.04,-1.8,-2.74,-0.86,1.8,0.86,2.74,0.479591837,2.117820208,0.849930506,0.99009901,0.841515352,0.224213274
Lalor,1990,19,19,0.032,-1.9,-3.55,-0.25,1.9,0.25,3.55,0.841836735,2.594715078,0.732257663,0.979020979,0.716895614,0.317636349
Li,2016,152,76,0.044,-0.09,-0.54,0.35,0.09,-0.35,0.54,0.227040816,1.616088375,0.055690024,0.996677741,0.055505007,0.140021134
Liatis,2009,23,18,0.044,-0.65,-1.17,-0.13,0.65,0.13,1.17,0.265306122,0.843054235,0.77100615,0.980645161,0.75608345,0.308605489
Ma,2013,127,59,0.045,-1.56,-1.91,-1.21,1.56,1.21,1.91,0.178571429,1.133400415,1.37638912,0.995918367,1.370771205,0.156910624
McGeoch,2013,27,27,0.044,0.3,-0.2,0.8,-0.3,-0.8,0.2,0.255102041,0.937304749,-0.32006666,0.985507246,-0.315428012,0.268221099
Niemi,1988,18,18,0.037,0.5,-0.72,1.72,-0.5,-1.72,0.72,0.62244898,1.867346939,-0.267759563,0.977777778,-0.26180935,0.325925926
Peterson,1987,16,16,0.032,-0.2,-1.79,1.39,0.2,-1.39,1.79,0.81122449,2.294489351,0.087165364,0.974789916,0.084967918,0.34464028
Rodriguez-Moran,1998,60,63,0.045,-2.17,-2.54,-1.8,2.17,1.8,2.54,0.18877551,1.046499432,2.073579721,0.99378882,2.060700344,0.17926717
Sels,1993,12,12,0.028,0.2,-1.81,2.21,-0.2,-2.21,1.81,1.025510204,2.511976726,-0.079618572,0.965517241,-0.076873104,0.394170763
Uusitupa,1984,17,17,0.032,-0.8,-2.42,0.82,0.8,-0.82,2.42,0.826530612,2.40973012,0.331987385,0.976377953,0.324145163,0.334894875
Uusitupa,1989,20,19,0.037,-1.3,-2.54,-0.06,1.3,0.06,2.54,0.632653061,1.974809049,0.658291494,0.979591837,0.644856974,0.313823645
Uusitupa,1990,9,9,0.026,-1.6,-3.71,0.51,1.6,-0.51,3.71,1.076530612,2.283666288,0.700627762,0.952380952,0.667264535,0.448956686
Vuksan,1999,11,11,0.031,-0.71,-2.38,0.96,0.71,-0.96,2.38,0.852040816,1.998212836,0.355317505,0.962025316,0.341824436,0.410208973
Wolffenbuttel,1992,12,12,0.028,0.2,-1.81,2.21,-0.2,-2.21,1.81,1.025510204,2.511976726,-0.079618572,0.965517241,-0.076873104,0.394170763
Ziai,2005,21,15,0.03,-4.98,-6.79,-3.17,4.98,3.17,6.79,0.923469388,2.731659288,1.823067768,0.977777778,1.782555151,0.33054922
