Author,Year,n_treatment,n_control,weight,ES_neg,CI_lower_neg,CI_upper_neg,md_pct,CI_lower,CI_upper,se_pct,pooled_sd,d,J,g,se_g
Abutair,2016,18,18,6.60%,-1,-1.28,-0.72,1,0.72,1.28,0.142857143,0.428571429,2.333333331,0.977777778,2.281481479,0.325925926
Baker,1988,15,15,5.10%,0,-0.71,0.71,0,-0.71,0.71,0.362244898,0.99204851,0,0.972972973,0,0.355279497
Chuang,1992,29,24,5.80%,-0.3,-0.82,0.22,0.3,-0.22,0.82,0.265306122,0.961421782,0.312037865,0.985221675,0.307426468,0.271873747
Cugnet-Anceau,2010,29,24,6.60%,-0.17,-0.44,0.1,0.17,-0.1,0.44,0.137755102,0.499199771,0.340545028,0.985221675,0.335512343,0.271873747
Dall'Alba,2013,23,21,6.40%,-0.2,-0.54,0.14,0.2,-0.14,0.54,0.173469388,0.574738212,0.347984519,0.982035928,0.3417333,0.296401332
Feinglos,2013,25,8,6.70%,-0.59,-0.8,-0.37,0.59,0.37,0.8,0.109693878,0.270047659,2.184799536,0.975609756,2.131511742,0.396294558
Fuessl,1987,18,18,4.90%,-0.79,-1.57,-0.01,0.79,0.01,1.57,0.397959184,1.193877551,0.661709402,0.977777778,0.647004748,0.325925926
Holman,1987,29,29,5.40%,0.2,-0.44,0.84,-0.2,-0.84,0.44,0.326530612,1.243391527,-0.16085038,0.986547085,-0.158686474,0.259079957
Laajam,1990,39,39,5.10%,-1.6,-2.31,-0.89,1.6,0.89,2.31,0.362244898,1.599630157,1.000231205,0.99009901,0.990327926,0.224213274
Li,2016,152,76,6.50%,-0.56,-0.85,-0.26,0.56,0.26,0.85,0.150510204,1.071339484,0.522710129,0.996677741,0.520973551,0.140021135
Liatis,2009,23,18,6.80%,-0.15,-0.32,0.02,0.15,-0.02,0.32,0.086734694,0.275613885,0.544239634,0.980645161,0.533705964,0.30860549
Ma,2013,127,59,6.60%,-2,-2.28,-1.71,2,1.71,2.28,0.145408163,0.922911766,2.167054396,0.995918367,2.158209276,0.156910623
McGeoch,2013,27,27,6.60%,0.1,-0.14,0.34,-0.1,-0.34,0.14,0.12244898,0.449906279,-0.222268514,0.985507246,-0.219047231,0.2682211
Niemi,1988,18,18,4.20%,-1.1,-2.08,-0.12,1.1,0.12,2.08,0.5,1.5,0.733333333,0.977777778,0.717037037,0.325925926
Peterson,1987,16,16,2.70%,-0.5,-2.03,1.03,0.5,-1.03,2.03,0.780612245,2.207904847,0.226459035,0.974789916,0.220749983,0.34464028
Sels,1993,9,9,2.40%,0.2,-1.47,1.87,-0.2,-1.87,1.47,0.852040816,1.807451517,-0.110653037,0.952380952,-0.105383845,0.448956686
Uusitupa,1989,20,19,5.30%,-0.44,-1.11,0.23,0.44,-0.23,1.11,0.341836735,1.067033922,0.412358024,0.979591837,0.403942554,0.313823645
Wolffenbuttel,1992,12,12,2.80%,0.2,-1.25,1.65,-0.2,-1.65,1.25,0.739795918,1.812122514,-0.110367814,0.965517241,-0.106562027,0.394170763
Ziai,2005,21,15,3.60%,-3,-4.17,-1.83,3,1.83,4.17,0.596938776,1.765768711,1.698976758,0.977777778,1.661221719,0.33054922
