Author,Year,subgroup,ES_neg,CI_lower_neg,CI_upper_neg,ES,CI_lower,CI_upper,SE,n_control,n_treatment,n_total,design,pooled_sd,d,J,g,se_g
Onning,1999,B-glucan,-1.5,-2.44,-0.56,1.5,0.56,2.44,0.479591837,,,52,C,3.458385919,0.433728345,0.984924623,0.427189726,0.13658447
Landin,1993,Guar Gum,-3,-6.92,0.92,3,-0.92,6.92,2,,,25,C,10,0.3,0.967032967,0.29010989,0.193406593
ArvilBondin,1995,Konjac Glucomannan,-0.27,-2.29,1.75,0.27,-1.75,2.29,1.030612245,,,63,C,8.180231095,0.033006402,0.987654321,0.032598916,0.124432748
de Bock,2012,Psyllium,0,-0.12,0.12,0,-0.12,0.12,0.06122449,,,45,C,0.410706365,0,0.98245614,0,0.146455914
Davy,2002,B-glucan,-3.3,-7.22,0.62,3.3,-0.62,7.22,2,18,18,,P,6,0.55,0.977777778,0.537777778,0.325925926
He,2004,B-glucan,-1.2,-2.92,0.52,1.2,-0.52,2.92,0.87755102,56,54,,P,4.601155662,0.260804043,0.993039443,0.258988702,0.1893965
Pins,2002,B-glucan,-5,-12.17,2.17,5,-2.17,12.17,3.658163265,25,12,,P,10.41652474,0.48000654,0.978417266,0.469646687,0.343608851
Queenan,2007,B-glucan,0,-0.12,0.12,0,-0.12,0.12,0.06122449,40,35,,P,0.264520029,0,0.989690722,0,0.229068891
Saltzman,2001,B-glucan,-1,-8.68,6.68,1,-6.68,8.68,3.918367347,21,22,,P,12.84375193,0.077858869,0.981595092,0.076425884,0.299464687
Zhang,2012,B-glucan,-0.89,-3.48,1.7,0.89,-1.7,3.48,1.321428571,81,85,,P,8.510236334,0.104579939,0.995419847,0.104100947,0.154564007
Cicero,2007,Guar Gum,-1,-2.2,0.2,1,-0.2,2.2,0.612244898,45,48,,P,2.950601617,0.338913933,0.991735537,0.336112992,0.205783464
Dall'Alba,2013,Guar Gum,5.4,2.03,8.77,-5.4,-8.77,-2.03,1.719387755,21,23,,P,5.696669928,-0.947922219,0.982035928,-0.930893676,0.296401331
Makkonen,1993,Guar Gum,-0.56,-5.48,4.36,0.56,-4.36,5.48,2.510204082,15,15,,P,6.874476998,0.081460742,0.972972973,0.079259101,0.355279497
Uusitupa,1989,Guar Gum,1.1,-2.41,4.61,-1.1,-4.61,2.41,1.790816327,19,20,,P,5.589983681,-0.196780539,0.979591837,-0.192764609,0.313823645
Wood,2007,Konjac Glucomannan,7.8,4.25,11.35,-7.8,-11.35,-4.25,1.81122449,14,15,,P,4.87397088,-1.600337834,0.971962617,-1.555468549,0.361192658
Bell,1990,Pectin,-1.7,-5.27,1.87,1.7,-1.87,5.27,1.821428571,19,19,,P,5.614019894,0.30281332,0.979020979,0.296460593,0.317636349
Schwab,2006,Pectin,-1,-4.37,2.37,1,-2.37,4.37,1.719387755,22,22,,P,5.702564052,0.175359714,0.982035928,0.172209539,0.296094973
Bell,1990,Psyllium,2.2,-2.11,6.51,-2.2,-6.51,2.11,2.198979592,19,20,,P,6.864054034,-0.320510297,0.979591837,-0.313969271,0.313823645
Burke,2001,Psyllium,-1.9,-3.84,0.04,1.9,-0.04,3.84,0.989795918,9,9,,P,2.099674217,0.904902287,0.952380952,0.861811702,0.448956686
Cicero,2007,Psyllium,-2,-3.49,-0.51,2,0.51,3.49,0.760204082,45,48,,P,3.663663675,0.545901638,0.991735537,0.541390054,0.205783464
Sanore,2009,Psyllium,0.16,-3.21,3.53,-0.16,-3.53,3.21,1.719387755,20,20,,P,5.437181487,-0.029427011,0.98013245,-0.028842369,0.309945095
Sola,2010,Psyllium,-1.33,-3.33,0.67,1.33,-0.67,3.33,1.020408163,108,101,,P,7.371796633,0.180417348,0.99637243,0.179762872,0.137918422
Sola,2012,Psyllium,1.48,-0.68,3.64,-1.48,-3.64,0.68,1.102040816,30,27,,P,4.154346926,-0.356253348,0.98630137,-0.351373165,0.26164025
