Author,Year,subgroup,ES_neg,CI_lower_neg,CI_upper_neg,ES,CI_lower,CI_upper,SE,n_control,n_treatment,n_total,design,pooled_sd,d,J,g,se_g
Arvil and Bondin,1995,Konjac Glucomannan,-3.43,-6.15,-0.71,3.43,0.71,6.15,1.388,,,63,C,11.01690846,0.311339612,0.987854251,0.307558159,0.124457937
de Bock,2012,Psyllium,-1.3,-4.57,1.97,1.3,-1.97,4.57,1.668,,,45,C,11.18928416,0.116182589,0.982857143,0.114190887,0.146515692
Landin,1993,Guar Gum,-6,-23.64,11.64,6,-11.64,23.64,9,,,25,C,45,0.133333333,0.968421053,0.129122807,0.193684211
Onning,1999,B-glucan,-1.6,-5.5,2.3,1.6,-2.3,5.5,1.99,,,52,C,14.35009408,0.111497527,0.985221675,0.10984978,0.136625664
Bell,1990,Psyllium,2.2,-3.09,7.49,-2.2,-7.49,3.09,2.699,19,19,,P,8.318876697,-0.264458782,0.979020979,-0.258910696,0.317636349
Bell,1990,Pectin,0.6,-5.93,7.13,-0.6,-7.13,5.93,3.332,19,20,,P,10.40074593,-0.05768817,0.979591837,-0.05651086,0.313823645
Burke,2001,Psyllium,-6.5,-9.01,-3.99,6.5,3.99,9.01,1.281,9,9,,P,2.71741136,2.391982346,0.952380952,2.278078425,0.448956686
Charleton,2012,B-glucan,2.25,-2.34,6.84,-2.25,-6.84,2.34,2.342,31,56,,P,10.4616967,-0.215070276,0.991150442,-0.213167,0.221883161
Cicero,2007,Guar Gum,-1.5,-2.75,-0.25,1.5,0.25,2.75,0.638,45,48,,P,3.074723591,0.48784873,0.991735537,0.483816923,0.205783464
Cicero,2007,Psyllium,-3.5,-6.09,-0.91,3.5,0.91,6.09,1.321,45,48,,P,6.366316401,0.549768466,0.991735537,0.545224925,0.205783464
Dall'Alba,2013,Guar Gum,4.4,-0.64,9.44,-4.4,-9.44,0.64,2.571,21,23,,P,8.518228853,-0.516539304,0.982035928,-0.507260154,0.296401331
Davy,2002,B-glucan,-5.7,-11.23,-0.17,5.7,0.17,11.23,2.821,18,18,,P,8.463,0.673520028,0.977777778,0.658552917,0.325925926
He,2004,B-glucan,-1.8,-4.33,0.73,1.8,-0.73,4.33,1.291,56,54,,P,6.768942004,0.265920435,0.993039443,0.26406948,0.1893965
Makkonen,1993,Guar Gum,1.35,-6.76,9.46,-1.35,-9.46,6.76,4.138,15,15,,P,11.33237971,-0.119127671,0.972972973,-0.115908004,0.355279497
Pins,2002,B-glucan,-6,-11.8,-0.2,6,0.2,11.8,2.959,25,12,,P,8.425675528,0.712109074,0.978417266,0.696739814,0.343608851
Queenan,2007,B-glucan,0,-0.1,0.1,0,-0.1,0.1,0.051,40,35,,P,0.220345184,0,0.989690722,0,0.229068891
Saltzman,2001,B-glucan,-5,-9.25,-0.75,5,0.75,9.25,2.168,21,22,,P,7.106340909,0.70359698,0.981595092,0.690647342,0.299464687
Sanore,2009,Psyllium,-0.18,-8.08,7.72,0.18,-7.72,8.08,4.031,20,20,,P,12.74714125,0.014120813,0.98013245,0.013840267,0.309945095
Schwab,2006,Pectin,-5,-11.06,1.06,5,-1.06,11.06,3.092,22,22,,P,10.25500385,0.487566857,0.982035928,0.478808171,0.296094973
Sola,2010,Psyllium,-4.01,-6.74,-1.29,4.01,1.29,6.74,1.39,108,101,,P,10.04186138,0.399328357,0.99637243,0.397879765,0.137918422
Sola,2012,Psyllium,0.56,-2.77,3.89,-0.56,-3.89,2.77,1.699,30,27,,P,6.404695112,-0.087435856,0.98630137,-0.086238105,0.26164025
Uusitupa,1989,Guar Gum,-3.2,-11.94,5.54,3.2,-5.54,11.94,4.459,19,20,,P,13.91864529,0.229907432,0.979591837,0.225215444,0.313823645
Wood,2007,Konjac Glucomannan,5.9,0.96,10.84,-5.9,-10.84,-0.96,2.52,14,15,,P,6.781272386,-0.870043211,0.971962617,-0.845649476,0.361192658
Zhang,2012,B-glucan,0.16,-2.92,3.24,-0.16,-3.24,2.92,1.571,81,85,,P,10.11752097,-0.015814151,0.995419847,-0.015741719,0.154564007
