Author,Year,Fiber Mean,Fiber SD,Fiber Total,Control Mean,Control SD,Control Total,Weight,ES,CI_lower,CI_upper,SE,pooled_sd,d,J,g,se_g
Ziai,2005,8.6,2,21,12,6.4,15,1.40%,3.4,0.05,6.75,1.709183673,5.055833487,0.672490502,0.977777778,0.657546269,0.33054922
Hollenbeck,1986,10.8,2.3,6,8.8,2.6,6,2.00%,-1,-3.78,1.78,1.418367347,2.456684309,-0.407052708,0.923076923,-0.375740961,0.53293871
Karlander,1991,8.1,1.8,6,8.6,2.2,5,2.50%,0.4,-2.09,2.89,1.270408163,2.098010032,0.190656858,0.914285714,0.174314841,0.553627493
Lalor,1990,9.5,3.9,19,11.4,3.7,19,2.70%,1.9,-0.52,4.32,1.234693878,3.805582115,0.499266588,0.979020979,0.488792464,0.317636349
Cho,2005,8.4,2.7,15,9.5,3.6,15,3.00%,1.1,-1.18,3.38,1.163265306,3.185733242,0.345289425,0.972972973,0.335957279,0.355279497
Uusitupa,1989,12,2.3,20,13.9,3.5,19,4.40%,1.9,0.03,3.77,0.954081633,2.978139454,0.637982213,0.979591837,0.624962168,0.313823645
Feldheim,2003,4.7,1.1,11,5.7,2.4,11,4.90%,1,-0.79,2.79,0.913265306,2.141796992,0.466897658,0.962025316,0.449167367,0.410208973
Karlstrom,1984,9.5,2.2,14,10.1,2.2,14,5.90%,0.6,-1.03,2.23,0.831632653,2.200293182,0.272690933,0.970873786,0.264748478,0.366955799
Chuang,1992,8.4,1.8,16,9.4,2.7,16,6.10%,1,-0.59,2.59,0.81122449,2.294489352,0.435826821,0.974789916,0.42483959,0.34464028
Ikem,2007,5.9,1.3,35,8,2.3,17,11.30%,2.1,0.92,3.26,0.596938776,2.019233774,1.039998452,0.984924623,1.024320084,0.291169703
Jenkins,2002,7.5,1.4,23,7.9,1.9,23,16.70%,0.4,-0.56,1.36,0.489795918,1.66097877,0.240821862,0.982857143,0.236693487,0.28982876
Hagander,1988,6.3,1.2,14,6.7,1.3,14,18.10%,0.4,-0.53,1.33,0.474489796,1.255382,0.318628115,0.970873786,0.309347684,0.366955799
Lu,2004,7,1.2,15,7.6,1.2,15,21.10%,0.6,-0.26,1.46,0.43877551,1.201636223,0.499319169,0.972972973,0.485824056,0.355279497
