Author,Year,Fiber Mean,Fiber SD,Fiber Total,Control Mean,Control SD,Control Total,Weight,ES,CI_lower,CI_upper,SE,pooled_sd,d,J,g,se_g
Karlander,1991,6.9,1.3,5,7,1.8,5,1.60%,0.1,-1.85,2.05,0.994897959,1.573071795,0.063569889,0.903225806,0.057417965,0.571250158
Ziai,2005,8.9,0.9,21,10.5,2.3,15,4.10%,1.6,0.37,2.63,0.576530612,1.705400549,0.938196016,0.977777778,0.917347215,0.33054922
Cho,2005,7.3,1.2,15,8.4,1.5,15,4.80%,1,-0.14,2,0.545918367,1.495059021,0.668869915,0.972972973,0.65079235,0.355279497
Uusitupa,1989,8.4,1.2,20,9.4,1.9,19,6.20%,1,0,2,0.510204082,1.592587944,0.62790881,0.979591837,0.615094344,0.313823645
Holman,1987,8.1,2,29,7.9,1.8,29,6.50%,-0.2,-1.18,0.78,0.5,1.903943276,-0.105045146,0.986547085,-0.103631983,0.259079957
Chandalia,2000,6.9,1.2,13,7.2,1.3,13,6.70%,0.3,-0.66,1.26,0.489795918,1.248739472,0.240242266,0.968421053,0.232655668,0.379845988
Feldheim,2003,5.2,0.5,11,5.4,1,8,10.90%,0.2,-0.55,0.95,0.382653061,0.823511612,0.242862392,0.955223881,0.231987957,0.443854509
Jenkins,2002,7.2,1,23,7.4,1.4,23,12.50%,0.2,-0.5,0.9,0.357142857,1.211130354,0.165134991,0.982857143,0.162304105,0.28982876
Chuang,1992,6.9,0.8,16,7.2,0.8,16,20.20%,0.3,-0.25,0.85,0.280612245,0.793691285,0.377980716,0.974789916,0.36845179,0.34464028
Hagander,1988,5.3,0.6,14,5.2,0.7,14,26.60%,-0.1,-0.58,0.38,0.244897959,0.647939096,-0.154335493,0.970873786,-0.149840285,0.366955799
