Author,Year,weight,group,ES,CI_lower,CI_upper,SE,n,design,pooled_sd,d,J,g,se_g
Ampatzoglou,2015,2.20%,General,-0.17,-0.66,0.31,0.24744898,33,c,1.421486167,-0.119593144,0.976377953,-0.116768109,0.169965585
Boler,2011,2.10%,Candidate,0.28,-0.33,0.89,0.31122449,21,c,1.426209784,0.196324554,0.962025316,0.188869191,0.209931135
Carvalho-Wells,2010,2.20%,General,0.63,0.13,1.13,0.255102041,32,c,1.443075065,0.436567726,0.975609756,0.425919733,0.172465069
Clarke,2016,2.20%,accepted,0.91,0.38,1.44,0.270408163,30,c,1.481086506,0.614413808,0.973913043,0.598385622,0.177811381
Cloetens,2010,2.10%,Candidate,0.1,-0.52,0.72,0.316326531,20,c,1.414655253,0.0706886,0.96,0.067861056,0.214662526
Costabile,2010,2.20%,accepted,0.12,-0.38,0.62,0.255102041,31,c,1.420348053,0.084486334,0.974789916,0.082356426,0.175077437
Costabile,2012,2.20%,Candidate,0.17,-0.33,0.67,0.255102041,31,c,1.420348053,0.119688973,0.974789916,0.116671604,0.175077437
Costabile,2008,2.10%,General,-1.23,-1.78,-0.69,0.278061224,31,c,1.548179374,-0.794481583,0.974789916,-0.774452636,0.175077437
Damen,2012,2.20%,Candidate,0.23,-0.31,0.76,0.272959184,27,c,1.418337525,0.162161683,0.970873786,0.157438527,0.186844747
Depeint,2008,2.10%,accepted,1.79,1.18,2.39,0.308673469,30,c,1.690674219,1.058749214,0.973913043,1.031129669,0.177811381
Fernando,2010,1.80%,General,0.17,-0.63,0.97,0.408163265,12,c,1.413919026,0.120233194,0.930232558,0.111844831,0.268535009
Francois,2012,2.30%,General,0.61,0.23,0.99,0.193877551,52,c,1.398070903,0.436315496,0.985221675,0.429867484,0.136625664
Grasten,2007,1.90%,General,-0.16,-0.91,0.58,0.380102041,14,c,1.422211609,-0.112500839,0.941176471,-0.105883143,0.251539992
Holscher,2015,2.20%,accepted,0.71,0.17,1.24,0.272959184,29,c,1.469930191,0.483016135,0.972972973,0.469961645,0.180676545
Jenkins,1999,1.90%,General,0,-0.74,0.74,0.37755102,24,c,1.849614702,0,0.967032967,0,0.197394778
Lomax,2012,2.10%,accepted,0.84,0.21,1.46,0.318877551,43,c,2.091019937,0.401717834,0.982035928,0.394501346,0.149759075
Maki,2012,2.30%,Candidate,0.4,0.02,0.78,0.193877551,55,c,1.4378344,0.278196154,0.986046512,0.274314347,0.132958485
Maneerat,2013,2.20%,accepted,-0.39,-0.86,0.08,0.239795918,35,c,1.418651783,-0.274908899,0.977777778,-0.268799813,0.16527461
Martinez,2010,1.90%,Candidate,0.71,-0.07,1.49,0.397959184,10,c,1.258457437,0.564182768,0.914285714,0.515824245,0.289122529
Petry,2012,2.20%,accepted,1.06,0.54,1.59,0.267857143,32,c,1.515228818,0.699564308,0.975609756,0.682501764,0.172465069
Ramnani,2015,2.20%,accepted,0.49,0.04,0.95,0.232142857,38,c,1.431024678,0.342411985,0.979591837,0.335423985,0.15891078
Ross,2011,2.00%,General,0.25,-0.43,0.92,0.344387755,17,c,1.41994709,0.176062898,0.952380952,0.167678951,0.23098631
Smith,2006,2.00%,General,0.54,-0.12,1.21,0.339285714,18,c,1.439467375,0.375138756,0.955223881,0.358341498,0.225148428
Tap,2015,2.00%,General,0.36,-0.28,1,0.326530612,19,c,1.42331394,0.252930847,0.957746479,0.242243628,0.219722111
Ten,2006,2.10%,accepted,1.48,0.9,2.07,0.298469388,29,c,1.607306844,0.920794934,0.972972973,0.895908585,0.180676545
Vulevic,2008,2.20%,accepted,2.05,1.51,2.59,0.275510204,41,c,1.764126065,1.162048473,0.981132075,1.14012303,0.153227087
Vulevic,2015,2.30%,accepted,0.06,-0.38,0.5,0.224489796,40,c,1.419798134,0.042259529,0.980645161,0.041441602,0.155053614
Walton,2012,2.20%,accepted,0.5,0.04,0.97,0.237244898,37,c,1.443104376,0.346475285,0.979020979,0.339206573,0.160950058
Walton,2012,2.30%,Candidate,0.21,-0.23,0.64,0.221938776,40,c,1.403664067,0.149608446,0.980645161,0.146712799,0.155053614
Alles,1999,1.90%,accepted,-0.53,-1.3,0.24,0.392857143,27.4,p,1.02820554,-0.51546114,0.970178926,-0.500089535,0.370686313
Beards,2010,1.60%,Candidate,2.59,1.55,3.62,0.528061224,30,p,1.446155221,1.790955745,0.972972973,1.742551535,0.355279497
Bouhnik,1996,1.70%,accepted,0.6,-0.3,1.5,0.459183673,10,p,0.726033136,0.826408563,0.903225806,0.746433541,0.571250158
Bouhnik,1999,1.60%,accepted,0.48,-0.52,1.48,0.510204082,8,p,0.721537532,0.665246059,0.869565217,0.578474834,0.614875462
Bouhnik,2004,1.80%,accepted,-0.22,-1.02,0.58,0.408163265,64,p,1.63265306,-0.13475,0.987854251,-0.13311336,0.246963563
Bouhnik,2006,1.60%,accepted,0.45,-0.54,1.45,0.507653061,40,p,1.605339934,0.280314462,0.98013245,0.274745301,0.309945095
Bouhnik,2007,2.00%,accepted,0.41,-0.23,1.04,0.323979592,39,p,1.011625952,0.40528814,0.979591837,0.397016953,0.313720465
Calame,2008,1.60%,General,0.44,-0.55,1.44,0.507653061,16,p,1.015306122,0.433366834,0.945454545,0.409728643,0.472727273
Dewulf,2013,1.90%,accepted,0.78,0.03,1.52,0.380102041,30,p,1.04095231,0.749313866,0.972972973,0.72906214,0.355279497
Fastinger,2008,1.90%,Candidate,0.01,-0.77,0.8,0.400510204,25,p,1.00127551,0.009987261,0.967032967,0.009658011,0.386813187
Finegold,2014,1.60%,Candidate,0.73,-0.3,1.76,0.525510204,16,p,1.051020408,0.694563107,0.945454545,0.656677847,0.472727273
Gopal,2003,1.50%,accepted,1.65,0.57,2.72,0.548469388,19,p,1.195361318,1.380335782,0.955223881,1.318529703,0.438286775
Jie,2000,1.80%,Candidate,3.84,2.97,4.71,0.443877551,30,p,1.215608737,3.158911155,0.972972973,3.073535178,0.355279497
Kleessen,2007,2.10%,accepted,0.47,-0.16,1.1,0.321428571,45,p,1.078104202,0.435950439,0.98245614,0.428302186,0.292911829
Lecerf,2012,2.00%,Candidate,1.31,0.61,2.01,0.357142857,59,p,1.371633169,0.955065851,0.986784141,0.942443836,0.256936705
Nemoto,2011,2.00%,General,-0.26,-0.92,0.4,0.336734694,36,p,1.010204082,-0.257373737,0.977777778,-0.251654321,0.325925926
Pasman,2006,1.90%,Candidate,0.23,-0.5,0.97,0.375,29,p,1.009718401,0.227786281,0.971962617,0.22139975,0.360977854
Ramnani,2010,2.10%,accepted,1.88,1.27,2.49,0.31122449,66,p,1.264199855,1.487106642,0.988235294,1.469611269,0.243286712
Slavin,2011,1.80%,accepted,0.02,-0.86,0.89,0.446428571,10,p,0.705865548,0.028334008,0.903225806,0.025592007,0.571250158
Wu,2011,1.90%,General,0.22,-0.5,0.93,0.364795918,15,p,0.706424258,0.311427584,0.941176471,0.293108315,0.48602144
Zeng,2015,2.10%,General,2,1.45,2.56,0.283163265,77,p,1.242373783,1.609821478,0.989966555,1.593669423,0.225634319
