Author,Year,weight,group,ES,CI_lower,CI_upper,SE,n,design,pooled_sd,d,J,g,se_g
Holscher,2015,5.70%,accepted,0.24,-0.27,0.76,0.262755102,29,c,1.414979528,0.169613761,0.972972973,0.165029606,0.180676545
Slavin,2011,3.20%,accepted,0.1,-0.78,0.97,0.446428571,10,c,1.411731097,0.07083502,0.914285714,0.064763447,0.289122529
Ten,2006,5.60%,accepted,0.53,0.01,1.06,0.267857143,29,c,1.44245486,0.367429176,0.972972973,0.357498657,0.180676545
Walton,2012,6.20%,accepted,0.13,-0.33,0.59,0.234693878,37,c,1.427587127,0.091062743,0.979020979,0.089152336,0.160950058
Boler,2011,4.90%,candidate,0,-0.6,0.6,0.306122449,21,c,1.402829294,0,0.962025316,0,0.209931135
Cloetens,2010,4.80%,candidate,-0.35,-0.98,0.27,0.318877551,20,c,1.426063761,-0.245430821,0.96,-0.235613588,0.214662526
Maki,2012,7.00%,candidate,-0.16,-0.53,0.22,0.191326531,55,c,1.41891553,-0.112762174,0.986046512,-0.111188748,0.132958485
Fernando,2010,3.60%,general,0.36,-0.44,1.17,0.410714286,12,c,1.422756021,0.253030031,0.930232558,0.235376773,0.268535009
Grasten,2007,3.40%,general,-0.19,-1.03,0.65,0.428571429,14,c,1.603567453,-0.118485817,0.941176471,-0.111516063,0.251539992
Ross,2011,4.40%,general,-0.24,-0.91,0.44,0.344387755,17,c,1.41994709,-0.169020382,0.952380952,-0.160971793,0.23098631
Tap,2015,4.70%,general,0.33,-0.31,0.97,0.326530612,19,c,1.42331394,0.231853276,0.957746479,0.222056659,0.219722111
Alles,1999,3.70%,accepted,0.82,0.03,1.61,0.403061224,27.4,p,1.054912176,0.777315893,0.970178926,0.754135498,0.370686313
Bouhnik,2006,2.70%,accepted,0.28,-0.71,1.27,0.505102041,40,p,1.5972729,0.175298786,0.98013245,0.171816028,0.309945095
Bouhnik,2007,4.70%,accepted,0.37,-0.26,1,0.321428571,39,p,1.003660391,0.368650595,0.979591837,0.361127113,0.313720465
Gopal,2003,2.60%,accepted,1.31,0.3,2.33,0.517857143,19,p,1.128643477,1.160685395,0.955223881,1.108714407,0.438286775
Kleessen,2007,4.80%,accepted,0.04,-0.58,0.66,0.316326531,45,p,1.06099144,0.037700587,0.98245614,0.037039173,0.292911829
Fastinger,2008,3.70%,candidate,0,-0.79,0.78,0.400510204,25,p,1.00127551,0,0.967032967,0,0.386813187
Finegold,2014,2.70%,candidate,-0.39,-1.4,0.61,0.512755102,16,p,1.025510204,-0.380298507,0.945454545,-0.359554953,0.472727273
Lecerf,2012,4.70%,candidate,0.24,-0.39,0.87,0.321428571,59,p,1.234469851,0.194415441,0.986784141,0.191846074,0.256936705
Pasman,2006,4.00%,candidate,0.33,-0.41,1.07,0.37755102,29,p,1.016587233,0.324615527,0.971962617,0.315514157,0.360977854
Calame,2008,2.80%,general,-0.25,-1.23,0.74,0.50255102,16,p,1.00510204,-0.248730965,0.945454545,-0.235163821,0.472727273
Wu,2011,4.10%,general,-0.13,-0.84,0.59,0.364795918,15,p,0.706424258,-0.184025391,0.941176471,-0.173200368,0.48602144
Zeng,2015,5.80%,general,1.36,0.86,1.85,0.25255102,77,p,1.108063103,1.227366922,0.989966555,1.215052203,0.225634319
