Author,Year,Design,n,wk,"Age, y","Men, %","BP, mm Hg","Dose, g/d",and Type,ES_neg,ES,SE,pooled_sd,d,J,g,se_g
Arvill,1995,C-DB,63,4,47,100,140/85,3.9,S-Soluble,-0.27,0.27,1.02,8.095999012,0.033349806,0.987854251,0.032944748,0.124457937
Önning,1999,C-DB,52,5,63,100,141/88,6.8,S-Soluble,-1.5,1.5,1.28,9.230211265,0.162509823,0.985221675,0.1601082,0.136625664
Swain,1990,C-DB,20,6,30,20,112/68,20.5,S-Soluble,2,-2,1.93,8.631222393,-0.231716889,0.96,-0.222448213,0.214662526
Hagander,1989,C-O,12,8,62,58,150/83,25.6,S-Soluble,2,-2,2.18,7.551741521,-0.264839573,0.930232558,-0.246362394,0.268535009
Fehily,1986,C-SB,201,4,37,73,132/80,12,D-Soluble,0.2,-0.2,0.61,8.648242596,-0.023126086,0.996245307,-0.023039254,0.070269726
Margetts,1987,C-SB,88,6,39,58,132/80,42.6,D-Mixed,-1.1,1.1,0.75,7.03562364,0.156347192,0.991354467,0.154995487,0.105678741
Birketvedt,2000,P-DB,53,24,40,0,130/82,4.7,S-Insoluble,-2.3,2.3,2.82,10.26495494,0.224063331,0.985221675,0.220752051,0.27066121
Eliasson,1992,P-DB,63,12,48,62,149/100,6,S-Insoluble,-4.3,4.3,1.95,7.738822585,0.55564008,0.987654321,0.548780326,0.248865497
He,2004,P-DB,102,12,48,40,128/80,10,S-Soluble,-1.24,1.24,0.89,4.494279698,0.275906282,0.992481203,0.273831798,0.196540565
Nami,1995,P-DB,16,2,46,38,157/99,3.5,S-Mixed,-5.4,5.4,1.53,3.06,1.764705882,0.945454545,1.668449198,0.472727273
Rigaud,1990,P-DB,52,24,37,21,127/77,6,S-Insoluble,2.5,-2.5,2.18,7.860101781,-0.318062039,0.984924623,-0.313267134,0.273168941
Rössnera,1987,P-DB,54,8,39,0,134/84,5,S-Mixed,0,0,2.8,10.28785692,0,0.985507246,0,0.268221099
Rössnerb,1987,P-DB,41,12,39,0,135/86,7,S-Mixed,-5,5,3.74,11.97384232,0.417576903,0.980645161,0.40949477,0.306302088
Rössner,1988,P-DB,62,12,40,0,124/75,6.5,S-Mixed,-3,3,1.16,4.566924567,0.656897209,0.987447699,0.648651637,0.250811966
Ryttig,1989,P-DB,97,11,39,0,131/85,7,S-Insoluble,-2.9,2.9,2.09,10.2920564,0.281770706,0.992084433,0.279540331,0.201461825
Schlamowitz,1987,P-DB,46,12,NR,NR,153/96,7,S-Mixed,-3,3,2.18,7.392739682,0.405803549,0.982857143,0.398846917,0.28982876
Solum,1987,P-DB,60,12,35,0,133/90,5,S-Insoluble,-5,5,4.77,18.47413056,0.270648731,0.987012987,0.267133813,0.254845657
Törrönen,1992,P-DB,28,8,41,100,129/81,15.1,S-Soluble,1,-1,3.81,10.0803125,-0.099203274,0.970873786,-0.096313858,0.366955799
Brussaarda,1981,P-O,31,5,23,65,125/61,10,S-Soluble,3.9,-3.9,2.94,8.184613613,-0.476503863,0.973913043,-0.464073327,0.349839893
Brussaardb,1981,P-O,32,5,23,65,126/64,19,S-Insoluble,1,-1,3.73,10.55003318,-0.094786432,0.974789916,-0.092396858,0.34464028
Burke,2001,P-O,36,8,57,50,133/76,12,S-Soluble,-1.9,1.9,1,3,0.633333333,0.977777778,0.619259259,0.325925926
Van Horn,1991,P-O,80,8,42,50,128/80,4.2,S-Soluble,-1.4,1.4,2.14,9.570370944,0.146284821,0.990353698,0.144873713,0.221449819
Keenan,2002,P-SB,18,6,44,50,139/91,5.5,D-Soluble,-6,6,2.72,5.769991334,1.039862914,0.952380952,0.990345632,0.448956686
Little,1990,P-SB,78,8,58,51,138/77,36.4,D-Mixed,-0.4,0.4,1.85,8.169378801,0.048963331,0.99009901,0.048478546,0.224213274
