Author,Year,Design,n,wk,"Age, y","Men, %","BP, mm Hg","Dose, g/d",and Type,ES_neg,ES,SE,pooled_sd,d,J,g,se_g
Arvill,1995,C-DB,63,4,47,100,140/85,3.9,S-Soluble,-3.43,3.43,1.39,11.03278297,0.310891641,0.987854251,0.307115629,0.124457937
Önning,1999,C-DB,52,5,63,100,141/88,6.8,S-Soluble,-1.6,1.6,1.82,13.12420664,0.121912131,0.985221675,0.120110474,0.136625664
Ryttig,1990,C-DB,19,2,25,53,109/NR,7,S-Soluble,3,-3,1.87,8.151141024,-0.368046632,0.957746479,-0.352495366,0.219722111
Swain,1990,C-DB,20,6,30,20,112/68,20.5,S-Soluble,3,-3,2.9,12.96919427,-0.231317377,0.96,-0.222064682,0.214662526
Hagander,1989,C-O,12,8,62,58,150/83,25.6,S-Soluble,-3,3,5.22,18.08261043,0.16590525,0.930232558,0.154330465,0.268535009
Fehily,1986,C-SB,201,4,37,73,132/80,12,D-Soluble,-0.4,0.4,0.67,9.498889409,0.042110186,0.996245307,0.041952075,0.070269726
Margetts,1987,C-SB,88,6,39,58,132/80,42.6,D-Mixed,-1.2,1.2,0.9,8.442748368,0.142133811,0.991354467,0.140904988,0.105678741
Birketvedt,2000,P-DB,53,24,40,0,130/82,4.7,S-Insoluble,0.6,-0.6,3.81,13.86860934,-0.04326317,0.985221675,-0.042623813,0.27066121
Eliasson,1992,P-DB,63,12,48,62,149/100,6,S-Insoluble,-0.34,0.34,3.48,13.81082184,0.024618376,0.987654321,0.024314445,0.248865497
He,2004,P-DB,102,12,48,40,128/80,10,S-Soluble,-1.79,1.79,1.27,6.413185636,0.279112457,0.992481203,0.277013867,0.196540565
Nami,1995,P-DB,16,2,46,38,157/99,3.5,S-Mixed,-14.3,14.3,5.95,11.9,1.201680672,0.945454545,1.136134454,0.472727273
Rigaud,1990,P-DB,52,24,37,21,127/77,6,S-Insoluble,-1.3,1.3,3.2,11.53776408,0.112673477,0.984924623,0.110974882,0.273168941
Rössnera,1987,P-DB,54,8,39,0,134/84,5,S-Mixed,3,-3,4.68,17.19541799,-0.174465081,0.985507246,-0.171936602,0.268221099
Rössnerb,1987,P-DB,41,12,39,0,135/86,7,S-Mixed,0,0,7.19,23.01923163,0,0.980645161,0,0.306302088
Rössner,1988,P-DB,62,12,40,0,124/75,6.5,S-Mixed,1,-1,2.29,9.015739016,-0.110917141,0.987447699,-0.109524876,0.250811966
Ryttig,1989,P-DB,97,11,39,0,131/85,7,S-Insoluble,0.1,-0.1,3.78,18.61434125,-0.005372202,0.992084433,-0.005329678,0.201461825
Schlamowitz,1987,P-DB,46,12,NR,NR,153/96,7,S-Mixed,-11,11,4.39,14.88721431,0.738889074,0.982857143,0.726222404,0.28982876
Solum,1987,P-DB,60,12,35,0,133/90,5,S-Insoluble,-9,9,6.56,25.40677075,0.354236282,0.987012987,0.34963581,0.254845657
Törrönen,1992,P-DB,28,8,41,100,129/81,15.1,S-Soluble,6,-6,5.52,14.60454724,-0.410830949,0.970873786,-0.398864999,0.366955799
Brussaarda,1981,P-O,31,5,23,65,125/61,10,S-Soluble,3.5,-3.5,2.94,8.184613613,-0.427631671,0.973913043,-0.416476063,0.349839893
Brussaardb,1981,P-O,32,5,23,65,126/64,19,S-Insoluble,3.6,-3.6,3.43,9.701505038,-0.371076445,0.974789916,-0.361721577,0.34464028
Burke,2001,P-O,36,8,57,50,133/76,12,S-Soluble,-6.5,6.5,1.3,3.9,1.666666667,0.977777778,1.62962963,0.325925926
Van Horn,1991,P-O,80,8,42,50,128/80,4.2,S-Soluble,0.5,-0.5,3.53,15.78663992,-0.031672351,0.990353698,-0.03136683,0.221449819
Keenan,2002,P-SB,18,6,44,50,139/91,5.5,D-Soluble,-8.8,8.8,5.95,12.62185604,0.697203325,0.952380952,0.664003167,0.448956686
Little,1990,P-SB,78,8,58,51,138/77,36.4,D-Mixed,-0.3,0.3,3.3,14.57240543,0.020586855,0.99009901,0.020383025,0.224213274
