Author,Year,CI_lower_neg,ES_neg,CI_upper_neg,CI_lower,ES,CI_upper,SE,Design,n,pooled_sd,d,J,g,se_g
Kelsay,1978,-11.85783522,-5.977382876,-0.153473344,0.153473344,5.977382876,11.85783522,2.985806601,Crossover,12,10.34313747,0.577908096,0.930232558,0.537588926,0.268535009
Fehily,1986,-0.945072698,0.242326333,1.373182553,-1.373182553,-0.242326333,0.945072698,0.591391646,Crossover,201,8.384423639,-0.028901967,0.996245307,-0.028793449,0.070269726
Margetts,1987,-3.037156704,-1.171243942,0.63812601,-0.63812601,1.171243942,3.037156704,0.937572121,Crossover,88,8.795206104,0.133168447,0.991354467,0.132017135,0.105678741
Swain,1990,-1.680129241,2.051696284,5.670436187,-5.670436187,-2.051696284,1.680129241,1.875144242,Crossover,20,8.385899985,-0.244660238,0.96,-0.234873828,0.214662526
Onning,1999,-3.998384491,-1.510500808,1.033925687,-1.033925687,1.510500808,3.998384491,1.283752596,Crossover,52,9.257271622,0.163169114,0.985221675,0.160757748,0.136625664
Jenkinsa,2001,-7.843295638,-3.206785137,1.429725363,-1.429725363,3.206785137,7.843295638,2.365566582,Crossover,10,7.480578356,0.428681445,0.914285714,0.391937321,0.289122529
Jenkinsb,2001,-10.89660743,-6.090468498,-1.284329564,1.284329564,6.090468498,10.89660743,2.452111701,Crossover,10,7.754258052,0.785435364,0.914285714,0.718112333,0.289122529
Jenkins,2002,-1.680129241,2.051696284,5.670436187,-5.670436187,-2.051696284,1.680129241,1.875144242,Crossover,68,15.46283554,-0.132685643,0.988764045,-0.131194794,0.119905253
Brussaarda,1981,-3.998384491,3.634894992,11.26817447,-11.26817447,-3.634894992,3.998384491,3.894530348,Parallel,31,10.84191364,-0.33526323,0.973913043,-0.326517233,0.349839893
Brussaardb,1981,-6.20355412,1.033925687,8.271405493,-8.271405493,-1.033925687,6.20355412,3.692591738,Parallel,32,10.44422663,-0.098994949,0.974789916,-0.096499278,0.34464028
Brussaardc,1981,-1.962843296,3.917609047,9.741518578,-9.741518578,-3.917609047,1.962843296,2.985806601,Parallel,31,8.312133792,-0.471312078,0.973913043,-0.45901698,0.349839893
Schlamowitz,1987,-8.861066236,-2.980613893,2.843295638,-2.843295638,2.980613893,8.861066236,2.985806601,Parallel,46,10.12536282,0.294371071,0.982857143,0.28932471,0.28982876
Solum,1987,-14.79806139,-5.016155089,4.822294023,-4.822294023,5.016155089,14.79806139,5.005192707,Parallel,70,20.93822332,0.23956928,0.988929889,0.236917222,0.236399459
Rossnera,1987,-5.525040388,0.016155089,5.500807754,-5.500807754,-0.016155089,5.525040388,2.812716363,Parallel,54,10.33457982,-0.001563207,0.985507246,-0.001540552,0.268221099
Rossnerb,1987,-11.80129241,-5.016155089,1.882067851,-1.882067851,5.016155089,11.80129241,3.490653127,Parallel,41,11.17554282,0.448851136,0.980645161,0.440163694,0.306302088
Rossnerc,1988,-4.846526656,-2.019386107,0.864297254,-0.864297254,2.019386107,4.846526656,1.456842834,Parallel,62,5.735595973,0.35207956,0.987447699,0.347660151,0.250811966
Ryttig,1989,-6.82552504,-2.924071082,0.977382876,-0.977382876,2.924071082,6.82552504,1.990537734,Parallel,97,9.802261544,0.29830576,0.992084433,0.295944501,0.201461825
Uusitupa,1989,-4.789983845,0.242326333,5.2180937,-5.2180937,-0.242326333,4.789983845,2.553081006,Parallel,39,7.971992887,-0.030397209,0.979591837,-0.029776858,0.313720465
Rigaud,1990,-1.736672052,2.504038772,6.744749596,-6.744749596,-2.504038772,1.736672052,2.163627971,Parallel,52,7.801071592,-0.320986514,0.984924623,-0.316147521,0.273168941
Eliasson,1992,-6.090468498,-4.394184168,-2.697899838,2.697899838,4.394184168,6.090468498,0.865451189,Parallel,63,3.434652925,1.279367745,0.987654321,1.263573082,0.248865497
Singh,1992,-11.51857835,-8.012924071,-4.50726979,4.50726979,8.012924071,11.51857835,1.788599123,Parallel,120,9.79656086,0.817932353,0.993630573,0.812722592,0.181411293
Burke,2001,-2.980613893,-1.340872375,0.185783522,-0.185783522,1.340872375,2.980613893,0.807754443,Parallel,36,2.423263328,0.553333333,0.977777778,0.541037037,0.325925926
Saltzman,2001,-4.281098546,-0.945072698,2.277867528,-2.277867528,0.945072698,4.281098546,1.673205631,Parallel,43,5.485971533,0.172270799,0.981595092,0.169100171,0.299383696
Pins,2002,-8.917609047,-5.016155089,-1.114701131,1.114701131,5.016155089,8.917609047,1.990537734,Parallel,88,9.336449557,0.537265805,0.991253644,0.532566687,0.211335987
He,2004,-2.584814216,-0.945072698,0.581583199,-0.581583199,0.945072698,2.584814216,0.807754443,Parallel,110,4.235900033,0.223110246,0.993039443,0.221557274,0.189365192
