Author,Year, CI_lower_neg, ES_neg, CI_upper_neg,CI_lower,ES,CI_upper,SE,Design,n,pooled_sd,d,J,g,se_g
Kelsay,1978,-10.93062965,-3.04927372,4.747257762,-4.747257762,3.04927372,10.93062965,3.999461075,Crossover,12,13.85453957,0.220092029,0.930232558,0.204736771,0.268535009
Fehily,1986,-1.765576067,-0.40972255,0.861463891,-0.861463891,0.40972255,1.765576067,0.670163254,Crossover,201,9.501203939,0.043123224,0.996245307,0.04296131,0.070269726
Margetts,1987,-2.94886927,-1.08446249,0.695198527,-0.695198527,1.08446249,2.94886927,0.929609132,Crossover,88,8.720506644,0.124357739,0.991354467,0.1232826,0.105678741
Swain,1990,-2.497049242,3.011504021,8.520057284,-8.520057284,-3.011504021,2.497049242,2.810486359,Crossover,20,12.5688771,-0.239600085,0.96,-0.230016082,0.214662526
Onning,1999,-5.114568088,-1.555246054,2.00407598,-2.00407598,1.555246054,5.114568088,1.81598063,Crossover,52,13.09522255,0.118764385,0.985221675,0.117009246,0.136625664
Jenkinsa,2001,-0.27784335,5.484868514,11.1629133,-11.1629133,-5.484868514,0.27784335,2.918560371,Crossover,10,9.22929826,-0.594288792,0.914285714,-0.543349753,0.289122529
Jenkinsb,2001,-1.800119604,4.047338023,9.979541413,-9.979541413,-4.047338023,1.800119604,3.005015566,Crossover,10,9.502693591,-0.425914819,0.914285714,-0.389407835,0.289122529
Jenkins,2002,-4.336118849,-0.946367027,2.443542168,-2.443542168,0.946367027,4.336118849,1.729505361,Crossover,68,14.26186657,0.066356463,0.988764045,0.065610885,0.119905253
Brussaarda,1981,-3.30044222,2.54693672,8.394473034,-8.394473034,-2.54693672,3.30044222,2.983396749,Parallel,31,8.305425048,-0.306659407,0.973913043,-0.298659596,0.349839893
Brussaardb,1981,-1.093983602,5.51618589,12.21117983,-12.21117983,-5.51618589,1.093983602,3.394174345,Parallel,32,9.600174784,-0.574592235,0.974789916,-0.560106717,0.34464028
Brussaardc,1981,-2.192531042,3.48567112,9.078655399,-9.078655399,-3.48567112,2.192531042,2.875302663,Parallel,31,8.004503851,-0.435463732,0.973913043,-0.424103809,0.349839893
Schlamowitz,1987,-18.96274963,-10.99664794,-3.030388871,3.030388871,10.99664794,18.96274963,4.064377746,Parallel,46,13.78297552,0.797842811,0.982857143,0.784165506,0.28982876
Solum,1987,-22.94273169,-9.044269235,4.938781612,-4.938781612,9.044269235,22.94273169,7.112630945,Parallel,70,29.75426998,0.303965422,0.988929889,0.300600491,0.236399459
Rossnera,1987,-6.159844515,2.992776545,12.14531892,-12.14531892,-2.992776545,6.159844515,4.669684549,Parallel,54,17.15751661,-0.174429471,0.985507246,-0.171901508,0.268221099
Rossnerb,1987,-12.42788348,0.029743638,12.40270368,-12.40270368,-0.029743638,12.42788348,6.33433346,Parallel,41,20.27976205,-0.001466666,0.980645161,-0.001438279,0.306302088
Rossnerc,1988,-4.289142785,0.96517319,6.219331791,-6.219331791,-0.96517319,4.289142785,2.68073331,Parallel,62,10.5540576,-0.091450438,0.987447699,-0.090302525,0.250811966
Ryttig,1989,-6.743543742,0.120941725,6.985348504,-6.985348504,-0.120941725,6.743543742,3.50226843,Parallel,97,17.24667188,-0.007012467,0.992084433,-0.00695696,0.201461825
Uusitupa,1989,-12.84216987,0.123931826,13.00536644,-13.00536644,-0.123931826,12.84216987,6.593759264,Parallel,39,20.5890067,-0.00601932,0.979591837,-0.005896477,0.313720465
Rigaud,1990,-7.499960657,-1.313598665,4.872920699,-4.872920699,1.313598665,7.499960657,3.156347285,Parallel,52,11.38037198,0.11542669,0.984924623,0.113686589,0.273168941
Eliasson,1992,-3.595360622,-0.120863038,3.353870607,-3.353870607,0.120863038,3.595360622,1.772763069,Parallel,63,7.03543532,0.017179184,0.987654321,0.016967095,0.248865497
Singh,1992,-11.98212234,-8.931353572,-6.049840266,6.049840266,8.931353572,11.98212234,1.513337264,Parallel,120,8.288889569,1.077509056,0.993630573,1.070645941,0.181411293
Burke,2001,-8.077600995,-5.874132477,-3.755488409,3.755488409,5.874132477,8.077600995,1.102579741,Parallel,36,3.307739223,1.775875328,0.977777778,1.736411432,0.325925926
Saltzman,2001,-10.10213556,-5.017311112,0.1522591,-0.1522591,5.017311112,10.10213556,2.615917006,Parallel,43,8.576857474,0.584982452,0.981595092,0.574215903,0.299383696
Pins,2002,-11.96009002,-5.943140865,-0.010937475,0.010937475,5.943140865,11.96009002,3.0482532,Parallel,88,14.29757485,0.415674751,0.991253644,0.412039112,0.211335987
He,2004,-2.634908645,-0.431518814,1.687046567,-1.687046567,0.431518814,2.634908645,1.102539595,Parallel,110,5.781766412,0.074634425,0.993039443,0.074114928,0.189365192
