Study,Year,events_treat,n_treat,events_ctrl,n_ctrl,OR,lCI,uCI,ES,J,g,se_es,se_g
ADCS,2010,11,238,4,164,1.89,0.61,5.85,-0.351699906,0.998123827,-0.351040056,0.318629212,0.318031408
AFFORD,2013,0,153,1,163,0.35,0.01,8.65,0.580012223,0.997609562,0.57862574,0.953141491,0.950863065
AlphaOmega,2010,186,2404,184,2433,1.02,0.84,1.24,-0.010940678,0.999844873,-0.010938981,0.054891302,0.054882787
AREDS2,2014,200,2147,168,2056,1.14,0.94,1.39,-0.072391305,0.99982146,-0.07237838,0.055132928,0.055123085
ASCEND,2018,752,7740,788,7740,0.95,0.87,1.05,0.028338837,0.999951543,0.028337463,0.026504148,0.026502864
Bates,1989,1,155,0,157,3.04,0.12,74.02,-0.61428592,0.997578692,-0.612798545,0.905485238,0.90329278
Berson,2004,0,105,1,103,0.33,0.01,7.94,0.612520787,0.9963548,0.610288026,0.941070507,0.937640116
Brox,2001,0,80,1,40,0.17,0.01,4.05,0.978981681,0.993630573,0.972746129,0.846189969,0.840800224
DART,1989,94,1015,131,1018,0.72,0.56,0.92,0.18149396,0.999630678,0.18142693,0.069967991,0.06994215
DART2,2003,283,1571,242,1543,1.15,0.98,1.34,-0.077216543,0.999758978,-0.077197932,0.044096336,0.044085708
Derosa,2016,1,138,2,143,0.52,0.05,5.65,0.361285341,0.997309417,0.360313273,0.666279713,0.664487032
DIPP,2015,2,104,3,101,0.65,0.11,3.79,0.238001611,0.996300863,0.237121211,0.498878246,0.497032827
DISAF,2003,6,201,8,206,0.77,0.27,2.18,0.144400422,0.998147004,0.144132849,0.294376226,0.293830748
DO IT,2010,14,282,24,281,0.58,0.31,1.1,0.300954241,0.998662506,0.300551716,0.178499995,0.178261252
Doi,2014,2,119,9,119,0.22,0.05,1.01,0.836534659,0.996818664,0.833873361,0.42362197,0.422274287
DREAM,2018,1,349,0,186,1.6,0.07,39.15,-0.259670513,0.99859221,-0.259304952,0.891681765,0.890426465
EPIC-1,2008,1,183,0,180,2.95,0.12,71.97,-0.597682415,0.997920998,-0.596439832,0.901526793,0.899652517
EPIC-2,2008,0,189,1,190,0.34,0.01,8.17,0.596027437,0.99800929,0.594840919,0.945095148,0.943213738
FAAT,2005,13,200,12,202,1.09,0.51,2.34,-0.047611987,0.998123827,-0.047522659,0.214721993,0.214319137
FORWARD,2013,4,289,5,297,0.82,0.22,3.03,0.109641403,0.998715203,0.109500536,0.369642907,0.369167991
FOSTAR,2016,0,101,1,101,0.33,0.01,8.09,0.612520787,0.996245307,0.610220959,0.94370827,0.940164935
GISSI-HF,2008,955,3494,1014,3481,0.94,0.87,1.01,0.034185306,0.999892438,0.034181629,0.021030048,0.021027786
GISSI-P,1999,472,5666,545,5658,0.86,0.77,0.97,0.083327563,0.999933756,0.083322043,0.032543911,0.032541755
HARP,1995,0,41,1,39,0.32,0.01,7.57,0.629521703,0.990353698,0.623449147,0.934344804,0.925331832
HEARTS,2017,1,143,3,142,0.33,0.03,3.14,0.612520787,0.99734748,0.610896063,0.655482678,0.653743997
JELIS,2007,286,9326,265,9319,1.08,0.91,1.27,-0.042519912,0.99995977,-0.042518202,0.046979307,0.046977417
Kumar,2013,1,39,1,39,1,0.06,15.43,0,0.99009901,0,0.782180119,0.774435762
MAPT,2017,18,840,16,840,1.13,0.58,2.19,-0.067523554,0.999552973,-0.067493369,0.187257402,0.187173693
NAT2,2013,3,150,6,150,0.5,0.13,1.96,0.382954243,0.997481108,0.381989623,0.382394478,0.381431268
Nutristroke,2009,0,38,4,34,0.1,0.01,1.79,1.27214646,0.989247312,1.258467466,0.731111992,0.723250573
OFAMI,2001,11,150,11,150,1,0.45,2.24,0,0.997481108,0,0.226206951,0.225637161
OMEGA,2009,88,1919,70,1885,1.23,0.91,1.68,-0.114372469,0.999802722,-0.114349906,0.086411161,0.086394114
OPAL,2010,9,434,8,433,1.12,0.44,2.88,-0.062612533,0.999132697,-0.062558229,0.264794628,0.264564971
ORIGIN,2012,951,6281,964,6225,0.98,0.9,1.06,0.011161717,0.999940018,0.011161047,0.023061989,0.023060606
Raitt,2005,4,100,10,100,0.4,0.13,1.23,0.506237973,0.996207332,0.504317981,0.316726096,0.315524859
REDUCE-IT,2019,274,4083,310,4077,0.88,0.75,1.03,0.070626172,0.999908063,0.070619679,0.044712041,0.04470793
Risk & Prevention,2013,348,6239,337,6266,1.04,0.9,1.2,-0.021668902,0.999940013,-0.021667602,0.040546013,0.040543581
SCIMO,1999,1,112,2,111,0.5,0.05,5.39,0.382954243,0.996602492,0.381653153,0.65963999,0.657398858
seAFOod,2018,0,356,1,353,0.33,0.01,8.09,0.612520787,0.998938804,0.611870783,0.94370827,0.942706811
Shinto,2014,1,13,1,13,1,0.07,14.34,0,0.968421053,0,0.750128661,0.726440387
SHOT,1996,8,317,6,293,1.23,0.43,3.51,-0.114372469,0.99876594,-0.114231327,0.295916409,0.295551231
SOFA,2006,8,273,14,273,0.57,0.24,1.34,0.310562938,0.99862069,0.310134576,0.242387243,0.242052916
SU.FOL.OM3,2010,66,1253,68,1248,0.97,0.7,1.34,0.016828291,0.99969985,0.01682324,0.091518852,0.091491382
VITAL,2019,493,12933,485,12938,1.02,0.9,1.15,-0.010940678,0.999971007,-0.010940361,0.034547646,0.034546644
Zhang,2017,0,120,1,120,0.33,0.01,8.1,0.612520787,0.996845426,0.610588545,0.943882378,0.940904831
