Study,Year,events_treat,n_treat,events_ctrl,n_ctrl,OR,lCI,uCI,ES,J,g,se_es,se_g
AlphaOmega,2010,120,2404,128,2433,0.95,0.74,1.21,0.028338837,0.999844873,0.028334441,0.069303959,0.069293208
AREDS2,2014,39,2147,49,2056,0.76,0.5,1.16,0.151622567,0.99982146,0.151595496,0.118610777,0.1185896
ASCEND,2018,275,7740,310,7740,0.89,0.76,1.04,0.064383324,0.999951543,0.064380204,0.044207007,0.044204865
Baldassarre,2006,1,32,0,32,3,0.13,71,-0.606968115,0.987854251,-0.599596033,0.888333057,0.877543587
Brox,2001,0,80,1,40,0.17,0.01,4.05,0.978981681,0.993630573,0.972746129,0.846189969,0.840800224
DART,1989,337,1015,366,1018,0.92,0.82,1.04,0.046067187,0.999630678,0.046050174,0.033497527,0.033485155
Derosa,2016,0,128,4,130,0.11,0.01,2.07,1.219488902,0.997067449,1.215912689,0.751595275,0.749391183
DO IT,2010,11,282,12,281,0.91,0.41,2.04,0.052105348,0.998662506,0.052035657,0.226145553,0.225843085
Doi,2014,1,119,0,119,3,0.12,72.91,-0.606968115,0.996818664,-0.605037146,0.903355697,0.900481819
EPE-A,2014,2,168,1,75,0.89,0.08,9.7,0.064383324,0.996884735,0.064182753,0.676211316,0.674104739
EPOCH,2014,1,195,0,196,3.02,0.12,73.57,-0.610639133,0.99807074,-0.609461051,0.904625785,0.902880526
FORWARD,2013,1,289,1,297,1.03,0.06,16.35,-0.01633083,0.998715203,-0.016309848,0.790342572,0.789327142
FOSTAR,2016,10,101,10,101,1,0.44,2.3,0,0.996245307,0,0.233099796,0.232224578
GISSI-HF,2008,1309,3494,1360,3481,0.96,0.9,1.02,0.022553588,0.999892438,0.022551162,0.017640538,0.01763864
GISSI-P,1999,424,5666,485,5658,0.87,0.77,0.99,0.076940369,0.999933756,0.076935272,0.035420344,0.035417998
HARP,1995,7,41,7,39,0.95,0.37,2.46,0.028338837,0.990353698,0.028065472,0.266999327,0.264423771
HEARTS,2017,41,143,35,142,1.16,0.79,1.71,-0.082000003,0.99734748,-0.081782496,0.108836355,0.108547664
JELIS,2007,88,9326,113,9319,0.78,0.59,1.03,0.137271469,0.99995977,0.137265947,0.078530774,0.078527614
Nye,1990,5,36,11,37,0.47,0.18,1.21,0.417139549,0.989399293,0.412717575,0.268550399,0.265703575
OFAMI,2001,42,150,36,150,1.17,0.8,1.71,-0.086742403,0.997481108,-0.086523908,0.107063497,0.106793815
OMEGA,2009,112,1919,96,1885,1.15,0.88,1.49,-0.077216543,0.999802722,-0.07720131,0.074220528,0.074205886
ORIGIN,2012,635,6281,580,6255,1.09,0.98,1.21,-0.047611987,0.999940162,-0.047609138,0.029713478,0.0297117
Proudman,2015,1,87,0,53,1.84,0.08,44.38,-0.336887056,0.994555354,-0.335052825,0.890534102,0.885685459
Raitt,2005,1,100,3,100,0.33,0.04,3.15,0.612520787,0.996207332,0.610197699,0.615384806,0.613050856
REDUCE-IT,2019,250,4089,355,4090,0.7,0.6,0.82,0.19705798,0.999908277,0.197039905,0.044026199,0.04402216
Risk & Prevention,2013,310,6239,324,6266,0.96,0.83,1.12,0.022553588,0.999940013,0.022552235,0.042233942,0.042231408
SCIMO,1999,1,112,4,111,0.25,0.03,2.18,0.765908487,0.996602492,0.763306306,0.604053836,0.602001558
SHOT,1996,7,317,12,293,0.54,0.22,1.35,0.340434331,0.99876594,0.340014215,0.255698546,0.255382999
SOFA,2006,1,273,3,273,0.33,0.03,3.18,0.612520787,0.99862069,0.611675931,0.657266757,0.656360182
SU.FOL.OM3,2010,37,1253,41,1248,0.9,0.58,1.39,0.05821023,0.99969985,0.058192758,0.123186228,0.123149253
THIS DIET,2008,10,51,6,50,1.63,0.64,4.16,-0.26993371,0.992405063,-0.26788358,0.263812462,0.261808823
VITAL,2019,145,12933,200,12938,0.73,0.59,0.9,0.17387334,0.999971007,0.173868299,0.059515197,0.059513472
