Author,Year,n,d,lCI,uCI,se_d,J,g,se_g
Peet,2002,70,0.28,-0.26,0.82,0.275510204,0.988929889,0.276900369,0.272460276
Marangell,2003,36,0.28,-0.39,0.94,0.339285714,0.977777778,0.273777778,0.331746032
Su-MDD,2003,28,1.04,0.13,1.94,0.461734694,0.970873786,1.009708738,0.448286111
Silvers,2005,77,-0.25,-0.7,0.2,0.229591837,0.989966555,-0.247491639,0.22728824
Grenyer,2007,83,-0.69,-1.13,-0.25,0.224489796,0.990712074,-0.683591331,0.222404751
Su-PD,2008,36,0.93,0.24,1.62,0.352040816,0.977777778,0.909333333,0.344217687
Rogers,2008,218,0.15,-0.12,0.41,0.135204082,0.996523754,0.149478563,0.134734079
Rees,2008,26,0.66,-0.14,1.45,0.405612245,0.968421053,0.639157895,0.392803437
Freeman,2008,51,-0.31,-0.86,0.25,0.283163265,0.984615385,-0.305230769,0.278806907
da Silva,2008,31,0.43,-0.31,1.17,0.37755102,0.973913043,0.418782609,0.367701863
Lucas,2009,29,-0.66,-1.41,0.1,0.385204082,0.971962617,-0.641495327,0.374403967
Mischoulon,2009,35,0.88,0.18,1.58,0.357142857,0.977099237,0.859847328,0.348964013
