Author,RR,lCI,uCI,events_treat,n_treat,events_control,n_control,ES,J,g,se_es,se_g
GISSI-P,0.81,0.68,0.96,214,5666,265,5658,0.116420459,0.999933756,0.116412747,0.04860194,0.048598721
JELIS,0.93,0.56,1.55,29,9326,31,9319,0.040094305,0.99995977,0.040092692,0.143487629,0.143481857
GISSI-HF,0.92,0.82,1.03,512,3494,555,3481,0.046067187,0.999892438,0.046062232,0.032135774,0.032132317
□Off,0.37,0.1,1.39,3,282,8,281,0.549310648,0.998662506,0.548575948,0.370939345,0.370443216
SU.FOL.OM3,0.38,0.14,1.07,51,253,13,1248,0.53457681,0.999499583,0.534309299,0.286640476,0.286497036
Alpha Omega,0.96,0.69,1.33,67,2404,71,2433,0.022553588,0.999844873,0.022550089,0.092491068,0.09247672
OMEGA,0.95,0.57,1.59,28,1919,29,1885,0.028338837,0.999802722,0.028333246,0.144584076,0.144555553
ORIGIN,1.07,0.92,1.25,319,6281,296,6255,-0.037380469,0.999940162,-0.037378232,0.043201765,0.043199179
R&P,1.08,0.79,1.48,82,6239,76,6266,-0.042519912,0.999940013,-0.042517362,0.08847734,0.088472032
AREDS-2,0.96,0.38,2.41,9,2147,9,2056,0.022553588,0.99982146,0.022549561,0.26034654,0.260300058
VITAL,0.76,0.49,1.16,37,12933,49,12938,0.151622567,0.999971007,0.151618171,0.121458154,0.121454632
ASCEND,0.79,0.61,1.02,100,7740,127,7740,0.130233333,0.999951543,0.130227023,0.072457288,0.072453777
